t,plant,axis,Total_Transpiration,mstruct
0,1,MS,0.00253,2.14023
1,1,MS,0.00253,2.14038
2,1,MS,0.00084,2.13985
3,1,MS,0.00084,2.13999
4,1,MS,0.00084,2.13956
5,1,MS,0.00084,2.13969
6,1,MS,0.00096,2.13930
7,1,MS,0.00096,2.13944
8,1,MS,0.00278,2.13909
9,1,MS,0.00278,2.13921
10,1,MS,0.00653,2.13888
11,1,MS,0.00653,2.13904
12,1,MS,0.02238,2.13867
13,1,MS,0.02238,2.13884
14,1,MS,0.02030,2.13843
15,1,MS,0.02030,2.13861
16,1,MS,0.01953,2.13821
17,1,MS,0.01953,2.13837
18,1,MS,0.00944,2.13807
19,1,MS,0.00944,2.13818
20,1,MS,0.00229,2.13800
21,1,MS,0.00229,2.13809
22,1,MS,0.00317,2.13791
23,1,MS,0.00317,2.13799
24,1,MS,0.00160,2.13784
25,1,MS,0.00160,2.13791
26,1,MS,0.00248,2.13774
27,1,MS,0.00248,2.13781
28,1,MS,0.00118,2.13768
29,1,MS,0.00118,2.13779
30,1,MS,0.01097,2.13755
31,1,MS,0.01097,2.13769
32,1,MS,0.02069,2.13735
33,1,MS,0.02069,2.13754
34,1,MS,0.02878,2.13714
35,1,MS,0.02878,2.13736
36,1,MS,0.03273,2.13690
37,1,MS,0.03273,2.13716
38,1,MS,0.03225,2.13670
39,1,MS,0.03225,2.13696
40,1,MS,0.02394,2.13657
41,1,MS,0.02394,2.13679
42,1,MS,0.01143,2.13649
43,1,MS,0.01143,2.13666
44,1,MS,0.00484,2.13670
45,1,MS,0.00484,2.13684
46,1,MS,0.00258,2.13688
47,1,MS,0.00258,2.13700
48,1,MS,0.00274,2.13704
49,1,MS,0.00274,2.13714
50,1,MS,0.00252,2.13718
51,1,MS,0.00252,2.13728
52,1,MS,0.00231,2.13731
53,1,MS,0.00231,2.13741
54,1,MS,0.00522,2.13745
55,1,MS,0.00522,2.13757
56,1,MS,0.00926,2.13761
57,1,MS,0.00926,2.13777
58,1,MS,0.02161,2.13783
59,1,MS,0.02161,2.13801
60,1,MS,0.02742,2.13807
61,1,MS,0.02742,2.13828
62,1,MS,0.02347,2.13836
63,1,MS,0.02347,2.13856
64,1,MS,0.01793,2.13865
65,1,MS,0.01793,2.13884
66,1,MS,0.00807,2.13892
67,1,MS,0.00807,2.13907
68,1,MS,0.00450,2.13914
69,1,MS,0.00450,2.13928
70,1,MS,0.00374,2.13936
71,1,MS,0.00374,2.13949
72,1,MS,0.00423,2.13955
73,1,MS,0.00423,2.13967
74,1,MS,0.00415,2.13973
75,1,MS,0.00415,2.13983
76,1,MS,0.00290,2.13988
77,1,MS,0.00290,2.13998
78,1,MS,0.00372,2.14003
79,1,MS,0.00372,2.14013
80,1,MS,0.00622,2.14018
81,1,MS,0.00622,2.14029
82,1,MS,0.00715,2.14035
83,1,MS,0.00715,2.14047
84,1,MS,0.01133,2.14054
85,1,MS,0.01133,2.14069
86,1,MS,0.01064,2.14077
87,1,MS,0.01064,2.14093
88,1,MS,0.00785,2.14101
89,1,MS,0.00785,2.14117
90,1,MS,0.00388,2.14125
91,1,MS,0.00388,2.14137
92,1,MS,0.00266,2.14144
93,1,MS,0.00266,2.14157
94,1,MS,0.00166,2.14163
95,1,MS,0.00166,2.14173
96,1,MS,0.00133,2.14178
97,1,MS,0.00133,2.14188
98,1,MS,0.00200,2.14193
99,1,MS,0.00200,2.14204
100,1,MS,0.00181,2.14210
101,1,MS,0.00181,2.14222
102,1,MS,0.00876,2.14229
103,1,MS,0.00876,2.14249
104,1,MS,0.02543,2.14260
105,1,MS,0.02543,2.14281
106,1,MS,0.02939,2.14293
107,1,MS,0.02939,2.14318
108,1,MS,0.01754,2.14330
109,1,MS,0.01754,2.14354
110,1,MS,0.01846,2.14366
111,1,MS,0.01846,2.14388
112,1,MS,0.01004,2.14401
113,1,MS,0.01004,2.14423
114,1,MS,0.00784,2.14435
115,1,MS,0.00784,2.14453
116,1,MS,0.00399,2.14464
117,1,MS,0.00399,2.14478
118,1,MS,0.00227,2.14486
119,1,MS,0.00227,2.14498
120,1,MS,0.00086,2.14507
121,1,MS,0.00086,2.14523
122,1,MS,0.00153,2.14533
123,1,MS,0.00153,2.14548
124,1,MS,0.00101,2.14557
125,1,MS,0.00101,2.14573
126,1,MS,0.00277,2.14583
127,1,MS,0.00277,2.14603
128,1,MS,0.01005,2.14615
129,1,MS,0.01005,2.14638
130,1,MS,0.00410,2.14648
131,1,MS,0.00410,2.14668
132,1,MS,0.00670,2.14680
133,1,MS,0.00670,2.14703
134,1,MS,0.00980,2.14716
135,1,MS,0.00980,2.14740
136,1,MS,0.00858,2.14754
137,1,MS,0.00858,2.14781
138,1,MS,0.00582,2.14795
139,1,MS,0.00582,2.14815
140,1,MS,0.00321,2.14826
141,1,MS,0.00321,2.14845
142,1,MS,0.00181,2.14855
143,1,MS,0.00181,2.14871
144,1,MS,0.00057,2.14879
145,1,MS,0.00057,2.14893
146,1,MS,0.00043,2.14901
147,1,MS,0.00043,2.14915
148,1,MS,0.00042,2.14923
149,1,MS,0.00042,2.14940
150,1,MS,0.00585,2.14950
151,1,MS,0.00585,2.14974
152,1,MS,0.00804,2.14986
153,1,MS,0.00804,2.15010
154,1,MS,0.01479,2.15022
155,1,MS,0.01479,2.15051
156,1,MS,0.02333,2.15065
157,1,MS,0.02333,2.15098
158,1,MS,0.02384,2.15116
159,1,MS,0.02384,2.15150
160,1,MS,0.01849,2.15170
161,1,MS,0.01849,2.15201
162,1,MS,0.01210,2.15221
163,1,MS,0.01210,2.15246
164,1,MS,0.00248,2.15263
165,1,MS,0.00248,2.15286
166,1,MS,0.00120,2.15301
167,1,MS,0.00120,2.15317
168,1,MS,0.00356,2.15325
169,1,MS,0.00356,2.15338
170,1,MS,0.00342,2.15347
171,1,MS,0.00342,2.15361
172,1,MS,0.00377,2.15370
173,1,MS,0.00377,2.15391
174,1,MS,0.01726,2.15409
175,1,MS,0.01726,2.15442
176,1,MS,0.02529,2.15465
177,1,MS,0.02529,2.15504
178,1,MS,0.04232,2.15531
179,1,MS,0.04232,2.15575
180,1,MS,0.04722,2.15604
181,1,MS,0.04722,2.15648
182,1,MS,0.04464,2.15679
183,1,MS,0.04464,2.15723
184,1,MS,0.03256,2.15756
185,1,MS,0.03256,2.15800
186,1,MS,0.01658,2.15833
