t,plant,axis,organ,AA_consumption_mstruct,C_exudation,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,N_exudation,Nstruct,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_residual,Respi_growth,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Total_Organic_Nitrogen,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,age_from_flowering,amino_acids,cytokinins,mstruct,nitrates,proteins,rate_mstruct_death,rate_mstruct_growth,regul_transpiration,starch,structure,sucrose,sucrose_consumption_mstruct,sum_respi
0,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,4.04123,NA,NA,NA,0.63657,NA,0.00000,9.89406,NA,NA,NA,NA,3327.88771,NA,NA,NA,NA,107.84821,NA,NA,NA,0.00000,2455.32593,NA,NA,NA
0,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172.99121,NA,NA,NA,NA,NA,NA,NA,NA,NA,2688.76567,NA,NA
0,1,MS,roots,0.27740,-0.75499,14.75638,6.75841,0.04885,53.12691,-0.04243,0.00998,NA,2.61111,1.94303,NA,NA,4.62772,7.18456,2.61861,NA,1.40411,NA,NA,748.83580,-0.24287,-3.77495,4.89427,NA,35.93526,3.21167,0.50360,246.87488,NA,0.00000,0.00000,0.06337,NA,NA,639.44493,28.73823,9.18185
1,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,3.79243,NA,NA,NA,0.47072,NA,0.00000,9.28492,NA,NA,NA,NA,6307.35725,NA,NA,NA,NA,108.35891,NA,NA,NA,0.00000,2460.71535,NA,NA,NA
1,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176.48729,NA,NA,NA,NA,NA,NA,NA,NA,NA,3481.16820,NA,NA
1,1,MS,roots,0.27740,23.27150,10.69616,6.66514,0.05763,49.09377,0.92960,0.00998,NA,2.39018,1.82545,NA,NA,4.17319,7.18456,2.39705,NA,1.24622,NA,NA,738.94821,5.89906,116.35752,4.59812,NA,26.04766,3.78903,0.50360,243.46778,NA,0.00000,0.00000,0.06337,NA,NA,652.07692,28.73823,8.38883
2,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,3.57461,NA,NA,NA,0.40154,NA,0.00000,8.75163,NA,NA,NA,NA,9066.35808,NA,NA,NA,NA,108.77534,NA,NA,NA,0.00000,2465.85271,NA,NA,NA
2,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.35853,NA,NA,NA,NA,NA,NA,NA,NA,NA,3865.53043,NA,NA
2,1,MS,roots,0.20733,35.10163,3.63530,2.22954,0.02204,45.85149,1.37653,0.00996,NA,2.26275,1.76173,NA,NA,3.97427,5.36977,2.27102,NA,1.23601,NA,NA,738.29953,8.05268,175.50813,4.43761,NA,26.56734,4.34943,0.50321,244.40752,NA,0.00000,0.00000,0.02112,NA,NA,677.46892,21.47906,7.99875
3,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,3.46897,NA,NA,NA,0.36987,NA,0.00000,8.49300,NA,NA,NA,NA,11719.12050,NA,NA,NA,NA,109.15242,NA,NA,NA,0.00000,2470.85558,NA,NA,NA
3,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.33878,NA,NA,NA,NA,NA,NA,NA,NA,NA,4072.12436,NA,NA
3,1,MS,roots,0.20733,34.88235,3.73246,2.23953,0.02515,44.20890,1.29140,0.00996,NA,2.23022,1.82164,NA,NA,4.04996,5.36977,2.23837,NA,1.32618,NA,NA,739.00962,7.59554,174.41173,4.58852,NA,27.27743,4.96183,0.50321,245.50259,NA,0.00000,0.00000,0.02112,NA,NA,736.79716,21.47906,8.10183
4,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,3.41995,NA,NA,NA,0.35429,NA,0.00000,8.37297,NA,NA,NA,NA,14319.80809,NA,NA,NA,NA,109.51041,NA,NA,NA,0.00000,2475.79572,NA,NA,NA
4,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176.93593,NA,NA,NA,NA,NA,NA,NA,NA,NA,4181.48660,NA,NA
4,1,MS,roots,0.21601,34.20340,3.77488,2.24034,0.02819,43.22534,1.22920,0.00995,NA,2.21349,1.84997,NA,NA,4.08910,5.59453,2.22295,NA,1.37228,NA,NA,738.36334,7.23643,171.01701,4.65988,NA,27.70978,5.58741,0.50290,246.67983,NA,0.00000,0.00000,0.02102,NA,NA,771.04532,22.37813,8.15257
5,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,3.39972,NA,NA,NA,0.34689,NA,0.00000,8.32345,NA,NA,NA,NA,16894.72373,NA,NA,NA,NA,109.85899,NA,NA,NA,0.00000,2480.71005,NA,NA,NA
5,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176.99424,NA,NA,NA,NA,NA,NA,NA,NA,NA,4246.91874,NA,NA
5,1,MS,roots,0.21601,28.77855,3.78740,2.25283,0.03161,42.61207,0.97306,0.00995,NA,2.22198,1.92189,NA,NA,4.20079,5.59453,2.23148,NA,1.44447,NA,NA,738.45521,5.99686,143.89276,4.84104,NA,27.80164,6.26459,0.50290,248.05582,NA,0.00000,0.00000,0.02102,NA,NA,822.24195,22.37813,8.34467
6,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,3.47840,NA,NA,NA,0.35299,NA,0.00000,8.51608,NA,NA,NA,NA,19521.36062,NA,NA,NA,NA,110.21216,NA,NA,NA,0.00000,2485.74045,NA,NA,NA
6,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.30735,NA,NA,NA,NA,NA,NA,NA,NA,NA,4277.62138,NA,NA
6,1,MS,roots,0.23626,27.23762,4.20495,2.57585,0.03989,42.99788,0.87879,0.00993,NA,2.26495,1.97519,NA,NA,4.30116,6.11915,2.27581,NA,1.48866,NA,NA,736.70736,5.64500,136.18811,4.97529,NA,27.12308,6.94711,0.50264,249.22466,NA,0.00000,0.00000,0.02392,NA,NA,840.66090,24.47661,8.54130
7,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,3.59243,NA,NA,NA,0.36543,NA,0.00000,8.79527,NA,NA,NA,NA,22226.89776,NA,NA,NA,NA,110.57650,NA,NA,NA,0.00000,2490.93649,NA,NA,NA
7,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178.52401,NA,NA,NA,NA,NA,NA,NA,NA,NA,4296.77898,NA,NA
7,1,MS,roots,0.23626,22.13256,4.08307,2.59044,0.04411,43.72669,0.66424,0.00993,NA,2.33581,2.07922,NA,NA,4.48306,6.11915,2.34702,NA,1.56688,NA,NA,735.92120,4.59786,110.66281,5.23733,NA,26.33692,7.68289,0.50264,250.63618,NA,0.00000,0.00000,0.02392,NA,NA,877.55056,24.47661,8.89809
8,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,3.46037,NA,NA,NA,0.35675,NA,0.00000,8.47194,NA,NA,NA,NA,24827.58535,NA,NA,NA,NA,110.93010,NA,NA,NA,0.00000,2495.94297,NA,NA,NA
