t,plant,axis,Conc_Nitrates_Soil,Tsoil,mineralisation,nitrates,volume
0,1,MS,319405.57047,19.10000,0.00689,319405.57047,1
1,1,MS,317634.71882,17.90000,0.00628,317634.71882,1
2,1,MS,315976.63581,17.10000,0.00590,315976.63581,1
3,1,MS,314276.02934,16.70000,0.00572,314276.02934,1
4,1,MS,312561.73431,16.50000,0.00563,312561.73431,1
5,1,MS,310780.28178,16.40000,0.00559,310780.28178,1
6,1,MS,308962.85054,16.60000,0.00568,308962.85054,1
7,1,MS,307053.75494,16.90000,0.00581,307053.75494,1
8,1,MS,305224.31315,16.50000,0.00563,305224.31315,1
9,1,MS,303510.13718,15.50000,0.00521,303510.13718,1
10,1,MS,301718.28427,16.30000,0.00554,301718.28427,1
11,1,MS,299628.15309,18.20000,0.00643,299628.15309,1
12,1,MS,297655.54082,17.80000,0.00623,297655.54082,1
13,1,MS,295523.01538,18.70000,0.00668,295523.01538,1
14,1,MS,293421.24204,18.80000,0.00673,293421.24204,1
15,1,MS,291215.28106,19.20000,0.00694,291215.28106,1
16,1,MS,289104.60444,18.80000,0.00673,289104.60444,1
17,1,MS,287059.50584,18.10000,0.00638,287059.50584,1
18,1,MS,285291.53976,16.30000,0.00554,285291.53976,1
19,1,MS,283813.73024,13.80000,0.00455,283813.73024,1
20,1,MS,282577.25659,11.60000,0.00381,282577.25659,1
21,1,MS,281276.28598,12.10000,0.00396,281276.28598,1
22,1,MS,279997.47722,12.00000,0.00393,279997.47722,1
23,1,MS,278861.61435,10.50000,0.00348,278861.61435,1
24,1,MS,277747.29169,10.40000,0.00345,277747.29169,1
25,1,MS,276695.28505,9.70000,0.00326,276695.28505,1
26,1,MS,275465.85145,11.80000,0.00387,275465.85145,1
27,1,MS,274449.92005,9.50000,0.00320,274449.92005,1
28,1,MS,273471.85032,9.20000,0.00313,273471.85032,1
29,1,MS,272067.31985,13.70000,0.00451,272067.31985,1
30,1,MS,270562.07804,14.90000,0.00496,270562.07804,1
31,1,MS,268915.08099,16.10000,0.00546,268915.08099,1
32,1,MS,267019.49187,18.30000,0.00648,267019.49187,1
33,1,MS,264936.75587,19.50000,0.00710,264936.75587,1
34,1,MS,262779.74845,20.30000,0.00755,262779.74845,1
35,1,MS,260420.09905,21.30000,0.00814,260420.09905,1
36,1,MS,257905.49329,22.40000,0.00884,257905.49329,1
37,1,MS,255216.81678,23.00000,0.00924,255216.81678,1
38,1,MS,252528.49096,23.20000,0.00938,252528.49096,1
39,1,MS,249855.29968,22.80000,0.00910,249855.29968,1
40,1,MS,247370.53366,22.00000,0.00858,247370.53366,1
41,1,MS,245039.63914,20.90000,0.00790,245039.63914,1
42,1,MS,242958.53656,19.60000,0.00716,242958.53656,1
43,1,MS,241183.65260,17.40000,0.00604,241183.65260,1
44,1,MS,239600.81835,16.10000,0.00546,239600.81835,1
45,1,MS,238098.69612,15.40000,0.00516,238098.69612,1
46,1,MS,236855.27222,13.20000,0.00433,236855.27222,1
47,1,MS,235531.39715,14.00000,0.00462,235531.39715,1
48,1,MS,234300.60423,13.30000,0.00437,234300.60423,1
49,1,MS,233103.20900,13.00000,0.00426,233103.20900,1
50,1,MS,231953.95314,12.70000,0.00416,231953.95314,1
51,1,MS,230854.56269,12.20000,0.00400,230854.56269,1
52,1,MS,229790.18620,12.00000,0.00393,229790.18620,1
53,1,MS,228695.50506,12.40000,0.00406,228695.50506,1
54,1,MS,227530.65440,13.40000,0.00440,227530.65440,1
55,1,MS,226313.78834,14.00000,0.00462,226313.78834,1
56,1,MS,225062.01856,14.60000,0.00485,225062.01856,1
57,1,MS,223565.58840,16.90000,0.00581,223565.58840,1
58,1,MS,222008.11562,17.70000,0.00618,222008.11562,1
59,1,MS,220395.09458,18.10000,0.00638,220395.09458,1
60,1,MS,218629.47332,19.50000,0.00710,218629.47332,1
61,1,MS,216799.44479,19.80000,0.00727,216799.44479,1
62,1,MS,214947.94664,20.10000,0.00744,214947.94664,1
63,1,MS,213202.17507,19.10000,0.00689,213202.17507,1
64,1,MS,211366.28790,19.90000,0.00732,211366.28790,1
65,1,MS,209719.40852,18.30000,0.00648,209719.40852,1
66,1,MS,208232.49251,17.10000,0.00590,208232.49251,1
67,1,MS,206825.73973,16.30000,0.00554,206825.73973,1
68,1,MS,205550.12271,15.20000,0.00508,205550.12271,1
69,1,MS,204282.64501,15.10000,0.00504,204282.64501,1
70,1,MS,203072.64116,14.70000,0.00489,203072.64116,1
71,1,MS,201874.25183,14.60000,0.00485,201874.25183,1
