t,DOY,hour,air_temperature,PARi,soil_temperature,humidity,ambient_CO2,Wind
0,347,12,5.2,516.2222222,5.839513639,0.95,360,2.9
1,347,13,5.6,549.8888889,6.263926728,0.88,360,2.9
2,347,14,4.8,392.7777778,5.41510055,0.92,360,2.9
3,347,15,3.6,157.1111111,6.223,0.95,360,2.9
4,347,16,3.5,22.44444444,5.9565,0.96,360,2.9
5,347,17,3.6,0,5.733,0.97,360,2.9
6,347,18,3.7,0,5.59,0.98,360,2.9
7,347,19,3.9,0,5.511,0.99,360,2.9
8,347,20,3.9,0,5.4795,0.99,360,2.9
9,347,21,4.4,0,5.455,0.99,360,2.9
10,347,22,4.7,0,5.4495,0.99,360,2.9
11,347,23,4.4,0,5.4655,0.99,360,2.9
12,347,24,4.3,0,5.445,0.98,360,4.6
13,348,1,4.5,0,5.385,0.96,360,4.6
14,348,2,4.5,0,5.346,0.96,360,4.6
15,348,3,5.1,0,5.347,0.96,360,4.6
16,348,4,5.5,0,5.401,0.95,360,4.6
17,348,5,5.8,0,5.4885,0.95,360,4.6
18,348,6,6.2,0,5.5995,0.94,360,4.6
19,348,7,6.6,0,5.7115,0.94,360,4.6
20,348,8,7.1,0,5.8395,0.93,360,4.6
21,348,9,7.2,11.22222222,6.0005,0.95,360,4.6
22,348,10,7.7,33.66666667,6.203,0.95,360,4.6
23,348,11,7.6,33.66666667,6.433,0.95,360,4.6
24,348,12,7.7,22.44444444,6.6255,0.95,360,4.6
25,348,13,7.9,44.88888889,6.7725,0.96,360,4.6
26,348,14,8.3,56.11111111,6.9305,0.95,360,4.6
27,348,15,8.4,33.66666667,7.14,0.96,360,4.6
28,348,16,8.8,11.22222222,7.305,0.96,360,4.6
29,348,17,9.1,0,7.425,0.95,360,4.6
30,348,18,9.2,0,7.5,0.95,360,4.6
31,348,19,9.1,0,7.57,0.92,360,4.6
32,348,20,9.4,0,7.535,0.9,360,4.6
33,348,21,8.9,0,7.59,0.88,360,4.6
34,348,22,8.8,0,7.52,0.85,360,4.6
35,348,23,8.8,0,7.365,0.87,360,4.6
36,348,24,8.8,0,7.43,0.91,360,5.2
37,349,1,8.8,0,7.53,0.84,360,5.2
38,349,2,8.5,0,7.465,0.78,360,5.2
39,349,3,7.8,0,7.16,0.84,360,5.2
40,349,4,8.5,0,7.015,0.82,360,5.2
41,349,5,7.9,0,7.035,0.82,360,5.2
42,349,6,7.2,0,6.9955,0.88,360,5.2
43,349,7,6.6,0,6.9275,0.86,360,5.2
44,349,8,6.1,0,6.727,0.86,360,5.2
45,349,9,6.6,157.1111111,6.381,0.83,360,5.2
46,349,10,7.2,359.1111111,6.25,0.79,360,5.2
47,349,11,7.5,370.3333333,6.452,0.79,360,5.2
48,349,12,8.6,594.7777778,6.756,0.71,360,5.2
49,349,13,8.8,493.7777778,7.075,0.7,360,5.2
50,349,14,8.5,314.2222222,7.195,0.71,360,5.2
51,349,15,8,213.2222222,7.135,0.7,360,5.2
52,349,16,7.5,11.22222222,7.0375,0.72,360,5.2
53,349,17,6.5,0,6.736,0.78,360,5.2
54,349,18,5.8,0,6.3705,0.82,360,5.2
55,349,19,5.2,0,6.1425,0.89,360,5.2
56,349,20,5.6,0,5.922,0.88,360,5.2
57,349,21,5.7,0,5.792,0.87,360,5.2
58,349,22,5.7,0,5.7105,0.87,360,5.2
59,349,23,5.1,0,5.6855,0.9,360,5.2
60,349,24,4.6,0,5.6745,0.92,360,4.2
61,350,1,4.3,0,5.6205,0.93,360,4.2
62,350,2,4.1,0,5.535,0.93,360,4.2
63,350,3,4,0,5.4325,0.94,360,4.2
64,350,4,4,0,5.351,0.95,360,4.2
65,350,5,3.8,0,5.298,0.95,360,4.2
66,350,6,3.9,0,5.246,0.95,360,4.2
67,350,7,3.6,0,5.174,0.94,360,4.2
68,350,8,3.6,0,5.0865,0.94,360,4.2
69,350,9,3.6,22.44444444,4.9975,0.94,360,4.2
70,350,10,3.6,44.88888889,4.9475,0.94,360,4.2
71,350,11,4.1,101,4.967,0.94,360,4.2
72,350,12,4.4,123.4444444,5.114,0.92,360,4.2
73,350,13,4.5,145.8888889,5.3275,0.88,360,4.2
74,350,14,4.6,123.4444444,5.4345,0.86,360,4.2
75,350,15,4.4,112.2222222,5.442,0.83,360,4.2
76,350,16,4.1,56.11111111,5.256,0.81,360,4.2
77,350,17,3.3,0,4.898,0.82,360,4.2
78,350,18,2.7,0,4.3945,0.83,360,4.2
79,350,19,1.8,0,3.926,0.85,360,4.2
80,350,20,1.6,0,3.537,0.88,360,4.2
81,350,21,1.5,0,3.1595,0.89,360,4.2
82,350,22,0.9,0,2.8465,0.91,360,4.2
83,350,23,1,0,2.605,0.92,360,4.2
84,350,24,1.1,0,2.494,0.93,360,1.4
85,351,1,0.5,0,2.457,0.93,360,1.4
86,351,2,0.7,0,2.403,0.94,360,1.4
87,351,3,0.6,0,2.354,0.95,360,1.4
88,351,4,-0.3,0,2.3025,0.96,360,1.4
89,351,5,-0.8,0,2.2405,0.97,360,1.4
90,351,6,0,0,2.179,0.97,360,1.4
91,351,7,-0.7,0,2.143,0.97,360,1.4
92,351,8,-1,11.22222222,2.0695,0.98,360,1.4
93,351,9,-0.1,145.8888889,1.988,0.97,360,1.4
94,351,10,1.3,392.7777778,1.932,0.97,360,1.4
95,351,11,2.1,505,1.921,0.93,360,1.4
96,351,12,3.2,594.7777778,2.044,0.83,360,1.4
97,351,13,3.2,460.1111111,2.516,0.75,360,1.4
98,351,14,3.7,291.7777778,2.926,0.75,360,1.4
99,351,15,3.2,224.4444444,3.1885,0.73,360,1.4
100,351,16,2.4,33.66666667,3.181,0.78,360,1.4
101,351,17,1.7,0,2.891,0.79,360,1.4
102,351,18,1.3,0,2.6005,0.83,360,1.4
103,351,19,1.1,0,2.2495,0.87,360,1.4
104,351,20,1.3,0,2.0975,0.81,360,1.4
105,351,21,1.5,0,2.023,0.79,360,1.4
106,351,22,1,0,1.9455,0.85,360,1.4
107,351,23,0.8,0,1.849,0.89,360,1.4
108,351,24,0.8,0,1.787,0.89,360,2.4
109,352,1,0.8,0,1.7415,0.9,360,2.4
110,352,2,1.1,0,1.725,0.9,360,2.4
111,352,3,0.7,0,1.7195,0.91,360,2.4
112,352,4,0.6,0,1.682,0.91,360,2.4
113,352,5,0.9,0,1.6535,0.91,360,2.4
114,352,6,1.2,0,1.656,0.88,360,2.4
115,352,7,1.7,0,1.6575,0.86,360,2.4
116,352,8,1.9,0,1.6795,0.83,360,2.4
117,352,9,2,56.11111111,1.6995,0.83,360,2.4
118,352,10,2.7,168.3333333,1.7645,0.8,360,2.4
119,352,11,3.8,314.2222222,1.9495,0.76,360,2.4
120,352,12,4.8,303,2.3975,0.74,360,2.4
121,352,13,4.9,224.4444444,2.9895,0.73,360,2.4
122,352,14,5.1,190.7777778,3.397,0.76,360,2.4
123,352,15,5,101,3.6905,0.78,360,2.4
124,352,16,4,33.66666667,3.782,0.82,360,2.4
125,352,17,3.5,0,3.664,0.85,360,2.4
126,352,18,2.4,0,3.4755,0.87,360,2.4
127,352,19,2,0,3.177,0.89,360,2.4
128,352,20,1.9,0,2.729,0.87,360,2.4
129,352,21,1.6,0,2.489,0.88,360,2.4
130,352,22,1.5,0,2.4375,0.89,360,2.4
131,352,23,1.2,0,2.4115,0.9,360,2.4
132,352,24,1.2,0,2.359,0.9,360,1.9
133,353,1,0.4,0,2.303,0.9,360,1.9
134,353,2,-0.2,0,2.0455,0.91,360,1.9
135,353,3,-0.6,0,1.827,0.94,360,1.9
136,353,4,-0.2,0,1.7325,0.9,360,1.9
137,353,5,-0.6,0,1.66,0.91,360,1.9
138,353,6,-1.3,0,1.597,0.94,360,1.9
139,353,7,-1.6,0,1.531,0.96,360,1.9
140,353,8,-2.1,0,1.4655,0.97,360,1.9
141,353,9,-1.2,157.1111111,1.393,0.97,360,1.9
142,353,10,0.2,392.7777778,1.347,0.94,360,1.9
143,353,11,2.1,538.6666667,1.33,0.81,360,1.9
144,353,12,2.8,516.2222222,1.3395,0.77,360,1.9
145,353,13,3.4,336.6666667,1.4975,0.75,360,1.9
146,353,14,3.2,336.6666667,1.7565,0.79,360,1.9
147,353,15,2.9,179.5555556,2.085,0.81,360,1.9
148,353,16,1.8,44.88888889,2.1305,0.83,360,1.9
149,353,17,1.3,0,1.902,0.85,360,1.9
150,353,18,0.8,0,1.6365,0.89,360,1.9
151,353,19,0.6,0,1.512,0.91,360,1.9
152,353,20,0.3,0,1.4535,0.93,360,1.9
153,353,21,0.2,0,1.407,0.92,360,1.9
154,353,22,0.5,0,1.3765,0.91,360,1.9
155,353,23,0.9,0,1.3615,0.89,360,1.9
156,353,24,1.6,0,1.3635,0.93,360,3.1
157,354,1,1.7,0,1.3785,0.96,360,3.1
158,354,2,1.8,0,1.4075,0.97,360,3.1
159,354,3,2,0,1.4735,0.98,360,3.1
160,354,4,2,0,1.5835,0.98,360,3.1
161,354,5,2.4,0,1.697,0.99,360,3.1
162,354,6,2.4,0,1.8395,0.99,360,3.1
163,354,7,1.3,0,1.896,0.99,360,3.1
164,354,8,1.3,0,1.677,1,360,3.1
165,354,9,1.8,112.2222222,1.459,1,360,3.1
166,354,10,3.1,370.3333333,1.43,0.99,360,3.1
167,354,11,4.5,448.8888889,1.8615,0.94,360,3.1
168,354,12,5.5,516.2222222,2.5705,0.88,360,3.1
169,354,13,6.6,572.3333333,3.346,0.82,360,3.1
170,354,14,6.1,404,4.05,0.83,360,3.1
171,354,15,6.3,224.4444444,4.233,0.82,360,3.1
172,354,16,4.7,67.33333333,4.016,0.86,360,3.1
173,354,17,3.9,0,3.58,0.89,360,3.1
174,354,18,3.8,0,3.0645,0.92,360,3.1
175,354,19,4.2,0,2.8445,0.91,360,3.1
176,354,20,4.4,0,2.8645,0.91,360,3.1
177,354,21,4.6,0,2.9695,0.9,360,3.1
178,354,22,4.4,0,3.0845,0.92,360,3.1
179,354,23,4.3,0,3.187,0.94,360,3.1
180,354,24,4.2,0,3.2895,0.95,360,5.6
181,355,1,4.8,0,3.4215,0.97,360,5.6
182,355,2,5,0,3.6025,0.98,360,5.6
183,355,3,5,0,3.8075,0.98,360,5.6
184,355,4,5,0,3.949,0.98,360,5.6
185,355,5,5.3,0,4.072,0.98,360,5.6
186,355,6,5.7,0,4.2125,0.99,360,5.6
187,355,7,5.7,0,4.358,0.99,360,5.6
188,355,8,5.8,0,4.4785,0.99,360,5.6
189,355,9,6,33.66666667,4.617,0.99,360,5.6
190,355,10,6.5,89.77777778,4.808,0.99,360,5.6
191,355,11,7,157.1111111,5.0925,0.99,360,5.6
192,355,12,7.4,179.5555556,5.4285,0.99,360,5.6
193,355,13,8.3,224.4444444,5.865,0.98,360,5.6
194,355,14,8.7,134.6666667,6.272,0.96,360,5.6
195,355,15,9.1,112.2222222,6.5055,0.94,360,5.6
196,355,16,8.7,22.44444444,6.6535,0.93,360,5.6
197,355,17,8.4,0,6.688,0.96,360,5.6
198,355,18,8.7,0,6.6845,0.93,360,5.6
199,355,19,9,0,6.6835,0.9,360,5.6
200,355,20,8.9,0,6.668,0.89,360,5.6
201,355,21,9.2,0,6.6455,0.89,360,5.6
202,355,22,8.7,0,6.6425,0.9,360,5.6
203,355,23,9,0,6.7215,0.91,360,5.6
204,355,24,8.8,0,6.7995,0.92,360,6.8
205,356,1,9,0,6.8615,0.91,360,6.8
206,356,2,8.8,0,6.9095,0.93,360,6.8
207,356,3,8.6,0,6.9625,0.96,360,6.8
