Scenario,HZ.VMAX_SPROTEINS,ELT.VMAX_SPROTEINS,ELT.DELTA_D_CYTOKININS,RT.VMAX_S_CYTOKININS ,RT.K_NITRATE_EXPORT,RT.K_NITRATES_CYTOKININS,RT.N_NIT_CYTOKININS,RT.K_CYTOKININS_EXPORT
32,0.345,0.0045,1.50E-05,0.0009,1.20E-04,5.00E+01,1.00E+00,6.66667E-05
33,0.345,0.0045,1.50E-05,0.0009,1.20E-04,1.00E+01,1.00E+00,6.66667E-05
34,0.345,0.0045,1.50E-05,0.0011,1.20E-04,1.00E+01,1.00E+00,0.00005
35,0.345,0.0045,1.50E-05,0.0013,1.20E-04,1.00E+01,1.00E+00,0.00005
36,0.345,0.0045,1.50E-05,0.0013,1.20E-04,1.00E+01,1.00E+00,0.00004
37,0.345,0.0045,1.50E-05,0.0009,9.00E-05,5.00E+01,1.00E+00,6.66667E-05
38,0.345,0.0045,1.50E-05,0.0009,9.00E-05,1.00E+01,1.00E+00,6.66667E-05
39,0.345,0.0045,1.50E-05,0.0011,9.00E-05,1.00E+01,1.00E+00,0.00005
40,0.345,0.0045,1.50E-05,0.0013,9.00E-05,1.00E+01,1.00E+00,0.00005
41,0.345,0.0045,1.50E-05,0.0013,9.00E-05,1.00E+01,1.00E+00,0.00004
