t,plant,axis,Conc_Nitrates_Soil,Tsoil,mineralisation,nitrates,volume
0,1,MS,320445.72219,19.10000,0.00689,320445.72219,1
1,1,MS,319537.03323,17.90000,0.00628,319537.03323,1
2,1,MS,319174.42228,17.10000,0.00590,319174.42228,1
3,1,MS,318772.26077,16.70000,0.00572,318772.26077,1
4,1,MS,318698.21692,16.50000,0.00563,318698.21692,1
5,1,MS,318556.79804,16.40000,0.00559,318556.79804,1
6,1,MS,318551.58800,16.60000,0.00568,318551.58800,1
7,1,MS,318466.69903,16.90000,0.00581,318466.69903,1
8,1,MS,318457.91612,16.50000,0.00563,318457.91612,1
9,1,MS,318378.98654,15.50000,0.00521,318378.98654,1
10,1,MS,318368.09956,16.30000,0.00554,318368.09956,1
11,1,MS,318266.48574,18.20000,0.00643,318266.48574,1
12,1,MS,318274.72137,17.80000,0.00623,318274.72137,1
13,1,MS,318183.72217,18.70000,0.00668,318183.72217,1
14,1,MS,318202.64815,18.80000,0.00673,318202.64815,1
15,1,MS,318112.29842,19.20000,0.00694,318112.29842,1
16,1,MS,318128.57909,18.80000,0.00673,318128.57909,1
17,1,MS,318040.85825,18.10000,0.00638,318040.85825,1
18,1,MS,318026.49079,16.30000,0.00554,318026.49079,1
19,1,MS,317946.36723,13.80000,0.00455,317946.36723,1
20,1,MS,317899.20704,11.60000,0.00381,317899.20704,1
21,1,MS,317797.71218,12.10000,0.00396,317797.71218,1
22,1,MS,317740.15574,12.00000,0.00393,317740.15574,1
23,1,MS,317643.73488,10.50000,0.00348,317643.73488,1
24,1,MS,317576.75636,10.40000,0.00345,317576.75636,1
25,1,MS,317472.37433,9.70000,0.00326,317472.37433,1
26,1,MS,317403.16338,11.80000,0.00387,317403.16338,1
27,1,MS,317304.65085,9.50000,0.00320,317304.65085,1
28,1,MS,317231.11609,9.20000,0.00313,317231.11609,1
29,1,MS,317067.89029,13.70000,0.00451,317067.89029,1
30,1,MS,317024.56000,14.90000,0.00496,317024.56000,1
31,1,MS,316898.30779,16.10000,0.00546,316898.30779,1
32,1,MS,316919.94721,18.30000,0.00648,316919.94721,1
33,1,MS,316820.98538,19.50000,0.00710,316820.98538,1
34,1,MS,316866.88821,20.30000,0.00755,316866.88821,1
35,1,MS,316759.70152,21.30000,0.00814,316759.70152,1
36,1,MS,316852.71235,22.40000,0.00884,316852.71235,1
37,1,MS,316745.85340,23.00000,0.00924,316745.85340,1
