plant,axis,metamer,hiddenzone_age,leaf_pseudo_age,internode_pseudo_age,leaf_is_growing,internode_is_growing,leaf_pseudostem_length,internode_distance_to_emerge,leaf_L,internode_L,delta_leaf_pseudo_age,delta_internode_pseudo_age,delta_internode_distance_to_emerge,delta_internode_L,delta_leaf_L,delta_leaf_pseudostem_length,leaf_Lmax,lamina_Lmax,sheath_Lmax,leaf_Wmax,SSLW,LSSW,leaf_is_emerged,internode_Lmax,LSIW,internode_is_visible,sucrose,amino_acids,fructan,proteins,leaf_enclosed_mstruct,internode_enclosed_mstruct,mstruct,leaf_enclosed_Nstruct,internode_enclosed_Nstruct,Nstruct,radius,turgor_water_potential,water_content,temperature
1,MS,3,3835440,1589281,864000,True,True,0.02895,0.0289,0.0925,0.00005,3600,3600,0,0,0,0,0.1228,0.093426659,0.029373341,0.004,25,0.09,True,NA,1,False,9.04E+00,0.726712681,9.039938916,1.04E+01,0.002047728,1.32E-06,2.05E-03,1.02E-05,6.62E-09,1.02E-05,0.0015,0.55,0.048115734,12
1,MS,4,3287520,776406,0,True,True,0.02894,0.02893,0.026,0.00001,3600,0,0,0,0,0,0.1331,0.099106478,0.033993522,0.0044,24,0.14,False,NA,NA,False,3.50E+00,0.409205083,3.501716254,5.85E+00,0.000793554,1.69E-07,7.94E-04,3.97E-06,8.44E-10,3.97E-06,0.00075,0.55,2.66E-02,12
1,MS,5,2739600,#N/A,0,True,False,0.02894,0.02894,0.002,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,False,NA,NA,False,1.31E-01,1.54E-02,1.31E-01,2.19E-01,2.98E-05,0.00E+00,2.98E-05,1.49E-07,0.00E+00,1.49E-07,0.000375,0.55,9.95E-04,12
1,MS,6,2191680,#N/A,0,True,False,0.02894,0.02894,0.00072,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,False,NA,NA,False,3.56E-02,4.16E-03,3.56E-02,5.95E-02,8.08E-06,0.00E+00,8.08E-06,4.04E-08,0,4.04E-08,0.0001875,0.55,2.70E-04,12
1,MS,7,1643760,#N/A,0,True,False,0.02894,0.02894,0.00031,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,False,NA,NA,False,1.22E-02,1.42E-03,1.22E-02,2.04E-02,2.76E-06,0.00E+00,2.76E-06,1.38E-08,0,1.38E-08,0.00009375,0.55,9.26E-05,12
1,MS,8,1095840,#N/A,0,True,False,0.02894,0.02894,0.00016,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,False,NA,NA,False,5.30E-03,6.19E-04,5.30E-03,8.84E-03,1.20E-06,0.00E+00,1.20E-06,6.00E-09,0,6.00E-09,0.000046875,0.55,4.01E-05,12
1,MS,9,547920,#N/A,0,True,False,0.02894,0.02894,0.00007,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,False,NA,NA,False,1.91E-03,2.24E-04,1.91E-03,3.20E-03,4.34E-07,0.00E+00,4.34E-07,2.17E-09,0,2.17E-09,2.34E-05,0.55,1.45E-05,12
1,MS,10,0,#N/A,0,True,False,0.02894,0.02894,0.00005,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,False,NA,NA,False,1.29E-03,1.50E-04,1.29E-03,2.15E-03,2.91E-07,0.00E+00,2.91E-07,1.46E-09,0,1.46E-09,1.17E-05,0.55,9.76E-06,12
1,T1,1,3287520,776406,0,True,True,0.02894,0.02893,0.026,0.00001,3600,0,0,0,0,0,0.1331,0.099106478,0.033993522,0.0044,24,0.14,False,NA,NA,False,3.501716254,0.409205083,3.501716254,5.845786907,0.000793554,1.69E-07,0.000793722,3.97E-06,8.44E-10,3.97E-06,0.0015,0.55,0.048115734,12
1,T1,2,2739600,#N/A,0,True,False,0.02894,0.02894,0.002,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,False,NA,NA,False,0.131435616,0.01535936,0.131435616,0.219419435,2.98E-05,0,2.98E-05,1.49E-07,0,1.49E-07,0.00075,0.55,2.66E-02,12
1,T1,3,2191680,#N/A,0,True,False,0.02894,0.02894,0.00072,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,False,NA,NA,False,0.035630437,0.004163717,0.035630437,0.059481674,8.08E-06,0,8.08E-06,4.04E-08,0,4.04E-08,0.000375,0.55,9.95E-04,12
1,T1,4,1643760,#N/A,0,True,False,0.02894,0.02894,0.00031,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,False,NA,NA,False,0.012193692,0.001424936,0.012193692,0.020356225,2.76E-06,0,2.76E-06,1.38E-08,0,1.38E-08,0.0001875,0.55,2.70E-04,12
1,T1,5,1095840,#N/A,0,True,False,0.02894,0.02894,0.00016,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,False,NA,NA,False,0.005296339,0.000618922,0.005296339,0.008841742,1.20E-06,0,1.20E-06,6.00E-09,0,6.00E-09,0.00009375,0.55,9.26E-05,12
1,T1,6,547920,#N/A,0,True,False,0.02894,0.02894,0.00007,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,False,NA,NA,False,0.00191468,0.000223747,0.00191468,0.003196379,4.34E-07,0,4.34E-07,2.17E-09,0,2.17E-09,0.000046875,0.55,4.01E-05,12
1,T1,7,0,#N/A,0,True,False,0.02894,0.02894,0.00005,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,False,NA,NA,False,0.001285576,0.00015023,0.001285576,0.002146149,2.91E-07,0,2.91E-07,1.46E-09,0,1.46E-09,2.34E-05,0.55,1.45E-05,12
1,T2,1,2739600,#N/A,0,True,False,0.02894,0.02894,0.002,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,False,NA,NA,False,0.131435616,0.01535936,0.131435616,0.219419435,2.98E-05,0,2.98E-05,1.49E-07,0,1.49E-07,1.17E-05,0.55,9.76E-06,12
1,T2,2,2191680,#N/A,0,True,False,0.02894,0.02894,0.00072,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,False,NA,NA,False,0.035630437,0.004163717,0.035630437,0.059481674,8.08E-06,0,8.08E-06,4.04E-08,0,4.04E-08,0.0015,0.55,0.048115734,12
1,T2,3,1643760,#N/A,0,True,False,0.02894,0.02894,0.00031,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,False,NA,NA,False,0.012193692,0.001424936,0.012193692,0.020356225,2.76E-06,0,2.76E-06,1.38E-08,0,1.38E-08,0.00075,0.55,2.66E-02,12
1,T2,4,1095840,#N/A,0,True,False,0.02894,0.02894,0.00016,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,False,NA,NA,False,0.005296339,0.000618922,0.005296339,0.008841742,1.20E-06,0,1.20E-06,6.00E-09,0,6.00E-09,0.000375,0.55,9.95E-04,12
1,T2,5,547920,#N/A,0,True,False,0.02894,0.02894,0.00007,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,False,NA,NA,False,0.00191468,0.000223747,0.00191468,0.003196379,4.34E-07,0,4.34E-07,2.17E-09,0,2.17E-09,0.0001875,0.55,2.70E-04,12
1,T2,6,0,#N/A,0,True,False,0.02894,0.02894,0.00005,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,False,NA,NA,False,0.001285576,0.00015023,0.001285576,0.002146149,2.91E-07,0,2.91E-07,1.46E-09,0,1.46E-09,0.00009375,0.55,9.26E-05,12
1,T3,1,2191680,#N/A,0,True,False,0.02894,0.02894,0.00072,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,False,NA,NA,False,0.035630437,0.004163717,0.035630437,0.059481674,8.08E-06,0,8.08E-06,4.04E-08,0,4.04E-08,0.000046875,0.55,4.01E-05,12
1,T3,2,1643760,#N/A,0,True,False,0.02894,0.02894,0.00031,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,False,NA,NA,False,0.012193692,0.001424936,0.012193692,0.020356225,2.76E-06,0,2.76E-06,1.38E-08,0,1.38E-08,2.34E-05,0.55,1.45E-05,12
1,T3,3,1095840,#N/A,0,True,False,0.02894,0.02894,0.00016,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,False,NA,NA,False,0.005296339,0.000618922,0.005296339,0.008841742,1.20E-06,0,1.20E-06,6.00E-09,0,6.00E-09,1.17E-05,0.55,9.76E-06,12
1,T3,4,547920,#N/A,0,True,False,0.02894,0.02894,0.00007,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,False,NA,NA,False,0.00191468,0.000223747,0.00191468,0.003196379,4.34E-07,0,4.34E-07,2.17E-09,0,2.17E-09,0.0015,0.55,0.048115734,12
