t,plant,axis,Total_transpiration
0,1,MS,0.002929698290816821
1,1,MS,0.002929698290816821
2,1,MS,0.0009626647009590276
3,1,MS,0.0009626647009590276
4,1,MS,0.0009438578828587127
5,1,MS,0.0009438578828587127
6,1,MS,0.0010267248115426633
7,1,MS,0.0010267248115426633
8,1,MS,0.0029703841012847228
9,1,MS,0.0029703841012847228
10,1,MS,0.006464284613636403
11,1,MS,0.006464284613636403
12,1,MS,0.01912451357821144
13,1,MS,0.01912451357821144
14,1,MS,0.02008708510990458
15,1,MS,0.02008708510990458
16,1,MS,0.02017594139411456
17,1,MS,0.02017594139411456
18,1,MS,0.010386167654153892
19,1,MS,0.010386167654153892
20,1,MS,0.002515924053900352
21,1,MS,0.002515924053900352
22,1,MS,0.00348161797905728
23,1,MS,0.00348161797905728
24,1,MS,0.0017262310057942574
25,1,MS,0.0017262310057942574
26,1,MS,0.002683632196942056
27,1,MS,0.002683632196942056
28,1,MS,0.0011671337535638115
29,1,MS,0.0011671337535638115
30,1,MS,0.010312203390470384
31,1,MS,0.010312203390470384
32,1,MS,0.01860475252098852
33,1,MS,0.01860475252098852
34,1,MS,0.025965212857619505
35,1,MS,0.025965212857619505
36,1,MS,0.03142852131800702
37,1,MS,0.03142852131800702
38,1,MS,0.033729267439481875
39,1,MS,0.033729267439481875
40,1,MS,0.026229114732402865
41,1,MS,0.026229114732402865
42,1,MS,0.012884898640377753
43,1,MS,0.012884898640377753
44,1,MS,0.0053484430668921355
45,1,MS,0.0053484430668921355
46,1,MS,0.002806779090799003
47,1,MS,0.002806779090799003
48,1,MS,0.0029581608181497515
49,1,MS,0.0029581608181497515
50,1,MS,0.0027180480024473572
51,1,MS,0.0027180480024473572
52,1,MS,0.002475017718128174
53,1,MS,0.002475017718128174
54,1,MS,0.005252152239296014
55,1,MS,0.005252152239296014
56,1,MS,0.009074971349340419
57,1,MS,0.009074971349340419
58,1,MS,0.019948721574716693
59,1,MS,0.019948721574716693
60,1,MS,0.02617281645470254
61,1,MS,0.02617281645470254
62,1,MS,0.024132164730246763
63,1,MS,0.024132164730246763
64,1,MS,0.019368908426371064
65,1,MS,0.019368908426371064
66,1,MS,0.008816344472434864
67,1,MS,0.008816344472434864
68,1,MS,0.0048610983062890144
69,1,MS,0.0048610983062890144
70,1,MS,0.004025466436239713
71,1,MS,0.004025466436239713
72,1,MS,0.004492144656736874
73,1,MS,0.004492144656736874
74,1,MS,0.004396479781383723
75,1,MS,0.004396479781383723
76,1,MS,0.0030607597140935444
77,1,MS,0.0030607597140935444
78,1,MS,0.003853741044580835
79,1,MS,0.003853741044580835
80,1,MS,0.005832143243160327
81,1,MS,0.005832143243160327
82,1,MS,0.006776804848556265
83,1,MS,0.006776804848556265
84,1,MS,0.010618125429700984
85,1,MS,0.010618125429700984
86,1,MS,0.010492025434829421
87,1,MS,0.010492025434829421
88,1,MS,0.008272741851629593
89,1,MS,0.008272741851629593
90,1,MS,0.004117186779511916
91,1,MS,0.004117186779511916
92,1,MS,0.0028212992888738747
93,1,MS,0.0028212992888738747
94,1,MS,0.0017482276866384666
95,1,MS,0.0017482276866384666
96,1,MS,0.0013938852832967906
97,1,MS,0.0013938852832967906
98,1,MS,0.0021142129940510263
99,1,MS,0.0021142129940510263
100,1,MS,0.0019068488063444318
101,1,MS,0.0019068488063444318
102,1,MS,0.008265044762339711
103,1,MS,0.008265044762339711
104,1,MS,0.023858767469379927
105,1,MS,0.023858767469379927
106,1,MS,0.028316857713359678
107,1,MS,0.028316857713359678
108,1,MS,0.01909050573636623
109,1,MS,0.01909050573636623
110,1,MS,0.018359787123620065
111,1,MS,0.018359787123620065
112,1,MS,0.011059498872575048
113,1,MS,0.011059498872575048
114,1,MS,0.008560776551767495
115,1,MS,0.008560776551767495
116,1,MS,0.004293744916078534
117,1,MS,0.004293744916078534
118,1,MS,0.0024020129190817576
119,1,MS,0.0024020129190817576
120,1,MS,0.0009457896947761187
121,1,MS,0.0009457896947761187
122,1,MS,0.0016989596514644899
123,1,MS,0.0016989596514644899
124,1,MS,0.001047196808271319
125,1,MS,0.001047196808271319
126,1,MS,0.002379786756356701
127,1,MS,0.002379786756356701
128,1,MS,0.009647449710700787
129,1,MS,0.009647449710700787
130,1,MS,0.001772585127801466
131,1,MS,0.001772585127801466
132,1,MS,0.005609702711930451
133,1,MS,0.005609702711930451
134,1,MS,0.008916681754157645
135,1,MS,0.008916681754157645
136,1,MS,0.009246254981560693
137,1,MS,0.009246254981560693
138,1,MS,0.006415516231067575
139,1,MS,0.006415516231067575
140,1,MS,0.0035958684564940976
141,1,MS,0.0035958684564940976
142,1,MS,0.0019983291148607525
143,1,MS,0.0019983291148607525
144,1,MS,0.0006299723625744911
145,1,MS,0.0006299723625744911
146,1,MS,0.00047725802013776693
147,1,MS,0.00047725802013776693
148,1,MS,0.00041802467466820555
149,1,MS,0.00041802467466820555
150,1,MS,0.0047576345619760665
151,1,MS,0.0047576345619760665
152,1,MS,0.007580710498929462
153,1,MS,0.007580710498929462
154,1,MS,0.009757465826465587
155,1,MS,0.009757465826465587
156,1,MS,0.016906449126206622
157,1,MS,0.016906449126206622
158,1,MS,0.0202872188764323
159,1,MS,0.0202872188764323
160,1,MS,0.019777951259247844
161,1,MS,0.019777951259247844
162,1,MS,0.013914397917920564
163,1,MS,0.013914397917920564
164,1,MS,0.0028518258972884416
165,1,MS,0.0028518258972884416
166,1,MS,0.0013592986923893745
167,1,MS,0.0013592986923893745
168,1,MS,0.0037282014126301614
169,1,MS,0.0037282014126301614
170,1,MS,0.0035828618295652456
171,1,MS,0.0035828618295652456
172,1,MS,0.003939607592536887
173,1,MS,0.003939607592536887
174,1,MS,0.01809356569008824
175,1,MS,0.01809356569008824
176,1,MS,0.02741031453434793
177,1,MS,0.02741031453434793
178,1,MS,0.04561864567070481
179,1,MS,0.04561864567070481
180,1,MS,0.05212500955271773
181,1,MS,0.05212500955271773
182,1,MS,0.05101205959129401
183,1,MS,0.05101205959129401
184,1,MS,0.038017766587513206
185,1,MS,0.038017766587513206
186,1,MS,0.01889122238913482
187,1,MS,0.01889122238913482
188,1,MS,0.012021686738635396
189,1,MS,0.012021686738635396
190,1,MS,0.010915042237825606
191,1,MS,0.010915042237825606
192,1,MS,0.0011622924665464225
193,1,MS,0.0011622924665464225
194,1,MS,0.0008212179406268776
195,1,MS,0.0008212179406268776
196,1,MS,0.00040942418111787355
