t,plant,axis,Conc_Nitrates_Soil,Tsoil,nitrates,volume
0,1,MS,317900.22850119136,15.0,317900.22850119136,1.0
1,1,MS,314449.3145042981,15.0,314449.3145042981,1.0
2,1,MS,311187.8402812531,15.0,311187.8402812531,1.0
3,1,MS,307973.5037515174,15.0,307973.5037515174,1.0
4,1,MS,304922.70431146194,15.0,304922.70431146194,1.0
5,1,MS,301905.11895296077,15.0,301905.11895296077,1.0
6,1,MS,299033.43875887385,15.0,299033.43875887385,1.0
7,1,MS,296185.813314594,15.0,296185.813314594,1.0
8,1,MS,293469.86891376425,15.0,293469.86891376425,1.0
9,1,MS,290770.0835762978,15.0,290770.0835762978,1.0
10,1,MS,288189.5630722337,15.0,288189.5630722337,1.0
11,1,MS,285618.3731431333,15.0,285618.3731431333,1.0
12,1,MS,283154.83384686743,15.0,283154.83384686743,1.0
13,1,MS,280693.0196886929,15.0,280693.0196886929,1.0
14,1,MS,278328.8948812862,15.0,278328.8948812862,1.0
15,1,MS,275961.90824354975,15.0,275961.90824354975,1.0
16,1,MS,273684.83985575044,15.0,273684.83985575044,1.0
17,1,MS,271401.1021616606,15.0,271401.1021616606,1.0
18,1,MS,269201.6662067878,15.0,269201.6662067878,1.0
19,1,MS,266994.6067553771,15.0,266994.6067553771,1.0
20,1,MS,264868.84164181905,15.0,264868.84164181905,1.0
21,1,MS,262736.5349951819,15.0,262736.5349951819,1.0
22,1,MS,260682.11300402676,15.0,260682.11300402676,1.0
23,1,MS,258619.34510610093,15.0,258619.34510610093,1.0
24,1,MS,256630.74379046747,15.0,256630.74379046747,1.0
25,1,MS,254633.76389194178,15.0,254633.76389194178,1.0
26,1,MS,252707.59290054307,15.0,252707.59290054307,1.0
27,1,MS,250771.73383702015,15.0,250771.73383702015,1.0
28,1,MS,248903.6687542661,15.0,248903.6687542661,1.0
29,1,MS,247026.11152855508,15.0,247026.11152855508,1.0
30,1,MS,245212.0147107404,15.0,245212.0147107404,1.0
31,1,MS,243384.21747378426,15.0,243384.21747378426,1.0
32,1,MS,241614.65327760146,15.0,241614.65327760146,1.0
33,1,MS,239828.9431932205,15.0,239828.9431932205,1.0
34,1,MS,238097.48278725203,15.0,238097.48278725203,1.0
35,1,MS,236347.78345264023,15.0,236347.78345264023,1.0
36,1,MS,234648.81916669995,15.0,234648.81916669995,1.0
37,1,MS,232929.84229863007,15.0,232929.84229863007,1.0
38,1,MS,231258.64804447768,15.0,231258.64804447768,1.0
39,1,MS,229566.21885777838,15.0,229566.21885777838,1.0
40,1,MS,227919.58786484235,15.0,227919.58786484235,1.0
41,1,MS,226251.66864555256,15.0,226251.66864555256,1.0
42,1,MS,224628.971793608,15.0,224628.971793608,1.0
43,1,MS,222986.55304005585,15.0,222986.55304005585,1.0
44,1,MS,221389.81767733174,15.0,221389.81767733174,1.0
45,1,MS,219775.48597784396,15.0,219775.48597784396,1.0
46,1,MS,218207.0719934862,15.0,218207.0719934862,1.0
