t,species,metamer,organ,Eabs_diffuse,Eabs_direct
0,Caphorn,1,blade,0,0
0,Caphorn,1,sheath,0,0
0,Caphorn,2,blade,0,0
0,Caphorn,2,sheath,0,0
0,Caphorn,3,blade,0,0
0,Caphorn,3,sheath,0,0
0,Caphorn,4,blade,0,0
0,Caphorn,4,internode,0,0
0,Caphorn,4,sheath,0,0
0,Caphorn,5,internode,0,0
0,Caphorn,6,internode,0,0
0,Soissons,1,blade,0,0
0,Soissons,1,sheath,0,0
0,Soissons,2,blade,0,0
0,Soissons,2,sheath,0,0
0,Soissons,3,blade,0,0
0,Soissons,3,sheath,0,0
0,Soissons,4,blade,0,0
0,Soissons,4,internode,0,0
0,Soissons,4,sheath,0,0
0,Soissons,5,internode,0,0
0,Soissons,6,internode,0,0
1,Caphorn,1,blade,0,0
1,Caphorn,1,sheath,0,0
1,Caphorn,2,blade,0,0
1,Caphorn,2,sheath,0,0
1,Caphorn,3,blade,0,0
1,Caphorn,3,sheath,0,0
1,Caphorn,4,blade,0,0
1,Caphorn,4,internode,0,0
1,Caphorn,4,sheath,0,0
1,Caphorn,5,internode,0,0
1,Caphorn,6,internode,0,0
1,Soissons,1,blade,0,0
1,Soissons,1,sheath,0,0
1,Soissons,2,blade,0,0
1,Soissons,2,sheath,0,0
1,Soissons,3,blade,0,0
1,Soissons,3,sheath,0,0
1,Soissons,4,blade,0,0
1,Soissons,4,internode,0,0
1,Soissons,4,sheath,0,0
1,Soissons,5,internode,0,0
1,Soissons,6,internode,0,0
2,Caphorn,1,blade,0,0
2,Caphorn,1,sheath,0,0
2,Caphorn,2,blade,0,0
2,Caphorn,2,sheath,0,0
2,Caphorn,3,blade,0,0
2,Caphorn,3,sheath,0,0
2,Caphorn,4,blade,0,0
2,Caphorn,4,internode,0,0
2,Caphorn,4,sheath,0,0
2,Caphorn,5,internode,0,0
2,Caphorn,6,internode,0,0
2,Soissons,1,blade,0,0
2,Soissons,1,sheath,0,0
2,Soissons,2,blade,0,0
2,Soissons,2,sheath,0,0
2,Soissons,3,blade,0,0
2,Soissons,3,sheath,0,0
2,Soissons,4,blade,0,0
2,Soissons,4,internode,0,0
2,Soissons,4,sheath,0,0
2,Soissons,5,internode,0,0
2,Soissons,6,internode,0,0
3,Caphorn,1,blade,0,0
3,Caphorn,1,sheath,0,0
3,Caphorn,2,blade,0,0
3,Caphorn,2,sheath,0,0
3,Caphorn,3,blade,0,0
3,Caphorn,3,sheath,0,0
3,Caphorn,4,blade,0,0
3,Caphorn,4,internode,0,0
3,Caphorn,4,sheath,0,0
3,Caphorn,5,internode,0,0
3,Caphorn,6,internode,0,0
3,Soissons,1,blade,0,0
3,Soissons,1,sheath,0,0
3,Soissons,2,blade,0,0
3,Soissons,2,sheath,0,0
3,Soissons,3,blade,0,0
3,Soissons,3,sheath,0,0
3,Soissons,4,blade,0,0
3,Soissons,4,internode,0,0
3,Soissons,4,sheath,0,0
3,Soissons,5,internode,0,0
3,Soissons,6,internode,0,0
4,Caphorn,1,blade,0,0
4,Caphorn,1,sheath,0,0
4,Caphorn,2,blade,0,0
4,Caphorn,2,sheath,0,0
4,Caphorn,3,blade,0,0
4,Caphorn,3,sheath,0,0
4,Caphorn,4,blade,0,0
4,Caphorn,4,internode,0,0
4,Caphorn,4,sheath,0,0
4,Caphorn,5,internode,0,0
4,Caphorn,6,internode,0,0
4,Soissons,1,blade,0,0
4,Soissons,1,sheath,0,0
4,Soissons,2,blade,0,0
4,Soissons,2,sheath,0,0
4,Soissons,3,blade,0,0
4,Soissons,3,sheath,0,0
4,Soissons,4,blade,0,0
4,Soissons,4,internode,0,0
4,Soissons,4,sheath,0,0
4,Soissons,5,internode,0,0
4,Soissons,6,internode,0,0
5,Caphorn,1,blade,0.073853653,2.49E-05
5,Caphorn,1,sheath,0.031099698,0
5,Caphorn,2,blade,0.098464093,0.000217938
5,Caphorn,2,sheath,0.028427148,0
5,Caphorn,3,blade,0.16399339,0.00465466
5,Caphorn,3,sheath,0.043191565,0
5,Caphorn,4,blade,0.34013048,0.364986914
5,Caphorn,4,internode,0.051950171,0
5,Caphorn,4,sheath,0.087963329,0.004253753
5,Caphorn,5,internode,0.117905025,0.023454711
5,Caphorn,6,internode,0.264067376,0.833551546
5,Soissons,1,blade,0.072611566,0
5,Soissons,1,sheath,0.032613275,0
5,Soissons,2,blade,0.116501113,0.000314942
5,Soissons,2,sheath,0.029266887,0
5,Soissons,3,blade,0.198794675,0.001821267
5,Soissons,3,sheath,0.044053435,0
5,Soissons,4,blade,0.374763977,0.209312579
5,Soissons,4,internode,0.056313026,0
5,Soissons,4,sheath,0.088679393,0.002555574
5,Soissons,5,internode,0.13387267,0.040138303
5,Soissons,6,internode,0.266855008,0.848891566
6,Caphorn,1,blade,0.073853653,0.006166482
6,Caphorn,1,sheath,0.031099698,0.002815126
6,Caphorn,2,blade,0.098464093,0.016951101
6,Caphorn,2,sheath,0.028427148,0.002896434
6,Caphorn,3,blade,0.16399339,0.069852058
6,Caphorn,3,sheath,0.043191565,0.010860417
6,Caphorn,4,blade,0.34013048,0.511974432
6,Caphorn,4,internode,0.051950171,0.014603667
6,Caphorn,4,sheath,0.087963329,0.051594873
6,Caphorn,5,internode,0.117905025,0.134890563
6,Caphorn,6,internode,0.264067376,0.637841591
6,Soissons,1,blade,0.072611566,0.005481742
6,Soissons,1,sheath,0.032613275,0.001330806
6,Soissons,2,blade,0.116501113,0.0141455
6,Soissons,2,sheath,0.029266887,0.002989411
