t,species,metamer,organ,Eabs
0,Soissons,1,blade,0
0,Soissons,1,sheath,0
0,Soissons,2,blade,0
0,Soissons,2,sheath,0
0,Soissons,3,blade,0
0,Soissons,3,sheath,0
0,Soissons,4,blade,0
0,Soissons,4,internode,0
0,Soissons,4,sheath,0
0,Soissons,5,internode,0
0,Soissons,6,internode,0
1,Soissons,1,blade,0
1,Soissons,1,sheath,0
1,Soissons,2,blade,0
1,Soissons,2,sheath,0
1,Soissons,3,blade,0
1,Soissons,3,sheath,0
1,Soissons,4,blade,0
1,Soissons,4,internode,0
1,Soissons,4,sheath,0
1,Soissons,5,internode,0
1,Soissons,6,internode,0
2,Soissons,1,blade,0
2,Soissons,1,sheath,0
2,Soissons,2,blade,0
2,Soissons,2,sheath,0
2,Soissons,3,blade,0
2,Soissons,3,sheath,0
2,Soissons,4,blade,0
2,Soissons,4,internode,0
2,Soissons,4,sheath,0
2,Soissons,5,internode,0
2,Soissons,6,internode,0
3,Soissons,1,blade,0
3,Soissons,1,sheath,0
3,Soissons,2,blade,0
3,Soissons,2,sheath,0
3,Soissons,3,blade,0
3,Soissons,3,sheath,0
3,Soissons,4,blade,0
3,Soissons,4,internode,0
3,Soissons,4,sheath,0
3,Soissons,5,internode,0
3,Soissons,6,internode,0
4,Soissons,1,blade,0
4,Soissons,1,sheath,0
4,Soissons,2,blade,0
4,Soissons,2,sheath,0
4,Soissons,3,blade,0
4,Soissons,3,sheath,0
4,Soissons,4,blade,0
4,Soissons,4,internode,0
4,Soissons,4,sheath,0
4,Soissons,5,internode,0
4,Soissons,6,internode,0
5,Soissons,1,blade,0.064500718
5,Soissons,1,sheath,0.029024284
5,Soissons,2,blade,0.105347214
5,Soissons,2,sheath,0.025774486
5,Soissons,3,blade,0.190216467
5,Soissons,3,sheath,0.038942547
5,Soissons,4,blade,0.376722291
5,Soissons,4,internode,0.053715431
5,Soissons,4,sheath,0.086624149
5,Soissons,5,internode,0.137833653
5,Soissons,6,internode,0.272316703
6,Soissons,1,blade,0.064500718
6,Soissons,1,sheath,0.029024284
6,Soissons,2,blade,0.105347214
6,Soissons,2,sheath,0.025774486
6,Soissons,3,blade,0.190216467
6,Soissons,3,sheath,0.038942547
6,Soissons,4,blade,0.376722291
6,Soissons,4,internode,0.053715431
6,Soissons,4,sheath,0.086624149
6,Soissons,5,internode,0.137833653
6,Soissons,6,internode,0.272316703
7,Soissons,1,blade,0.064500718
7,Soissons,1,sheath,0.029024284
7,Soissons,2,blade,0.105347214
7,Soissons,2,sheath,0.025774486
7,Soissons,3,blade,0.190216467
7,Soissons,3,sheath,0.038942547
7,Soissons,4,blade,0.376722291
7,Soissons,4,internode,0.053715431
7,Soissons,4,sheath,0.086624149
7,Soissons,5,internode,0.137833653
7,Soissons,6,internode,0.272316703
8,Soissons,1,blade,0.064500718
8,Soissons,1,sheath,0.029024284
8,Soissons,2,blade,0.105347214
8,Soissons,2,sheath,0.025774486
8,Soissons,3,blade,0.190216467
8,Soissons,3,sheath,0.038942547
8,Soissons,4,blade,0.376722291
8,Soissons,4,internode,0.053715431
8,Soissons,4,sheath,0.086624149
8,Soissons,5,internode,0.137833653
8,Soissons,6,internode,0.272316703
9,Soissons,1,blade,0.064500718
9,Soissons,1,sheath,0.029024284
9,Soissons,2,blade,0.105347214
