t,species,metamer,organ,Eabs
0,Caphorn,1,blade,0
0,Caphorn,1,sheath,0
0,Caphorn,2,blade,0
0,Caphorn,2,sheath,0
0,Caphorn,3,blade,0
0,Caphorn,3,sheath,0
0,Caphorn,4,blade,0
0,Caphorn,4,internode,0
0,Caphorn,4,sheath,0
0,Caphorn,5,internode,0
0,Caphorn,6,internode,0
1,Caphorn,1,blade,0
1,Caphorn,1,sheath,0
1,Caphorn,2,blade,0
1,Caphorn,2,sheath,0
1,Caphorn,3,blade,0
1,Caphorn,3,sheath,0
1,Caphorn,4,blade,0
1,Caphorn,4,internode,0
1,Caphorn,4,sheath,0
1,Caphorn,5,internode,0
1,Caphorn,6,internode,0
2,Caphorn,1,blade,0
2,Caphorn,1,sheath,0
2,Caphorn,2,blade,0
2,Caphorn,2,sheath,0
2,Caphorn,3,blade,0
2,Caphorn,3,sheath,0
2,Caphorn,4,blade,0
2,Caphorn,4,internode,0
2,Caphorn,4,sheath,0
2,Caphorn,5,internode,0
2,Caphorn,6,internode,0
3,Caphorn,1,blade,0
3,Caphorn,1,sheath,0
3,Caphorn,2,blade,0
3,Caphorn,2,sheath,0
3,Caphorn,3,blade,0
3,Caphorn,3,sheath,0
3,Caphorn,4,blade,0
3,Caphorn,4,internode,0
3,Caphorn,4,sheath,0
3,Caphorn,5,internode,0
3,Caphorn,6,internode,0
4,Caphorn,1,blade,0
4,Caphorn,1,sheath,0
4,Caphorn,2,blade,0
4,Caphorn,2,sheath,0
4,Caphorn,3,blade,0
4,Caphorn,3,sheath,0
4,Caphorn,4,blade,0
4,Caphorn,4,internode,0
4,Caphorn,4,sheath,0
4,Caphorn,5,internode,0
4,Caphorn,6,internode,0
5,Caphorn,1,blade,0.025060894
5,Caphorn,1,sheath,0.011248684
5,Caphorn,2,blade,0.035840924
5,Caphorn,2,sheath,0.006694624
5,Caphorn,3,blade,0.077039278
5,Caphorn,3,sheath,0.014746333
5,Caphorn,4,blade,0.206157968
5,Caphorn,4,internode,0.02218708
5,Caphorn,4,sheath,0.046331114
5,Caphorn,5,internode,0.060816833
5,Caphorn,6,internode,0.184084828
6,Caphorn,1,blade,0.025060894
6,Caphorn,1,sheath,0.011248684
6,Caphorn,2,blade,0.035840924
6,Caphorn,2,sheath,0.006694624
6,Caphorn,3,blade,0.077039278
6,Caphorn,3,sheath,0.014746333
6,Caphorn,4,blade,0.206157968
6,Caphorn,4,internode,0.02218708
6,Caphorn,4,sheath,0.046331114
6,Caphorn,5,internode,0.060816833
6,Caphorn,6,internode,0.184084828
7,Caphorn,1,blade,0.025060894
7,Caphorn,1,sheath,0.011248684
7,Caphorn,2,blade,0.035840924
7,Caphorn,2,sheath,0.006694624
7,Caphorn,3,blade,0.077039278
7,Caphorn,3,sheath,0.014746333
7,Caphorn,4,blade,0.206157968
7,Caphorn,4,internode,0.02218708
7,Caphorn,4,sheath,0.046331114
7,Caphorn,5,internode,0.060816833
7,Caphorn,6,internode,0.184084828
8,Caphorn,1,blade,0.025060894
8,Caphorn,1,sheath,0.011248684
8,Caphorn,2,blade,0.035840924
8,Caphorn,2,sheath,0.006694624
8,Caphorn,3,blade,0.077039278
8,Caphorn,3,sheath,0.014746333
8,Caphorn,4,blade,0.206157968
8,Caphorn,4,internode,0.02218708
8,Caphorn,4,sheath,0.046331114
8,Caphorn,5,internode,0.060816833
8,Caphorn,6,internode,0.184084828
9,Caphorn,1,blade,0.025060894
9,Caphorn,1,sheath,0.011248684
9,Caphorn,2,blade,0.035840924
9,Caphorn,2,sheath,0.006694624
9,Caphorn,3,blade,0.077039278
