t,species,metamer,organ,element,Eabs_direct,Eabs_diffuse,plant
0,Caphorn,1,blade,LeafElement1,0.0,0.0,1
0,Caphorn,1,sheath,StemElement,0.0,0.0,1
0,Caphorn,2,blade,LeafElement1,0.0,0.0,1
0,Caphorn,2,sheath,StemElement,0.0,0.0,1
0,Caphorn,3,blade,LeafElement1,0.0,0.0,1
0,Caphorn,3,sheath,StemElement,0.0,0.0,1
0,Caphorn,4,blade,LeafElement1,0.0,0.0,1
0,Caphorn,4,internode,StemElement,0.0,0.0,1
0,Caphorn,4,sheath,StemElement,0.0,0.0,1
0,Caphorn,5,internode,StemElement,0.0,0.0,1
0,Caphorn,6,internode,StemElement,0.0,0.0,1
1,Caphorn,1,blade,LeafElement1,0.0,0.0,1
1,Caphorn,1,sheath,StemElement,0.0,0.0,1
1,Caphorn,2,blade,LeafElement1,0.0,0.0,1
1,Caphorn,2,sheath,StemElement,0.0,0.0,1
1,Caphorn,3,blade,LeafElement1,0.0,0.0,1
1,Caphorn,3,sheath,StemElement,0.0,0.0,1
1,Caphorn,4,blade,LeafElement1,0.0,0.0,1
1,Caphorn,4,internode,StemElement,0.0,0.0,1
1,Caphorn,4,sheath,StemElement,0.0,0.0,1
1,Caphorn,5,internode,StemElement,0.0,0.0,1
1,Caphorn,6,internode,StemElement,0.0,0.0,1
2,Caphorn,1,blade,LeafElement1,0.0,0.0,1
2,Caphorn,1,sheath,StemElement,0.0,0.0,1
2,Caphorn,2,blade,LeafElement1,0.0,0.0,1
2,Caphorn,2,sheath,StemElement,0.0,0.0,1
2,Caphorn,3,blade,LeafElement1,0.0,0.0,1
2,Caphorn,3,sheath,StemElement,0.0,0.0,1
2,Caphorn,4,blade,LeafElement1,0.0,0.0,1
2,Caphorn,4,internode,StemElement,0.0,0.0,1
2,Caphorn,4,sheath,StemElement,0.0,0.0,1
2,Caphorn,5,internode,StemElement,0.0,0.0,1
2,Caphorn,6,internode,StemElement,0.0,0.0,1
3,Caphorn,1,blade,LeafElement1,0.0,0.0,1
3,Caphorn,1,sheath,StemElement,0.0,0.0,1
3,Caphorn,2,blade,LeafElement1,0.0,0.0,1
3,Caphorn,2,sheath,StemElement,0.0,0.0,1
3,Caphorn,3,blade,LeafElement1,0.0,0.0,1
3,Caphorn,3,sheath,StemElement,0.0,0.0,1
3,Caphorn,4,blade,LeafElement1,0.0,0.0,1
3,Caphorn,4,internode,StemElement,0.0,0.0,1
3,Caphorn,4,sheath,StemElement,0.0,0.0,1
3,Caphorn,5,internode,StemElement,0.0,0.0,1
3,Caphorn,6,internode,StemElement,0.0,0.0,1
4,Caphorn,1,blade,LeafElement1,0.0,0.0,1
4,Caphorn,1,sheath,StemElement,0.0,0.0,1
4,Caphorn,2,blade,LeafElement1,0.0,0.0,1
4,Caphorn,2,sheath,StemElement,0.0,0.0,1
4,Caphorn,3,blade,LeafElement1,0.0,0.0,1
4,Caphorn,3,sheath,StemElement,0.0,0.0,1
4,Caphorn,4,blade,LeafElement1,0.0,0.0,1
4,Caphorn,4,internode,StemElement,0.0,0.0,1
4,Caphorn,4,sheath,StemElement,0.0,0.0,1
4,Caphorn,5,internode,StemElement,0.0,0.0,1
4,Caphorn,6,internode,StemElement,0.0,0.0,1
5,Caphorn,1,blade,LeafElement1,0.0,0.025950243742,1
5,Caphorn,1,sheath,StemElement,0.0,0.0112526981278,1
5,Caphorn,2,blade,LeafElement1,0.0,0.0363803744834,1
5,Caphorn,2,sheath,StemElement,0.0,0.00720457825191,1
5,Caphorn,3,blade,LeafElement1,0.0,0.0778516131573,1
5,Caphorn,3,sheath,StemElement,0.0,0.0143108672018,1
5,Caphorn,4,blade,LeafElement1,0.128897561736,0.204567524926,1
5,Caphorn,4,internode,StemElement,0.0,0.0219880370007,1
5,Caphorn,4,sheath,StemElement,0.0,0.0464157933501,1
5,Caphorn,5,internode,StemElement,0.0,0.0599305726928,1
5,Caphorn,6,internode,StemElement,0.426996676112,0.184025889928,1
6,Caphorn,1,blade,LeafElement1,0.0,0.025950243742,1
6,Caphorn,1,sheath,StemElement,5.80896437432e-05,0.0112526981278,1
6,Caphorn,2,blade,LeafElement1,8.29670606409e-05,0.0363803744834,1
6,Caphorn,2,sheath,StemElement,0.0,0.00720457825191,1
6,Caphorn,3,blade,LeafElement1,0.0019945251549,0.0778516131573,1
6,Caphorn,3,sheath,StemElement,1.82150604635e-05,0.0143108672018,1
6,Caphorn,4,blade,LeafElement1,0.180094790918,0.204567524926,1
6,Caphorn,4,internode,StemElement,0.000126555521399,0.0219880370007,1
6,Caphorn,4,sheath,StemElement,0.00124618695744,0.0464157933501,1
6,Caphorn,5,internode,StemElement,0.0128315131199,0.0599305726928,1
6,Caphorn,6,internode,StemElement,0.376613508672,0.184025889928,1
7,Caphorn,1,blade,LeafElement1,0.000688754440895,0.025950243742,1
7,Caphorn,1,sheath,StemElement,0.000372599036112,0.0112526981278,1
7,Caphorn,2,blade,LeafElement1,0.00198116091282,0.0363803744834,1
7,Caphorn,2,sheath,StemElement,0.000391881824013,0.00720457825191,1
7,Caphorn,3,blade,LeafElement1,0.015717748244,0.0778516131573,1
7,Caphorn,3,sheath,StemElement,0.00127005751254,0.0143108672018,1
7,Caphorn,4,blade,LeafElement1,0.218512329367,0.204567524926,1
7,Caphorn,4,internode,StemElement,0.00361411814926,0.0219880370007,1
7,Caphorn,4,sheath,StemElement,0.0139131697229,0.0464157933501,1
7,Caphorn,5,internode,StemElement,0.0442500633999,0.0599305726928,1
7,Caphorn,6,internode,StemElement,0.319214850781,0.184025889928,1
8,Caphorn,1,blade,LeafElement1,0.00446374486983,0.025950243742,1
8,Caphorn,1,sheath,StemElement,0.00160346277803,0.0112526981278,1
8,Caphorn,2,blade,LeafElement1,0.00982800646217,0.0363803744834,1
8,Caphorn,2,sheath,StemElement,0.00209342242661,0.00720457825191,1
8,Caphorn,3,blade,LeafElement1,0.0404828127325,0.0778516131573,1
8,Caphorn,3,sheath,StemElement,0.0045738687287,0.0143108672018,1
8,Caphorn,4,blade,LeafElement1,0.23296667973,0.204567524926,1
8,Caphorn,4,internode,StemElement,0.00839707001406,0.0219880370007,1
8,Caphorn,4,sheath,StemElement,0.0300722199173,0.0464157933501,1
8,Caphorn,5,internode,StemElement,0.0662415803248,0.0599305726928,1
8,Caphorn,6,internode,StemElement,0.265850660397,0.184025889928,1
9,Caphorn,1,blade,LeafElement1,0.0137118703094,0.025950243742,1
9,Caphorn,1,sheath,StemElement,0.00599371003066,0.0112526981278,1
9,Caphorn,2,blade,LeafElement1,0.0241113029873,0.0363803744834,1
9,Caphorn,2,sheath,StemElement,0.00549829189209,0.00720457825191,1
