t,species,metamer,organ,Eabs
0,Caphorn,1,blade,0
0,Caphorn,1,sheath,0
0,Caphorn,2,blade,0
0,Caphorn,2,sheath,0
0,Caphorn,3,blade,0
0,Caphorn,3,sheath,0
0,Caphorn,4,blade,0
0,Caphorn,4,internode,0
0,Caphorn,4,sheath,0
0,Caphorn,5,internode,0
0,Caphorn,6,internode,0
0,Soissons,1,blade,0
0,Soissons,1,sheath,0
0,Soissons,2,blade,0
0,Soissons,2,sheath,0
0,Soissons,3,blade,0
0,Soissons,3,sheath,0
0,Soissons,4,blade,0
0,Soissons,4,internode,0
0,Soissons,4,sheath,0
0,Soissons,5,internode,0
0,Soissons,6,internode,0
1,Caphorn,1,blade,0
1,Caphorn,1,sheath,0
1,Caphorn,2,blade,0
1,Caphorn,2,sheath,0
1,Caphorn,3,blade,0
1,Caphorn,3,sheath,0
1,Caphorn,4,blade,0
1,Caphorn,4,internode,0
1,Caphorn,4,sheath,0
1,Caphorn,5,internode,0
1,Caphorn,6,internode,0
1,Soissons,1,blade,0
1,Soissons,1,sheath,0
1,Soissons,2,blade,0
1,Soissons,2,sheath,0
1,Soissons,3,blade,0
1,Soissons,3,sheath,0
1,Soissons,4,blade,0
1,Soissons,4,internode,0
1,Soissons,4,sheath,0
1,Soissons,5,internode,0
1,Soissons,6,internode,0
2,Caphorn,1,blade,0
2,Caphorn,1,sheath,0
2,Caphorn,2,blade,0
2,Caphorn,2,sheath,0
2,Caphorn,3,blade,0
2,Caphorn,3,sheath,0
2,Caphorn,4,blade,0
2,Caphorn,4,internode,0
2,Caphorn,4,sheath,0
2,Caphorn,5,internode,0
2,Caphorn,6,internode,0
2,Soissons,1,blade,0
2,Soissons,1,sheath,0
2,Soissons,2,blade,0
2,Soissons,2,sheath,0
2,Soissons,3,blade,0
2,Soissons,3,sheath,0
2,Soissons,4,blade,0
2,Soissons,4,internode,0
2,Soissons,4,sheath,0
2,Soissons,5,internode,0
2,Soissons,6,internode,0
3,Caphorn,1,blade,0
3,Caphorn,1,sheath,0
3,Caphorn,2,blade,0
3,Caphorn,2,sheath,0
3,Caphorn,3,blade,0
3,Caphorn,3,sheath,0
3,Caphorn,4,blade,0
3,Caphorn,4,internode,0
3,Caphorn,4,sheath,0
3,Caphorn,5,internode,0
3,Caphorn,6,internode,0
3,Soissons,1,blade,0
3,Soissons,1,sheath,0
3,Soissons,2,blade,0
3,Soissons,2,sheath,0
3,Soissons,3,blade,0
3,Soissons,3,sheath,0
3,Soissons,4,blade,0
3,Soissons,4,internode,0
3,Soissons,4,sheath,0
3,Soissons,5,internode,0
3,Soissons,6,internode,0
4,Caphorn,1,blade,0
4,Caphorn,1,sheath,0
4,Caphorn,2,blade,0
4,Caphorn,2,sheath,0
4,Caphorn,3,blade,0
4,Caphorn,3,sheath,0
4,Caphorn,4,blade,0
4,Caphorn,4,internode,0
4,Caphorn,4,sheath,0
4,Caphorn,5,internode,0
4,Caphorn,6,internode,0
4,Soissons,1,blade,0
4,Soissons,1,sheath,0
4,Soissons,2,blade,0
4,Soissons,2,sheath,0
4,Soissons,3,blade,0
4,Soissons,3,sheath,0
4,Soissons,4,blade,0
4,Soissons,4,internode,0
4,Soissons,4,sheath,0
4,Soissons,5,internode,0
4,Soissons,6,internode,0
5,Caphorn,1,blade,0.005661565
5,Caphorn,1,sheath,0.002652056
5,Caphorn,2,blade,0.01078264
5,Caphorn,2,sheath,0.001159698
5,Caphorn,3,blade,0.035326641
5,Caphorn,3,sheath,0.003716257
5,Caphorn,4,blade,0.163851824
5,Caphorn,4,internode,0.007484106
