t,species,metamer,organ,element,Eabs_direct,Eabs_diffuse
0,Caphorn,1,blade,LeafElement1,0,0
0,Caphorn,1,sheath,StemElement,0,0
0,Caphorn,2,blade,LeafElement1,0,0
0,Caphorn,2,sheath,StemElement,0,0
0,Caphorn,3,blade,LeafElement1,0,0
0,Caphorn,3,sheath,StemElement,0,0
0,Caphorn,4,blade,LeafElement1,0,0
0,Caphorn,4,internode,StemElement,0,0
0,Caphorn,4,sheath,StemElement,0,0
0,Caphorn,5,internode,StemElement,0,0
0,Caphorn,6,internode,StemElement,0,0
1,Caphorn,1,blade,LeafElement1,0,0
1,Caphorn,1,sheath,StemElement,0,0
1,Caphorn,2,blade,LeafElement1,0,0
1,Caphorn,2,sheath,StemElement,0,0
1,Caphorn,3,blade,LeafElement1,0,0
1,Caphorn,3,sheath,StemElement,0,0
1,Caphorn,4,blade,LeafElement1,0,0
1,Caphorn,4,internode,StemElement,0,0
1,Caphorn,4,sheath,StemElement,0,0
1,Caphorn,5,internode,StemElement,0,0
1,Caphorn,6,internode,StemElement,0,0
2,Caphorn,1,blade,LeafElement1,0,0
2,Caphorn,1,sheath,StemElement,0,0
2,Caphorn,2,blade,LeafElement1,0,0
2,Caphorn,2,sheath,StemElement,0,0
2,Caphorn,3,blade,LeafElement1,0,0
2,Caphorn,3,sheath,StemElement,0,0
2,Caphorn,4,blade,LeafElement1,0,0
2,Caphorn,4,internode,StemElement,0,0
2,Caphorn,4,sheath,StemElement,0,0
2,Caphorn,5,internode,StemElement,0,0
2,Caphorn,6,internode,StemElement,0,0
3,Caphorn,1,blade,LeafElement1,0,0
3,Caphorn,1,sheath,StemElement,0,0
3,Caphorn,2,blade,LeafElement1,0,0
3,Caphorn,2,sheath,StemElement,0,0
3,Caphorn,3,blade,LeafElement1,0,0
3,Caphorn,3,sheath,StemElement,0,0
3,Caphorn,4,blade,LeafElement1,0,0
3,Caphorn,4,internode,StemElement,0,0
3,Caphorn,4,sheath,StemElement,0,0
3,Caphorn,5,internode,StemElement,0,0
3,Caphorn,6,internode,StemElement,0,0
4,Caphorn,1,blade,LeafElement1,0,0
4,Caphorn,1,sheath,StemElement,0,0
4,Caphorn,2,blade,LeafElement1,0,0
4,Caphorn,2,sheath,StemElement,0,0
4,Caphorn,3,blade,LeafElement1,0,0
4,Caphorn,3,sheath,StemElement,0,0
4,Caphorn,4,blade,LeafElement1,0,0
4,Caphorn,4,internode,StemElement,0,0
4,Caphorn,4,sheath,StemElement,0,0
4,Caphorn,5,internode,StemElement,0,0
4,Caphorn,6,internode,StemElement,0,0
5,Caphorn,1,blade,LeafElement1,0,0.011908449
5,Caphorn,1,sheath,StemElement,0,0.004855355
5,Caphorn,2,blade,LeafElement1,0,0.017198719
5,Caphorn,2,sheath,StemElement,0,0.002165976
5,Caphorn,3,blade,LeafElement1,0,0.048405249
5,Caphorn,3,sheath,StemElement,0,0.00612734
5,Caphorn,4,blade,LeafElement1,0.085076054,0.151492197
5,Caphorn,4,internode,StemElement,0,0.011737101
5,Caphorn,4,sheath,StemElement,0,0.03116017
5,Caphorn,5,internode,StemElement,0,0.039086207
5,Caphorn,6,internode,StemElement,0.294686513,0.14268521
6,Caphorn,1,blade,LeafElement1,0,0.011908449
6,Caphorn,1,sheath,StemElement,0,0.004855355
6,Caphorn,2,blade,LeafElement1,0,0.017198719
6,Caphorn,2,sheath,StemElement,0,0.002165976
6,Caphorn,3,blade,LeafElement1,0.000282102,0.048405249
6,Caphorn,3,sheath,StemElement,0,0.00612734
6,Caphorn,4,blade,LeafElement1,0.114700168,0.151492197
6,Caphorn,4,internode,StemElement,0,0.011737101
6,Caphorn,4,sheath,StemElement,0.000403825,0.03116017
6,Caphorn,5,internode,StemElement,0.002474374,0.039086207
6,Caphorn,6,internode,StemElement,0.266506048,0.14268521
7,Caphorn,1,blade,LeafElement1,7.01E-05,0.011908449
7,Caphorn,1,sheath,StemElement,0,0.004855355
7,Caphorn,2,blade,LeafElement1,0.00012052,0.017198719
7,Caphorn,2,sheath,StemElement,0,0.002165976
7,Caphorn,3,blade,LeafElement1,0.002596314,0.048405249
7,Caphorn,3,sheath,StemElement,5.13E-05,0.00612734
7,Caphorn,4,blade,LeafElement1,0.138721549,0.151492197
7,Caphorn,4,internode,StemElement,0.000425633,0.011737101
7,Caphorn,4,sheath,StemElement,0.002829895,0.03116017
7,Caphorn,5,internode,StemElement,0.018086667,0.039086207
7,Caphorn,6,internode,StemElement,0.240702238,0.14268521
8,Caphorn,1,blade,LeafElement1,0.000240491,0.011908449
8,Caphorn,1,sheath,StemElement,7.47E-05,0.004855355
8,Caphorn,2,blade,LeafElement1,0.001343975,0.017198719
8,Caphorn,2,sheath,StemElement,0.000272837,0.002165976
8,Caphorn,3,blade,LeafElement1,0.014680992,0.048405249
8,Caphorn,3,sheath,StemElement,0.000476771,0.00612734
8,Caphorn,4,blade,LeafElement1,0.155612576,0.151492197
8,Caphorn,4,internode,StemElement,0.002229561,0.011737101
8,Caphorn,4,sheath,StemElement,0.01133184,0.03116017
8,Caphorn,5,internode,StemElement,0.032877417,0.039086207
8,Caphorn,6,internode,StemElement,0.208940384,0.14268521
9,Caphorn,1,blade,LeafElement1,0.002718894,0.011908449
9,Caphorn,1,sheath,StemElement,0.000823383,0.004855355
9,Caphorn,2,blade,LeafElement1,0.006015932,0.017198719
9,Caphorn,2,sheath,StemElement,0.001114482,0.002165976
9,Caphorn,3,blade,LeafElement1,0.025098698,0.048405249
9,Caphorn,3,sheath,StemElement,0.002752455,0.00612734
9,Caphorn,4,blade,LeafElement1,0.182493979,0.151492197
9,Caphorn,4,internode,StemElement,0.007068437,0.011737101
9,Caphorn,4,sheath,StemElement,0.018620794,0.03116017
9,Caphorn,5,internode,StemElement,0.074695994,0.039086207
9,Caphorn,6,internode,StemElement,0.160453119,0.14268521
10,Caphorn,1,blade,LeafElement1,0.009471668,0.011908449
10,Caphorn,1,sheath,StemElement,0.003544988,0.004855355
10,Caphorn,2,blade,LeafElement1,0.024277571,0.017198719
10,Caphorn,2,sheath,StemElement,0.002794204,0.002165976
