t,species,metamer,organ,element,Eabs_direct,Eabs_diffuse
0,Soissons,1,blade,LeafElement1,0,0
0,Soissons,1,sheath,StemElement,0,0
0,Soissons,2,blade,LeafElement1,0,0
0,Soissons,2,sheath,StemElement,0,0
0,Soissons,3,blade,LeafElement1,0,0
0,Soissons,3,sheath,StemElement,0,0
0,Soissons,4,blade,LeafElement1,0,0
0,Soissons,4,internode,StemElement,0,0
0,Soissons,4,sheath,StemElement,0,0
0,Soissons,5,internode,StemElement,0,0
0,Soissons,6,internode,StemElement,0,0
1,Soissons,1,blade,LeafElement1,0,0
1,Soissons,1,sheath,StemElement,0,0
1,Soissons,2,blade,LeafElement1,0,0
1,Soissons,2,sheath,StemElement,0,0
1,Soissons,3,blade,LeafElement1,0,0
1,Soissons,3,sheath,StemElement,0,0
1,Soissons,4,blade,LeafElement1,0,0
1,Soissons,4,internode,StemElement,0,0
1,Soissons,4,sheath,StemElement,0,0
1,Soissons,5,internode,StemElement,0,0
1,Soissons,6,internode,StemElement,0,0
2,Soissons,1,blade,LeafElement1,0,0
2,Soissons,1,sheath,StemElement,0,0
2,Soissons,2,blade,LeafElement1,0,0
2,Soissons,2,sheath,StemElement,0,0
2,Soissons,3,blade,LeafElement1,0,0
2,Soissons,3,sheath,StemElement,0,0
2,Soissons,4,blade,LeafElement1,0,0
2,Soissons,4,internode,StemElement,0,0
2,Soissons,4,sheath,StemElement,0,0
2,Soissons,5,internode,StemElement,0,0
2,Soissons,6,internode,StemElement,0,0
3,Soissons,1,blade,LeafElement1,0,0
3,Soissons,1,sheath,StemElement,0,0
3,Soissons,2,blade,LeafElement1,0,0
3,Soissons,2,sheath,StemElement,0,0
3,Soissons,3,blade,LeafElement1,0,0
3,Soissons,3,sheath,StemElement,0,0
3,Soissons,4,blade,LeafElement1,0,0
3,Soissons,4,internode,StemElement,0,0
3,Soissons,4,sheath,StemElement,0,0
3,Soissons,5,internode,StemElement,0,0
3,Soissons,6,internode,StemElement,0,0
4,Soissons,1,blade,LeafElement1,0,0
4,Soissons,1,sheath,StemElement,0,0
4,Soissons,2,blade,LeafElement1,0,0
4,Soissons,2,sheath,StemElement,0,0
4,Soissons,3,blade,LeafElement1,0,0
4,Soissons,3,sheath,StemElement,0,0
4,Soissons,4,blade,LeafElement1,0,0
4,Soissons,4,internode,StemElement,0,0
4,Soissons,4,sheath,StemElement,0,0
4,Soissons,5,internode,StemElement,0,0
4,Soissons,6,internode,StemElement,0,0
5,Soissons,1,blade,LeafElement1,0,0.000273246
5,Soissons,1,sheath,StemElement,0,5.53E-05
5,Soissons,2,blade,LeafElement1,0,0.001402713
5,Soissons,2,sheath,StemElement,0,0
5,Soissons,3,blade,LeafElement1,0,0.0120609
5,Soissons,3,sheath,StemElement,0,0.000170922
5,Soissons,4,blade,LeafElement1,0.040371389,0.138217677
5,Soissons,4,internode,StemElement,0,0.000438254
5,Soissons,4,sheath,StemElement,0,0.004984751
5,Soissons,5,internode,StemElement,0,0.047219619
5,Soissons,6,internode,StemElement,0.243850562,0.131138906
6,Soissons,1,blade,LeafElement1,0,0.000273246
6,Soissons,1,sheath,StemElement,0,5.53E-05
6,Soissons,2,blade,LeafElement1,0,0.001402713
6,Soissons,2,sheath,StemElement,0,0
6,Soissons,3,blade,LeafElement1,0,0.0120609
6,Soissons,3,sheath,StemElement,0,0.000170922
6,Soissons,4,blade,LeafElement1,0.046223339,0.138217677
6,Soissons,4,internode,StemElement,0,0.000438254
6,Soissons,4,sheath,StemElement,0,0.004984751
6,Soissons,5,internode,StemElement,0,0.047219619
6,Soissons,6,internode,StemElement,0.235129211,0.131138906
7,Soissons,1,blade,LeafElement1,0,0.000273246
7,Soissons,1,sheath,StemElement,0,5.53E-05
7,Soissons,2,blade,LeafElement1,0,0.001402713
7,Soissons,2,sheath,StemElement,0,0
7,Soissons,3,blade,LeafElement1,0.003065457,0.0120609
7,Soissons,3,sheath,StemElement,0,0.000170922
7,Soissons,4,blade,LeafElement1,0.056576436,0.138217677
7,Soissons,4,internode,StemElement,0,0.000438254
7,Soissons,4,sheath,StemElement,0.007076266,0.004984751
7,Soissons,5,internode,StemElement,0.031790655,0.047219619
7,Soissons,6,internode,StemElement,0.213604336,0.131138906
8,Soissons,1,blade,LeafElement1,0,0.000273246
8,Soissons,1,sheath,StemElement,0.000110647,5.53E-05
8,Soissons,2,blade,LeafElement1,0.000694255,0.001402713
8,Soissons,2,sheath,StemElement,0,0
8,Soissons,3,blade,LeafElement1,0.001870094,0.0120609
8,Soissons,3,sheath,StemElement,5.52E-05,0.000170922
8,Soissons,4,blade,LeafElement1,0.087950311,0.138217677
8,Soissons,4,internode,StemElement,0.001314758,0.000438254
8,Soissons,4,sheath,StemElement,0.005582351,0.004984751
8,Soissons,5,internode,StemElement,0.059572844,0.047219619
8,Soissons,6,internode,StemElement,0.184126534,0.131138906
9,Soissons,1,blade,LeafElement1,0,0.000273246
9,Soissons,1,sheath,StemElement,0,5.53E-05
9,Soissons,2,blade,LeafElement1,0.000964372,0.001402713
9,Soissons,2,sheath,StemElement,0,0
9,Soissons,3,blade,LeafElement1,0.004259247,0.0120609
9,Soissons,3,sheath,StemElement,5.52E-05,0.000170922
9,Soissons,4,blade,LeafElement1,0.131457373,0.138217677
9,Soissons,4,internode,StemElement,0.000109563,0.000438254
9,Soissons,4,sheath,StemElement,0.003421316,0.004984751
9,Soissons,5,internode,StemElement,0.102071179,0.047219619
9,Soissons,6,internode,StemElement,0.136509141,0.131138906
10,Soissons,1,blade,LeafElement1,0.000204661,0.000273246
10,Soissons,1,sheath,StemElement,0.000442606,5.53E-05
10,Soissons,2,blade,LeafElement1,0.003119403,0.001402713
10,Soissons,2,sheath,StemElement,5.51E-05,0
10,Soissons,3,blade,LeafElement1,0.011313162,0.0120609
10,Soissons,3,sheath,StemElement,0.003146275,0.000170922
10,Soissons,4,blade,LeafElement1,0.159155955,0.138217677
10,Soissons,4,internode,StemElement,0,0.000438254
10,Soissons,4,sheath,StemElement,0.018457956,0.004984751
10,Soissons,5,internode,StemElement,0.048317753,0.047219619
10,Soissons,6,internode,StemElement,0.106363203,0.131138906
11,Soissons,1,blade,LeafElement1,0.000144306,0.000273246
11,Soissons,1,sheath,StemElement,0,5.53E-05
11,Soissons,2,blade,LeafElement1,0.003317859,0.001402713
11,Soissons,2,sheath,StemElement,0.000440954,0
11,Soissons,3,blade,LeafElement1,0.026563619,0.0120609
11,Soissons,3,sheath,StemElement,5.52E-05,0.000170922
11,Soissons,4,blade,LeafElement1,0.170660446,0.138217677
11,Soissons,4,internode,StemElement,0.005389727,0.000438254
11,Soissons,4,sheath,StemElement,0.012378293,0.004984751
11,Soissons,5,internode,StemElement,0.025751223,0.047219619
