t,species,metamer,organ,element,Eabs_direct,Eabs_diffuse
0,Caphorn,1,blade,LeafElement1,0,0
0,Caphorn,1,sheath,StemElement,0,0
0,Caphorn,2,blade,LeafElement1,0,0
0,Caphorn,2,sheath,StemElement,0,0
0,Caphorn,3,blade,LeafElement1,0,0
0,Caphorn,3,sheath,StemElement,0,0
0,Caphorn,4,blade,LeafElement1,0,0
0,Caphorn,4,internode,StemElement,0,0
0,Caphorn,4,sheath,StemElement,0,0
0,Caphorn,5,internode,StemElement,0,0
0,Caphorn,6,internode,StemElement,0,0
1,Caphorn,1,blade,LeafElement1,0,0
1,Caphorn,1,sheath,StemElement,0,0
1,Caphorn,2,blade,LeafElement1,0,0
1,Caphorn,2,sheath,StemElement,0,0
1,Caphorn,3,blade,LeafElement1,0,0
1,Caphorn,3,sheath,StemElement,0,0
1,Caphorn,4,blade,LeafElement1,0,0
1,Caphorn,4,internode,StemElement,0,0
1,Caphorn,4,sheath,StemElement,0,0
1,Caphorn,5,internode,StemElement,0,0
1,Caphorn,6,internode,StemElement,0,0
2,Caphorn,1,blade,LeafElement1,0,0
2,Caphorn,1,sheath,StemElement,0,0
2,Caphorn,2,blade,LeafElement1,0,0
2,Caphorn,2,sheath,StemElement,0,0
2,Caphorn,3,blade,LeafElement1,0,0
2,Caphorn,3,sheath,StemElement,0,0
2,Caphorn,4,blade,LeafElement1,0,0
2,Caphorn,4,internode,StemElement,0,0
2,Caphorn,4,sheath,StemElement,0,0
2,Caphorn,5,internode,StemElement,0,0
2,Caphorn,6,internode,StemElement,0,0
3,Caphorn,1,blade,LeafElement1,0,0
3,Caphorn,1,sheath,StemElement,0,0
3,Caphorn,2,blade,LeafElement1,0,0
3,Caphorn,2,sheath,StemElement,0,0
3,Caphorn,3,blade,LeafElement1,0,0
3,Caphorn,3,sheath,StemElement,0,0
3,Caphorn,4,blade,LeafElement1,0,0
3,Caphorn,4,internode,StemElement,0,0
3,Caphorn,4,sheath,StemElement,0,0
3,Caphorn,5,internode,StemElement,0,0
3,Caphorn,6,internode,StemElement,0,0
4,Caphorn,1,blade,LeafElement1,0,0
4,Caphorn,1,sheath,StemElement,0,0
4,Caphorn,2,blade,LeafElement1,0,0
4,Caphorn,2,sheath,StemElement,0,0
4,Caphorn,3,blade,LeafElement1,0,0
4,Caphorn,3,sheath,StemElement,0,0
4,Caphorn,4,blade,LeafElement1,0,0
4,Caphorn,4,internode,StemElement,0,0
4,Caphorn,4,sheath,StemElement,0,0
4,Caphorn,5,internode,StemElement,0,0
4,Caphorn,6,internode,StemElement,0,0
5,Caphorn,1,blade,LeafElement1,0,0.022642131
5,Caphorn,1,sheath,StemElement,0,0.008910641
5,Caphorn,2,blade,LeafElement1,0,0.035708622
5,Caphorn,2,sheath,StemElement,0,0.005902924
5,Caphorn,3,blade,LeafElement1,0,0.080712959
5,Caphorn,3,sheath,StemElement,0,0.01376764
5,Caphorn,4,blade,LeafElement1,0.112118066,0.208250174
5,Caphorn,4,internode,StemElement,0,0.018920701
5,Caphorn,4,sheath,StemElement,0,0.044137882
5,Caphorn,5,internode,StemElement,0,0.062759876
5,Caphorn,6,internode,StemElement,0.445675996,0.181507719
6,Caphorn,1,blade,LeafElement1,0,0.022642131
6,Caphorn,1,sheath,StemElement,0,0.008910641
6,Caphorn,2,blade,LeafElement1,0,0.035708622
6,Caphorn,2,sheath,StemElement,0,0.005902924
6,Caphorn,3,blade,LeafElement1,0.000510831,0.080712959
6,Caphorn,3,sheath,StemElement,0,0.01376764
6,Caphorn,4,blade,LeafElement1,0.168910423,0.208250174
6,Caphorn,4,internode,StemElement,0,0.018920701
6,Caphorn,4,sheath,StemElement,0.001489377,0.044137882
6,Caphorn,5,internode,StemElement,0.008180973,0.062759876
6,Caphorn,6,internode,StemElement,0.39282968,0.181507719
7,Caphorn,1,blade,LeafElement1,1.05E-05,0.022642131
7,Caphorn,1,sheath,StemElement,0,0.008910641
7,Caphorn,2,blade,LeafElement1,0.001724146,0.035708622
7,Caphorn,2,sheath,StemElement,0,0.005902924
7,Caphorn,3,blade,LeafElement1,0.020446351,0.080712959
7,Caphorn,3,sheath,StemElement,0.002760013,0.01376764
7,Caphorn,4,blade,LeafElement1,0.190005875,0.208250174
7,Caphorn,4,internode,StemElement,0.002026929,0.018920701
7,Caphorn,4,sheath,StemElement,0.017527378,0.044137882
7,Caphorn,5,internode,StemElement,0.050514803,0.062759876
7,Caphorn,6,internode,StemElement,0.338461543,0.181507719
8,Caphorn,1,blade,LeafElement1,0.000806204,0.022642131
8,Caphorn,1,sheath,StemElement,0.003430105,0.008910641
8,Caphorn,2,blade,LeafElement1,0.007442797,0.035708622
8,Caphorn,2,sheath,StemElement,0.000551198,0.005902924
8,Caphorn,3,blade,LeafElement1,0.041384544,0.080712959
8,Caphorn,3,sheath,StemElement,0.004048974,0.01376764
8,Caphorn,4,blade,LeafElement1,0.217432793,0.208250174
8,Caphorn,4,internode,StemElement,0.018258526,0.018920701
8,Caphorn,4,sheath,StemElement,0.03223299,0.044137882
8,Caphorn,5,internode,StemElement,0.102079181,0.062759876
8,Caphorn,6,internode,StemElement,0.275362843,0.181507719
9,Caphorn,1,blade,LeafElement1,0.019442172,0.022642131
9,Caphorn,1,sheath,StemElement,0.00359647,0.008910641
9,Caphorn,2,blade,LeafElement1,0.051944077,0.035708622
9,Caphorn,2,sheath,StemElement,0.019756575,0.005902924
9,Caphorn,3,blade,LeafElement1,0.062593778,0.080712959
9,Caphorn,3,sheath,StemElement,0.020066788,0.01376764
9,Caphorn,4,blade,LeafElement1,0.222057095,0.208250174
9,Caphorn,4,internode,StemElement,0.015409838,0.018920701
9,Caphorn,4,sheath,StemElement,0.043462299,0.044137882
9,Caphorn,5,internode,StemElement,0.096534159,0.062759876
9,Caphorn,6,internode,StemElement,0.195037575,0.181507719
10,Caphorn,1,blade,LeafElement1,0.02418222,0.022642131
10,Caphorn,1,sheath,StemElement,0.016099801,0.008910641
10,Caphorn,2,blade,LeafElement1,0.033373305,0.035708622
10,Caphorn,2,sheath,StemElement,0.007401676,0.005902924
