t,DOY,hour,air_temperature,PARi,soil_temperature,humidity,ambient_CO2,Wind
0,1,12,7,0,10,0.75,360,3
1,1,13,13,80,10,0.75,360,3
2,1,14,13,80,10,0.75,360,3
3,1,15,13,80,10,0.75,360,3
4,1,16,13,80,10,0.75,360,3
5,1,17,13,80,10,0.75,360,3
6,1,18,13,80,10,0.75,360,3
7,1,19,13,80,10,0.75,360,3
8,1,20,13,80,10,0.75,360,3
9,1,21,13,80,10,0.75,360,3
10,1,22,13,80,10,0.75,360,3
11,1,23,13,80,10,0.75,360,3
12,1,24,13,80,10,0.75,360,3
13,1,1,7,0,10,0.75,360,3
14,1,2,7,0,10,0.75,360,3
15,1,3,7,0,10,0.75,360,3
16,1,4,7,0,10,0.75,360,3
17,1,5,7,0,10,0.75,360,3
18,1,6,7,0,10,0.75,360,3
19,1,7,7,0,10,0.75,360,3
20,1,8,7,0,10,0.75,360,3
21,1,9,7,0,10,0.75,360,3
22,1,10,7,0,10,0.75,360,3
23,1,11,7,0,10,0.75,360,3
24,1,12,7,0,10,0.75,360,3
25,1,13,13,80,10,0.75,360,3
26,1,14,13,80,10,0.75,360,3
27,1,15,13,80,10,0.75,360,3
28,1,16,13,80,10,0.75,360,3
29,1,17,13,80,10,0.75,360,3
30,1,18,13,80,10,0.75,360,3
31,1,19,13,80,10,0.75,360,3
32,1,20,13,80,10,0.75,360,3
33,1,21,13,80,10,0.75,360,3
34,1,22,13,80,10,0.75,360,3
35,1,23,13,80,10,0.75,360,3
36,1,24,13,80,10,0.75,360,3
37,1,1,7,0,10,0.75,360,3
38,1,2,7,0,10,0.75,360,3
39,1,3,7,0,10,0.75,360,3
40,1,4,7,0,10,0.75,360,3
41,1,5,7,0,10,0.75,360,3
42,1,6,7,0,10,0.75,360,3
43,1,7,7,0,10,0.75,360,3
44,1,8,7,0,10,0.75,360,3
45,1,9,7,0,10,0.75,360,3
46,1,10,7,0,10,0.75,360,3
47,1,11,7,0,10,0.75,360,3
48,1,12,7,0,10,0.75,360,3
49,1,13,13,80,10,0.75,360,3
50,1,14,13,80,10,0.75,360,3
51,1,15,13,80,10,0.75,360,3
52,1,16,13,80,10,0.75,360,3
53,1,17,13,80,10,0.75,360,3
54,1,18,13,80,10,0.75,360,3
55,1,19,13,80,10,0.75,360,3
56,1,20,13,80,10,0.75,360,3
57,1,21,13,80,10,0.75,360,3
58,1,22,13,80,10,0.75,360,3
59,1,23,13,80,10,0.75,360,3
60,1,24,13,80,10,0.75,360,3
61,1,1,7,0,10,0.75,360,3
62,1,2,7,0,10,0.75,360,3
63,1,3,7,0,10,0.75,360,3
64,1,4,7,0,10,0.75,360,3
65,1,5,7,0,10,0.75,360,3
66,1,6,7,0,10,0.75,360,3
67,1,7,7,0,10,0.75,360,3
68,1,8,7,0,10,0.75,360,3
69,1,9,7,0,10,0.75,360,3
70,1,10,7,0,10,0.75,360,3
71,1,11,7,0,10,0.75,360,3
72,1,12,7,0,10,0.75,360,3
