YYYY,MM,DD,Date,plant,leaf,ph_em,Ln,Lgn,L,Lg
1998,12,10,10/12/1998,1,3,0.409457967,0.282258065,0.008064516,3.5,0.1
1998,12,14,14/12/1998,1,3,0.680949396,0.556451613,0.024193548,6.9,0.3
1998,12,17,17/12/1998,1,3,0.877852402,0.766129032,0.056451613,9.5,0.7
1998,12,21,21/12/1998,1,3,1.06493199,0.879032258,0.072580645,10.9,0.9
1998,12,23,23/12/1998,1,3,1.104138725,0.927419355,0.080645161,11.5,1
1998,12,28,28/12/1998,1,3,1.347724695,1.088709677,0.25,13.5,3.1
1998,12,31,31/12/1998,1,3,1.513418792,1.14516129,0.314516129,14.2,3.9
1999,1,4,04/01/1999,1,3,1.741878438,1.161290323,0.314516129,14.4,3.9
1999,1,6,06/01/1999,1,3,1.893228607,0.943548387,0.274193548,11.7,3.4
1999,1,8,08/01/1999,1,3,2.021193827,1,0.274193548,12.4,3.4
1999,1,11,11/01/1999,1,3,2.119080266,1.052419355,0.282258065,13.05,3.5
1999,1,14,14/01/1999,1,3,2.158895532,1.14516129,0.306451613,14.2,3.8
1999,1,18,18/01/1999,1,3,2.335630106,1.072580645,0.282258065,13.3,3.5
1999,1,20,20/01/1999,1,3,2.433255746,1.14516129,0.298387097,14.2,3.7
1999,1,22,22/01/1999,1,3,2.55113675,1.056451613,0.306451613,13.1,3.8
1999,1,25,25/01/1999,1,3,2.743519245,1.040322581,0.282258065,12.9,3.5
1999,1,27,27/01/1999,1,3,2.867833284,1.088709677,0.266129032,13.5,3.3
1999,1,29,29/01/1999,1,3,2.97102263,1.048387097,0.282258065,13,3.5
1999,2,1,01/02/1999,1,3,3.008490707,1,0.241935484,12.4,3
1999,2,3,03/02/1999,1,3,3.073255713,0.983870968,0.258064516,12.2,3.2
1999,2,5,05/02/1999,1,3,3.182965026,0.983870968,0.241935484,12.2,3
1999,2,8,08/02/1999,1,3,3.30893079,0.967741935,0.25,12,3.1
1999,2,11,11/02/1999,1,3,3.337531712,1.008064516,0.25,12.5,3.1
1999,2,15,15/02/1999,1,3,3.361438258,1.008064516,0.25,12.5,3.1
1999,2,18,18/02/1999,1,3,3.532087529,0.97983871,0.241935484,12.15,3
1999,2,22,22/02/1999,1,3,3.837656653,0.951612903,0.241935484,11.8,3
1999,2,24,24/02/1999,1,3,3.905985908,1.040322581,0.258064516,12.9,3.2
1999,2,26,26/02/1999,1,3,3.977966344,NA,0.241935484,NA,3
1999,3,1,01/03/1999,1,3,4.136010346,0.911290323,0.217741935,11.3,2.7
1999,3,3,03/03/1999,1,3,4.286751984,NA,0.258064516,NA,3.2
1999,3,5,05/03/1999,1,3,4.404024459,0.935483871,0.217741935,11.6,2.7
1998,11,20,20/11/1998,1,4,-1.053813142,0.007462687,NA,0.1,NA
1998,11,27,27/11/1998,1,4,-0.910808531,0.014925373,NA,0.2,NA
1998,12,7,07/12/1998,1,4,-0.643142149,0.007089552,NA,0.095,NA
1998,12,10,10/12/1998,1,4,-0.562294558,0.013432836,NA,0.18,NA
1998,12,17,17/12/1998,1,4,-0.093900123,0.201492537,0.007462687,2.7,0.1
1998,12,21,21/12/1998,1,4,0.093179465,0.194029851,0.007462687,2.6,0.1
1998,12,23,23/12/1998,1,4,0.1323862,0.26119403,0.007462687,3.5,0.1
1998,12,28,28/12/1998,1,4,0.37597217,0.395522388,0.014925373,5.3,0.2
1998,12,31,31/12/1998,1,4,0.541666267,0.507462687,0.014925373,6.8,0.2
1999,1,4,04/01/1999,1,4,0.770125913,0.690298507,0.03358209,9.25,0.45
1999,1,6,06/01/1999,1,4,0.921476082,0.634328358,0.03358209,8.5,0.45
1999,1,8,08/01/1999,1,4,1.049441302,0.701492537,0.037313433,9.4,0.5
1999,1,11,11/01/1999,1,4,1.147327741,0.820895522,0.074626866,11,1
1999,1,14,14/01/1999,1,4,1.187143006,0.914179104,0.100746269,12.25,1.35
1999,1,18,18/01/1999,1,4,1.363877581,1.02238806,0.194029851,13.7,2.6
1999,1,20,20/01/1999,1,4,1.461503221,1.059701493,0.268656716,14.2,3.6
1999,1,22,22/01/1999,1,4,1.579384225,1.02238806,0.28358209,13.7,3.8
1999,1,25,25/01/1999,1,4,1.77176672,1.149253731,0.320895522,15.4,4.3
1999,1,27,27/01/1999,1,4,1.896080759,1.074626866,0.291044776,14.4,3.9
1999,1,29,29/01/1999,1,4,1.999270105,1.111940299,0.313432836,14.9,4.2
1999,2,1,01/02/1999,1,4,2.036738182,1.074626866,0.26119403,14.4,3.5
1999,2,3,03/02/1999,1,4,2.101503188,1.014925373,0.268656716,13.6,3.6
1999,2,5,05/02/1999,1,4,2.211212501,1.037313433,0.276119403,13.9,3.7
1999,2,8,08/02/1999,1,4,2.337178265,1,0.253731343,13.4,3.4
1999,2,11,11/02/1999,1,4,2.365779187,1.014925373,0.26119403,13.6,3.5
1999,2,15,15/02/1999,1,4,2.389685733,1.02238806,0.246268657,13.7,3.3
1999,2,18,18/02/1999,1,4,2.560335004,1.026119403,0.264925373,13.75,3.55
1999,2,22,22/02/1999,1,4,2.865904128,0.97761194,0.253731343,13.1,3.4
1999,2,24,24/02/1999,1,4,2.934233382,NA,0.26119403,NA,3.5
1999,2,26,26/02/1999,1,4,3.006213819,0.992537313,0.26119403,13.3,3.5
1999,3,1,01/03/1999,1,4,3.164257821,0.97761194,0.246268657,13.1,3.3
1999,3,3,03/03/1999,1,4,3.314999459,1.007462687,0.268656716,13.5,3.6
1999,3,5,05/03/1999,1,4,3.432271934,0.962686567,0.23880597,12.9,3.2
1999,3,8,08/03/1999,1,4,3.552239328,NA,0.23880597,NA,3.2
1999,3,10,10/03/1999,1,4,3.662383305,1.052238806,0.276119403,14.1,3.7
