ID,plant,leaf,xn,ph_em,Ln,Lgn,Len,L,Lg,Le
1,1,3,0.045453149,-0.221748811,0.440290758,0.05815161,NA,5.3,0.7,NA
2,1,3,0.101483374,-0.165718586,0.365524403,NA,NA,4.4,NA,NA
3,1,3,0.189113136,-0.078088823,0.423676012,NA,NA,5.1,NA,NA
4,1,3,0.483790616,0.216588656,0.681204569,0.041536864,NA,8.2,0.5,NA
5,1,3,0.697346894,0.430144935,0.739356179,0.041536864,NA,8.9,0.5,NA
6,1,3,0.900338551,0.633136591,0.955347871,0.166147456,NA,11.5,2,NA
7,1,3,0.942880018,0.675678059,0.98026999,0.132917965,NA,11.8,1.6,NA
8,1,3,1.207184211,0.939982251,0.839044652,0.224299065,NA,10.1,2.7,NA
9,1,3,1.387065758,1.119863799,1.030114226,0.257528557,NA,12.4,3.1,NA
10,1,3,1.634957057,1.367755097,1.005192108,0.274143302,NA,12.1,3.3,NA
11,1,3,1.799085999,1.531884039,1.088265836,0.299065421,NA,13.1,3.6,NA
12,1,3,1.938029637,1.670827678,0.938733126,0.232606438,NA,11.3,2.8,NA
13,1,3,2.044147488,1.776945528,1.055036345,0.257528557,NA,12.7,3.1,NA
14,1,3,2.087349244,1.820147284,1.104880582,0.282450675,NA,13.3,3.4,NA
15,1,3,2.27911599,2.011914031,1.038421599,0.249221184,NA,12.5,3,NA
16,1,3,2.385045187,2.117843227,1.221183801,0.315680166,NA,14.7,3.8,NA
17,1,3,2.513046896,2.245844936,0.98026999,0.249221184,NA,11.8,3,NA
18,1,3,2.721792499,2.454590539,1.088265836,0.257528557,NA,13.1,3.1,NA
19,1,3,2.856680077,2.589478118,1.005192108,0.240913811,NA,12.1,2.9,NA
20,1,3,2.9686462,2.701444241,1.088265836,0.282450675,NA,13.1,3.4,NA
21,1,3,3.009206801,2.742004841,1.021806854,0.265835929,NA,12.3,3.2,NA
22,1,3,3.0794804,2.81227844,0.955347871,0.199376947,NA,11.5,2.4,NA
23,1,3,3.198521046,2.931319086,1.030114226,0.240913811,NA,12.4,2.9,NA
24,1,3,3.335200837,3.067998878,0.963655244,0.232606438,NA,11.6,2.8,NA
25,1,3,3.36632874,3.09912678,1.07165109,0.257528557,NA,12.9,3.1,NA
26,1,3,3.392174332,3.124972372,0.988577362,0.249221184,NA,11.9,3,NA
27,1,3,3.57733819,3.31013623,0.938733126,0.232606438,NA,11.3,2.8,NA
