"t","hour","air_temperature","PARi","soil_temperature","DOY","humidity","ambient_CO2","Wind"
0,12,7.31320560962416,356.308743011683,7.10446770205398,347,0.75,360,2.2
1,13,7.62981969553855,321.012697983967,7.32923759366221,347,0.75,360,2.2
2,14,7.71046250825554,245.24891618723,7.4378824942958,347,0.75,360,2.2
3,15,7.54679302709764,151.540562007944,7.487826732513,347,0.75,360,2.2
4,16,7.21630041360942,49.4747331627676,7.09538905068863,347,0.75,360,2.2
5,17,7.08772756414357,34.0691768699214,6.77187333618952,347,0.75,360,2.2
6,18,6.62024536742474,8.51475886269648,6.35240105504816,347,0.75,360,2.2
7,19,6.29388118643129,0,5.78751878295181,347,0.75,360,2.2
8,20,6.27164325663287,0,5.46342680283884,347,0.75,360,2.2
9,21,6.16327929559568,0,5.33274804228352,347,0.75,360,2.2
10,22,6.13183139275067,0,5.24233873210387,347,0.75,360,2.2
11,23,5.94214371510265,0,5.14256196242433,347,0.75,360,2.2
12,24,5.82382290755931,0,5.08207658269305,347,0.75,360,2.2
13,1,5.45152660556028,0,4.97922723302814,348,0.75,360,2.2
14,2,5.45838539008325,0,4.93024099153487,348,0.75,360,2.2
15,3,5.31468851539544,0,4.95102574179696,348,0.75,360,2.2
16,4,5.3467159961672,0.0312981229266758,4.95667369100867,348,0.75,360,2.2
17,5,5.174030873598,0,4.93956975419188,348,0.75,360,2.2
18,6,4.95515921414377,0,4.85917516268803,348,0.75,360,2.2
19,7,5.11127380876661,12.8882149287523,5.09555393078972,348,0.75,360,2.2
20,8,5.24537464205825,37.7669306837397,5.48963494575568,348,0.75,360,2.2
21,9,5.55948379217189,100.027282003246,5.98075743178863,348,0.75,360,2.2
22,10,6.21575742453402,210.191918234259,6.31335141436128,348,0.75,360,2.2
23,11,6.87797633008535,278.001491350929,6.47640351539067,348,0.75,360,2.2
24,12,7.25726630300766,349.786451177586,6.8895691249883,348,0.75,360,2.2
25,13,7.58037507057772,318.916618728399,7.12448123124496,348,0.75,360,2.2
26,14,7.66312741550478,245.527176644143,7.24574710086537,348,0.75,360,2.2
27,15,7.50102318000708,151.37431726938,7.30669877310545,348,0.75,360,2.2
28,16,7.15487240139686,48.1888200695976,6.95605043108926,348,0.75,360,2.2
29,17,6.99708885063469,29.2685197244242,6.6501974628697,348,0.75,360,2.2
30,18,6.5528253576094,7.78357322370077,6.26087851036633,348,0.75,360,2.2
31,19,6.24856623573946,0,5.74862886325882,348,0.75,360,2.2
32,20,6.21962636967613,0,5.44539219338972,348,0.75,360,2.2
33,21,6.12497448170008,0,5.32110978219505,348,0.75,360,2.2
34,22,6.08573832756016,0,5.23559207576899,348,0.75,360,2.2
35,23,5.91089194540513,0,5.14457981589963,348,0.75,360,2.2
36,24,5.80342473268447,0,5.09120310287247,348,0.75,360,2.2
37,1,5.4543479383981,0,4.99866220189601,349,0.75,360,2.2
38,2,5.45469075285083,0,4.95462911826472,349,0.75,360,2.2
39,3,5.31801671599548,0,4.96875636577896,349,0.75,360,2.2
40,4,5.34610690321475,0.0241544282313293,4.97331404797127,349,0.75,360,2.2
41,5,5.18110635943218,0,4.95935145061509,349,0.75,360,2.2
42,6,4.97599398913747,0,4.89152633406109,349,0.75,360,2.2
43,7,5.10881230880468,12.0425334232812,5.10089877392808,349,0.75,360,2.2
44,8,5.20549130412304,33.1823832642437,5.44192524799002,349,0.75,360,2.2
45,9,5.51744873012159,95.686501997457,5.85901490082886,349,0.75,360,2.2
46,10,6.16945861958112,204.991507577862,6.14662489308849,349,0.75,360,2.2
47,11,6.83036206904045,274.850996611901,6.30605653718005,349,0.75,360,2.2
48,12,7.20316948984126,343.71786470884,6.68460885487724,349,0.75,360,2.2
49,13,7.53244072332298,317.129148030979,6.92959294497989,349,0.75,360,2.2
50,14,7.61728715466023,245.957555986107,7.0630817949398,349,0.75,360,2.2
51,15,7.45662600971976,151.375522124087,7.13465781946213,349,0.75,360,2.2
52,16,7.09570049294411,47.0932010209893,6.82376833159216,349,0.75,360,2.2
53,17,6.90995150968906,24.7539181327581,6.53449863466548,349,0.75,360,2.2
54,18,6.48737439745261,7.05683916335652,6.17343857645249,349,0.75,360,2.2
55,19,6.20389757465338,0,5.71088397434948,349,0.75,360,2.2
56,20,6.16852337638829,0,5.42763856777782,349,0.75,360,2.2
57,21,6.08676199545599,0,5.30932206461479,349,0.75,360,2.2
58,22,6.04003748639695,0,5.22830472334707,349,0.75,360,2.2
59,23,5.87917363789354,0,5.14549955394111,349,0.75,360,2.2
60,24,5.78178071909585,0,5.09873832118697,349,0.75,360,2.2
61,1,5.45475451591375,0,5.01577562921187,350,0.75,360,2.2
62,2,5.44875690629958,0,4.97628114179064,350,0.75,360,2.2
63,3,5.31871645703019,0,4.98410812590899,350,0.75,360,2.2
64,4,5.34294940416868,0.0176060724533293,4.9876018338534,350,0.75,360,2.2
65,5,5.18533743429686,0,4.97651933891471,350,0.75,360,2.2
66,6,4.99316352551962,0,4.92039653110675,350,0.75,360,2.2
67,7,5.10378107419632,11.1765453295411,5.10377234354704,350,0.75,360,2.2
68,8,5.16566217657387,28.8141289409973,5.39419867487276,350,0.75,360,2.2
69,9,5.4760313040396,91.6430179326486,5.74120851926745,350,0.75,360,2.2
70,10,6.12424253506346,200.156897249875,5.98667295145081,350,0.75,360,2.2
71,11,6.78382123028126,271.980247374684,6.14301894317503,350,0.75,360,2.2
72,12,7.15093109690291,338.095779836118,6.48943800525108,350,0.75,360,2.2
73,13,7.48604192005987,315.644833545386,6.74441647687286,350,0.75,360,2.2
74,14,7.57296738701144,246.539508615541,6.88973795878872,350,0.75,360,2.2
75,15,7.41363066745474,151.542453294423,6.97155708120324,350,0.75,360,2.2
76,16,7.03879101302934,46.185132455394,6.69843561193451,350,0.75,360,2.2
77,17,6.82629134727382,20.5199913556132,6.42469003129916,350,0.75,360,2.2
78,18,6.42390706659776,6.33586930094171,6.09003685733577,350,0.75,360,2.2
79,19,6.15991967002416,0,5.67430621934188,350,0.75,360,2.2
80,20,6.11837074579785,0,5.41020092633739,350,0.75,360,2.2
81,21,6.04869685476215,0,5.2974291238659,350,0.75,360,2.2
82,22,5.99477570649169,0,5.22053071590349,350,0.75,360,2.2
83,23,5.84705546364044,0,5.14538831271163,350,0.75,360,2.2
84,24,5.75897807361896,0,5.10476062188223,350,0.75,360,2.2
85,1,5.45286218157669,0,5.03066678376594,351,0.75,360,2.2
86,2,5.44069599531599,0,4.99530847339462,351,0.75,360,2.2
87,3,5.3169082525075,0,4.9971812514033,351,0.75,360,2.2
88,4,5.33736145423782,0.0116298572328121,4.99963507588663,351,0.75,360,2.2
89,5,5.18684636447907,0,4.99117681741649,351,0.75,360,2.2
90,6,5.00681565765245,0,4.9459153292659,351,0.75,360,2.2
91,7,5.09630961620048,10.2931885457918,5.10429278481571,351,0.75,360,2.2
92,8,5.12595151526755,24.6603596877151,5.34653007348448,351,0.75,360,2.2
93,9,5.4352814514207,87.8925005127105,5.62732810792937,351,0.75,360,2.2
94,10,6.08014712446784,195.682721048872,5.83341984768729,351,0.75,360,2.2
95,11,6.73839499380557,269.386236500499,5.98720667048925,351,0.75,360,2.2
96,12,7.10056650999535,332.913034593451,6.30390848163582,351,0.75,360,2.2
97,13,7.44120327636818,314.458261234015,6.56879650967042,351,0.75,360,2.2
98,14,7.5301931140452,247.272464318847,6.7255678432912,351,0.75,360,2.2
99,15,7.37206561189952,151.873384780942,6.81725069193181,351,0.75,360,2.2
100,16,6.98414984464261,45.4618845733945,6.57994576005536,351,0.75,360,2.2
101,17,6.7460840593447,16.5614069531883,6.32068533461448,351,0.75,360,2.2
102,18,6.36243743871737,5.6219577874686,6.01062908423319,351,0.75,360,2.2
103,19,6.11667619841155,0,5.63891720820929,351,0.75,360,2.2
104,20,6.0692042292257,0,5.39311369538152,351,0.75,360,2.2
105,21,6.01083317271964,0,5.28547452541263,351,0.75,360,2.2
106,22,5.94999900515928,0,5.21232331616791,351,0.75,360,2.2
107,23,5.81460308121743,0,5.14431231908095,351,0.75,360,2.2
108,24,5.73510276708693,0,5.10934737054599,351,0.75,360,2.2
109,1,5.44878523908789,0,5.04343367044452,352,0.75,360,2.2
110,2,5.43061865632098,0,5.01182111301502,352,0.75,360,2.2
111,3,5.31271103296512,0,5.00807469545185,352,0.75,360,2.2
112,4,5.32945946106478,0.00620294846555783,5.00951056193719,352,0.75,360,2.2
113,5,5.18575386723074,0,5.00342602193859,352,0.75,360,2.2
114,6,5.01709638435217,0,4.96821076013098,352,0.75,360,2.2
115,7,5.086525738773,9.39535758599099,5.10257671944766,352,0.75,360,2.2
116,8,5.08642253068009,20.7192624238259,5.29899306334762,352,0.75,360,2.2
117,9,5.39524820017948,84.4306462146119,5.5173630051975,352,0.75,360,2.2
118,10,6.03720955004693,191.563639215385,5.68678996426966,352,0.75,360,2.2
