t,plant,axis,Tsoil,volume,nitrates,Conc_Nitrates_Soil,mineralisation
0,1,MS,12.00000000,1,428571.00000000,NA,NA
1,1,MS,6.26400000,1,428500.91278309,428500.91278309,0.00244379
2,1,MS,5.41500000,1,428439.39317581,428439.39317581,0.00227375
3,1,MS,6.22300000,1,428376.69993209,428376.69993209,0.00243531
4,1,MS,5.95700000,1,428317.88237175,428317.88237175,0.00238100
5,1,MS,5.73300000,1,428262.24121009,428262.24121009,0.00233613
6,1,MS,5.59000000,1,428209.03467273,428209.03467273,0.00230788
7,1,MS,5.51100000,1,428157.70726858,428157.70726858,0.00229242
8,1,MS,5.48000000,1,428107.86511178,428107.86511178,0.00228637
9,1,MS,5.45500000,1,428059.35054472,428059.35054472,0.00228151
10,1,MS,5.45000000,1,428011.97554053,428011.97554053,0.00228054
11,1,MS,5.46600000,1,427965.57264913,427965.57264913,0.00228365
12,1,MS,5.44500000,1,427920.21607493,427920.21607493,0.00227957
13,1,MS,5.38500000,1,427875.98329766,427875.98329766,0.00226794
14,1,MS,5.34600000,1,427832.73173455,427832.73173455,0.00226041
15,1,MS,5.34700000,1,427790.27619132,427790.27619132,0.00226061
16,1,MS,5.40100000,1,427748.40085347,427748.40085347,0.00227104
17,1,MS,5.48900000,1,427706.97150297,427706.97150297,0.00228812
18,1,MS,5.60000000,1,427665.90091136,427665.90091136,0.00230985
19,1,MS,5.71200000,1,427625.18199109,427625.18199109,0.00233196
20,1,MS,5.84000000,1,427584.75871687,427584.75871687,0.00235746
21,1,MS,6.00100000,1,427544.52284161,427544.52284161,0.00238991
22,1,MS,6.20300000,1,427504.32743301,427504.32743301,0.00243119
23,1,MS,6.43300000,1,427464.07489820,427464.07489820,0.00247899
24,1,MS,6.62600000,1,427423.89592639,427423.89592639,0.00251976
25,1,MS,6.77300000,1,427383.92726590,427383.92726590,0.00255122
26,1,MS,6.93100000,1,427344.09206316,427344.09206316,0.00258544
27,1,MS,7.14000000,1,427304.21855736,427304.21855736,0.00263135
28,1,MS,7.30500000,1,427264.46379954,427264.46379954,0.00266811
29,1,MS,7.42500000,1,427224.99027422,427224.99027422,0.00269514
30,1,MS,7.50000000,1,427185.95968679,427185.95968679,0.00271217
31,1,MS,7.57000000,1,427147.39743824,427147.39743824,0.00272814
32,1,MS,7.53500000,1,427109.62972851,427109.62972851,0.00272014
33,1,MS,7.59000000,1,427072.37736345,427072.37736345,0.00273272
34,1,MS,7.52000000,1,427036.01222531,427036.01222531,0.00271672
35,1,MS,7.36500000,1,427000.76374145,427000.76374145,0.00268160
36,1,MS,7.43000000,1,426965.99263784,426965.99263784,0.00269628
37,1,MS,7.53000000,1,426931.59066298,426931.59066298,0.00271900
38,1,MS,7.46500000,1,426898.02238932,426898.02238932,0.00270421
39,1,MS,7.16000000,1,426865.89990006,426865.89990006,0.00263578
40,1,MS,7.01500000,1,426834.73147147,426834.73147147,0.00260380
41,1,MS,7.03500000,1,426804.07695386,426804.07695386,0.00260819
42,1,MS,6.99600000,1,426774.09635747,426774.09635747,0.00259964
43,1,MS,6.92800000,1,426744.85366291,426744.85366291,0.00258479
44,1,MS,6.72700000,1,426716.63311088,426716.63311088,0.00254134
45,1,MS,6.38100000,1,426689.58655283,426689.58655283,0.00246811
46,1,MS,6.25000000,1,426662.93436178,426662.93436178,0.00244089
47,1,MS,6.45200000,1,426635.66157993,426635.66157993,0.00248298
48,1,MS,6.75600000,1,426607.16507102,426607.16507102,0.00254757
49,1,MS,7.07500000,1,426576.90111956,426576.90111956,0.00261699
50,1,MS,7.19500000,1,426545.10877318,426545.10877318,0.00264355
51,1,MS,7.13500000,1,426512.25449660,426512.25449660,0.00263024
52,1,MS,7.03800000,1,426478.69573850,426478.69573850,0.00260885
53,1,MS,6.73600000,1,426445.22797607,426445.22797607,0.00254327
54,1,MS,6.37100000,1,426412.20664026,426412.20664026,0.00246602
55,1,MS,6.14300000,1,426379.42715749,426379.42715749,0.00241886
56,1,MS,5.92200000,1,426346.97051584,426346.97051584,0.00237394
57,1,MS,5.79200000,1,426314.66753492,426314.66753492,0.00234787
58,1,MS,5.71100000,1,426282.46444343,426282.46444343,0.00233176
59,1,MS,5.68600000,1,426250.29721473,426250.29721473,0.00232681
60,1,MS,5.67500000,1,426218.20826431,426218.20826431,0.00232463
61,1,MS,5.62100000,1,426186.37124805,426186.37124805,0.00231398
62,1,MS,5.53500000,1,426154.90884053,426154.90884053,0.00229710
63,1,MS,5.43300000,1,426123.88916568,426123.88916568,0.00227724
64,1,MS,5.35100000,1,426093.27968529,426093.27968529,0.00226138
65,1,MS,5.29800000,1,426063.02465654,426063.02465654,0.00225118
66,1,MS,5.24600000,1,426033.13725370,426033.13725370,0.00224122
67,1,MS,5.17400000,1,426003.67878413,426003.67878413,0.00222749
68,1,MS,5.08700000,1,425974.69702737,425974.69702737,0.00221100
69,1,MS,4.99800000,1,425946.18829093,425946.18829093,0.00219425
70,1,MS,4.94800000,1,425918.03544281,425918.03544281,0.00218490
71,1,MS,4.96700000,1,425890.01734449,425890.01734449,0.00218845
72,1,MS,5.11400000,1,425861.75664518,425861.75664518,0.00221611
73,1,MS,5.32800000,1,425833.00095686,425833.00095686,0.00225695
74,1,MS,5.43500000,1,425803.94033004,425803.94033004,0.00227762
75,1,MS,5.44200000,1,425774.75728045,425774.75728045,0.00227898
76,1,MS,5.25600000,1,425745.87987964,425745.87987964,0.00224313
77,1,MS,4.89800000,1,425717.74746449,425717.74746449,0.00217557
78,1,MS,4.39500000,1,425690.66766828,425690.66766828,0.00208380
79,1,MS,3.92600000,1,425664.53348531,425664.53348531,0.00200143
80,1,MS,3.53700000,1,425639.15056179,425639.15056179,0.00193538
81,1,MS,3.16000000,1,425614.48255515,425614.48255515,0.00187329
82,1,MS,2.84700000,1,425590.38765242,425590.38765242,0.00182312
83,1,MS,2.60500000,1,425566.71678290,425566.71678290,0.00178518
84,1,MS,2.49400000,1,425543.21349762,425543.21349762,0.00176803
85,1,MS,2.45700000,1,425519.75177522,425519.75177522,0.00176234
86,1,MS,2.40300000,1,425496.38328139,425496.38328139,0.00175407
87,1,MS,2.35400000,1,425473.11335884,425473.11335884,0.00174660
88,1,MS,2.30300000,1,425449.96429965,425449.96429965,0.00173885
89,1,MS,2.24100000,1,425426.97190344,425426.97190344,0.00172948
90,1,MS,2.17900000,1,425404.14006122,425404.14006122,0.00172015
91,1,MS,2.14300000,1,425381.42709818,425381.42709818,0.00171476
92,1,MS,2.07000000,1,425358.91074287,425358.91074287,0.00170386
93,1,MS,1.98800000,1,425336.53777857,425336.53777857,0.00169171
94,1,MS,1.93200000,1,425314.08008567,425314.08008567,0.00168345
95,1,MS,1.92100000,1,425291.19264168,425291.19264168,0.00168183
96,1,MS,2.04400000,1,425267.33278661,425267.33278661,0.00170000
97,1,MS,2.51600000,1,425241.50101635,425241.50101635,0.00177141
98,1,MS,2.92600000,1,425213.72744082,425213.72744082,0.00183567
99,1,MS,3.18900000,1,425184.28769556,425184.28769556,0.00187800
