plant,axis,metamer,organ,amino_acids,mstruct,Nstruct,sucrose,green_area,is_growing
1,MS,1,blade,0.4,0.018,0.00054,16,0.000973318,False
1,MS,1,sheath,0.2,0.01,0.0003,8,0.000222843,False
1,MS,1,internode,0,0,0,0,0,False
1,MS,2,blade,0.5,0.02,0.0006,10,0.000233465,False
1,MS,2,sheath,0.25,0.012,0.00036,20,0.00082562,False
1,MS,2,internode,0,0,0,0,0,False
1,MS,3,blade,0.6,0.022,0.00066,24,0.00082562,False
1,MS,3,sheath,0.3,0.014,0.00042,12,0.000638232,False
1,MS,3,internode,0,0,0,0,0,False
1,MS,4,blade,0,0,0,0,0,True
