aaaa,jj,mm,jjmm,heure,PAR_corrige,Rd:PAR
2008,1,5,01/05,00:30,NA,NA
2008,1,5,01/05,01:00,NA,NA
2008,1,5,01/05,01:30,NA,NA
2008,1,5,01/05,02:00,NA,NA
2008,1,5,01/05,02:30,NA,NA
2008,1,5,01/05,03:00,NA,NA
2008,1,5,01/05,03:30,NA,NA
2008,1,5,01/05,04:00,NA,NA
2008,1,5,01/05,04:30,NA,NA
2008,1,5,01/05,05:00,4.273,0.445789843
2008,1,5,01/05,05:30,35.905,0.939816182
2008,1,5,01/05,06:00,103.8,0.978279383
2008,1,5,01/05,06:30,181.75,0.992050619
2008,1,5,01/05,07:00,234.8,0.988062181
2008,1,5,01/05,07:30,529.85,0.695762952
2008,1,5,01/05,08:00,777.5,0.650297106
2008,1,5,01/05,08:30,897.5,0.625918663
2008,1,5,01/05,09:00,1018,0.617211198
2008,1,5,01/05,09:30,1002,0.656298403
2008,1,5,01/05,10:00,1064.5,0.644711132
2008,1,5,01/05,10:30,1201.5,0.495374948
2008,1,5,01/05,11:00,856,0.875372664
2008,1,5,01/05,11:30,1079.5,0.736238073
2008,1,5,01/05,12:00,1051.25,0.667921046
2008,1,5,01/05,12:30,1032.5,0.79254431
2008,1,5,01/05,13:00,1015,0.840936946
2008,1,5,01/05,13:30,1175,0.823644255
2008,1,5,01/05,14:00,937,0.905874066
2008,1,5,01/05,14:30,655.1,0.983019386
2008,1,5,01/05,15:00,550.1,0.992190511
2008,1,5,01/05,15:30,706.15,0.832000283
2008,1,5,01/05,16:00,953,0.412372508
2008,1,5,01/05,16:30,827,0.299824667
2008,1,5,01/05,17:00,642,0.336666667
2008,1,5,01/05,17:30,453.8,0.361668136
2008,1,5,01/05,18:00,331.65,0.448218905
2008,1,5,01/05,18:30,166.75,0.632771814
2008,1,5,01/05,19:00,51.935,0.864436315
2008,1,5,01/05,19:30,6.166,0.655205968
2008,1,5,01/05,20:00,NA,NA
2008,1,5,01/05,20:30,NA,NA
2008,1,5,01/05,21:00,NA,NA
2008,1,5,01/05,21:30,NA,NA
2008,1,5,01/05,22:00,NA,NA
2008,1,5,01/05,22:30,NA,NA
2008,1,5,01/05,23:00,NA,NA
2008,1,5,01/05,23:30,NA,NA
2008,1,5,01/05,24:00:00,NA,NA
2008,2,5,02/05,00:30,NA,NA
2008,2,5,02/05,01:00,NA,NA
2008,2,5,02/05,01:30,NA,NA
2008,2,5,02/05,02:00,NA,NA
2008,2,5,02/05,02:30,NA,NA
2008,2,5,02/05,03:00,NA,NA
2008,2,5,02/05,03:30,NA,NA
2008,2,5,02/05,04:00,NA,NA
2008,2,5,02/05,04:30,NA,NA
2008,2,5,02/05,05:00,8.112,0.630253945
2008,2,5,02/05,05:30,48.605,0.943400885
2008,2,5,02/05,06:00,130.95,0.942589538
2008,2,5,02/05,06:30,224.4,0.910980392
2008,2,5,02/05,07:00,477.15,0.679895211
2008,2,5,02/05,07:30,647.15,0.558570656
2008,2,5,02/05,08:00,869,0.331010357
2008,2,5,02/05,08:30,1043,0.290023969
2008,2,5,02/05,09:00,1105.5,0.35283763
2008,2,5,02/05,09:30,849,0.785159011
2008,2,5,02/05,10:00,1304.5,0.466326562
2008,2,5,02/05,10:30,1238,0.468450727
2008,2,5,02/05,11:00,1279.5,0.612393904
2008,2,5,02/05,11:30,1543.5,0.373637836
2008,2,5,02/05,12:00,1496,0.473876337
2008,2,5,02/05,12:30,1442.5,0.538223224
2008,2,5,02/05,13:00,1634,0.372970624
2008,2,5,02/05,13:30,1474,0.47512483
2008,2,5,02/05,14:00,1046.5,0.788021978
2008,2,5,02/05,14:30,1267.5,0.530698225
2008,2,5,02/05,15:00,998,0.599017034
2008,2,5,02/05,15:30,830.5,0.760084287
2008,2,5,02/05,16:00,945,0.576394709
2008,2,5,02/05,16:30,813.5,0.361911494
2008,2,5,02/05,17:00,534.1,0.453658491
2008,2,5,02/05,17:30,373.9,0.72150575
2008,2,5,02/05,18:00,217,0.772626728
2008,2,5,02/05,18:30,94.3,0.968229056
2008,2,5,02/05,19:00,36.69,0.895759062
2008,2,5,02/05,19:30,5.206,0.63517864
2008,2,5,02/05,20:00,NA,NA
2008,2,5,02/05,20:30,NA,NA
2008,2,5,02/05,21:00,NA,NA
2008,2,5,02/05,21:30,NA,NA
2008,2,5,02/05,22:00,NA,NA
2008,2,5,02/05,22:30,NA,NA
2008,2,5,02/05,23:00,NA,NA
2008,2,5,02/05,23:30,NA,NA
2008,2,5,02/05,24:00:00,NA,NA
2008,3,5,03/05,00:30,NA,NA
2008,3,5,03/05,01:00,NA,NA
2008,3,5,03/05,01:30,NA,NA
2008,3,5,03/05,02:00,NA,NA
2008,3,5,03/05,02:30,NA,NA
2008,3,5,03/05,03:00,NA,NA
2008,3,5,03/05,03:30,NA,NA
2008,3,5,03/05,04:00,NA,NA
2008,3,5,03/05,04:30,NA,NA
2008,3,5,03/05,05:00,19.747,0.82305768
2008,3,5,03/05,05:30,93.1,0.792161117
2008,3,5,03/05,06:00,114.15,0.826757775
2008,3,5,03/05,06:30,318.5,0.545431711
2008,3,5,03/05,07:00,513.7,0.405218999
2008,3,5,03/05,07:30,690.1,0.288905956
2008,3,5,03/05,08:00,903.5,0.245038185
2008,3,5,03/05,08:30,1039,0.20112512
2008,3,5,03/05,09:00,1204.5,0.127371523
2008,3,5,03/05,09:30,1349,0.100356116
2008,3,5,03/05,10:00,1465.5,0.095541658
2008,3,5,03/05,10:30,1550,0.113380645
2008,3,5,03/05,11:00,1600,0.1421575
2008,3,5,03/05,11:30,1631,0.165340282
2008,3,5,03/05,12:00,1582,0.204298357
2008,3,5,03/05,12:30,1649,0.216944815
2008,3,5,03/05,13:00,1508.5,0.343808419
2008,3,5,03/05,13:30,1499,0.317284189
2008,3,5,03/05,14:00,1299,0.468378753
2008,3,5,03/05,14:30,1282.5,0.427153216
2008,3,5,03/05,15:00,1055.5,0.5348072
2008,3,5,03/05,15:30,946.5,0.65273851
2008,3,5,03/05,16:00,754.5,0.723264414
2008,3,5,03/05,16:30,784.5,0.593254302
2008,3,5,03/05,17:00,508.25,0.669690113
2008,3,5,03/05,17:30,372.95,0.750966618
2008,3,5,03/05,18:00,302.4,0.772529762
2008,3,5,03/05,18:30,186.65,0.790034825
2008,3,5,03/05,19:00,54.03,0.923076069
2008,3,5,03/05,19:30,6.839,0.63001316
2008,3,5,03/05,20:00,NA,NA
2008,3,5,03/05,20:30,NA,NA
2008,3,5,03/05,21:00,NA,NA
2008,3,5,03/05,21:30,NA,NA
2008,3,5,03/05,22:00,NA,NA
2008,3,5,03/05,22:30,NA,NA
2008,3,5,03/05,23:00,NA,NA
2008,3,5,03/05,23:30,NA,NA
2008,3,5,03/05,24:00:00,NA,NA
2008,4,5,04/05,00:30,NA,NA
2008,4,5,04/05,01:00,NA,NA
2008,4,5,04/05,01:30,NA,NA
2008,4,5,04/05,02:00,NA,NA
2008,4,5,04/05,02:30,NA,NA
2008,4,5,04/05,03:00,NA,NA
2008,4,5,04/05,03:30,NA,NA
2008,4,5,04/05,04:00,NA,NA
2008,4,5,04/05,04:30,NA,NA
2008,4,5,04/05,05:00,9.937,0.681803361
2008,4,5,04/05,05:30,65.13,0.945799171
2008,4,5,04/05,06:00,129.1,0.978393493
2008,4,5,04/05,06:30,169.9,0.985626839
2008,4,5,04/05,07:00,248.05,0.991473493
2008,4,5,04/05,07:30,338.4,0.990002955
2008,4,5,04/05,08:00,598.2,0.867161484
2008,4,5,04/05,08:30,673.85,0.815973881
2008,4,5,04/05,09:00,762,0.747426509
2008,4,5,04/05,09:30,1238,0.448054927
2008,4,5,04/05,10:00,1124,0.514884342
2008,4,5,04/05,10:30,1293,0.466568445
2008,4,5,04/05,11:00,1497.5,0.334868114
2008,4,5,04/05,11:30,1601.5,0.31652763
2008,4,5,04/05,12:00,1448,0.414253453
2008,4,5,04/05,12:30,1638,0.285920024
2008,4,5,04/05,13:00,1547,0.312336134
2008,4,5,04/05,13:30,1632,0.183000613
2008,4,5,04/05,14:00,1537.5,0.178942439
