t,plant,axis,organ,C_exudation,Conc_Amino_Acids,Conc_Nitrates,Conc_Sucrose,Conc_cytokinins,Dry_Mass,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,N_exudation,Nstruct,Proteins_N_Mass,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_growth,R_maintenance,R_residual,Respi_growth,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,age_from_flowering,amino_acids,cytokinins,mstruct,nitrates,proteins,rate_mstruct_death,rate_mstruct_growth,regul_transpiration,starch,structure,sucrose,total_organic_nitrogen
0,1,MS,grains,NA,NA,NA,NA,NA,0.08477841095289868,NA,NA,NA,NA,NA,NA,0.0015104964220048554,1.205428876003988e-06,NA,NA,0.0,4.352751587536305,NA,NA,NA,NA,NA,0.6557648828942019,NA,0.0,10.656736645347504,NA,NA,NA,0.0,NA,NA,NA,NA,107.89260157177539,NA,NA,NA,0.0,2455.7273204875896,NA,NA
0,1,MS,phloem,NA,64.5670187687918,NA,102.30372037589017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162.4215306091584,NA,NA,NA,NA,NA,NA,NA,NA,NA,2639.4879054774,NA
0,1,MS,roots,11.903659942699438,103.39856006764873,510.3213021287598,117.25347999239989,5.187985798564178,NA,0.019222202978816234,0.0027028705663853054,0.005495539400479919,54.451766917404754,1.0234670776915147,0.009993150724901353,NA,NA,2.8580751864666776,3.37521154104374,NA,NA,NA,5.395947181425286,3.6973709802322605,7.340289960541135,2.866037142645547,NA,0.8164322281356203,NA,NA,3.662473057239632,59.518299713497186,8.501792294820504,NA,60.92941345624471,2.612915850482384,0.5036474562450677,257.0220256848205,NA,1.764e-07,1.2743558959272806e-07,0.002921140231274021,NA,NA,708.6530032086497,774.7258938063413
1,1,MS,grains,NA,NA,NA,NA,NA,0.08503307850490778,NA,NA,NA,NA,NA,NA,0.0015186306334655539,1.2643508085728568e-06,NA,NA,0.0,4.577591633561533,NA,NA,NA,NA,NA,0.5299916963184981,NA,0.0,11.207207102857545,NA,NA,NA,0.0,NA,NA,NA,NA,108.47361667611099,NA,NA,NA,0.0,2462.22255960831,NA,NA
1,1,MS,phloem,NA,65.05919682313923,NA,134.1348553877557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163.67511899999877,NA,NA,NA,NA,NA,NA,NA,NA,NA,3461.074897889522,NA
1,1,MS,roots,13.32292733670318,106.02816749567258,523.8733518757169,119.10509114672213,5.427355610912953,NA,0.019711057443549656,0.002774647770712156,0.005749099507643715,52.78380865988323,1.1563657091805415,0.009993150724901353,NA,NA,2.8673869174899185,3.3098882064842616,NA,NA,NA,5.395947181425286,3.7362902871943464,7.340289960541135,2.875374814062066,NA,0.8504491372292009,NA,NA,3.1502232421969905,66.6146366835159,8.337249890388568,NA,62.4789557139401,2.7334738475737037,0.5036474562450677,263.8474810667821,NA,1.764e-07,1.2743558959272806e-07,0.002921140231274021,NA,NA,719.8437141826024,776.2754360640367
2,1,MS,grains,NA,NA,NA,NA,NA,0.08528606330355941,NA,NA,NA,NA,NA,NA,0.0015256741651256253,1.287168711259449e-06,NA,NA,0.0,4.672897238050287,NA,NA,NA,NA,NA,0.48246018267634316,NA,0.0,11.440541513847252,NA,NA,NA,0.0,NA,NA,NA,NA,108.9767260804018,NA,NA,NA,0.0,2468.9290304309943,NA,NA
2,1,MS,phloem,NA,65.39586491729112,NA,151.19589780200923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.48181638334208,NA,NA,NA,NA,NA,NA,NA,NA,NA,3900.3447666250204,NA
2,1,MS,roots,13.92505052233232,107.23311362422524,537.0968372196687,115.40407173169291,5.9550862464992385,NA,0.006558562557910541,0.0009358909064704176,0.0020753468198384663,51.16968688617541,1.2615636865457354,0.009986078969108315,NA,NA,2.847753196486757,3.134609001947712,NA,NA,NA,5.392051211944005,3.6735754032401835,7.24439361348543,2.857749743872033,NA,0.7942749952863501,NA,NA,2.9361732618382494,69.6252526116616,7.895740559062246,NA,63.14336776397847,2.997098517985598,0.5032838138570158,270.3121446464557,NA,1.7627660968577367e-07,1.2577072245634431e-07,0.0009617388688983988,NA,NA,696.9720162690604,776.4347227002868
3,1,MS,grains,NA,NA,NA,NA,NA,0.08553870438375061,NA,NA,NA,NA,NA,NA,0.0015322498337018238,1.298390077808541e-06,NA,NA,0.0,4.726635867891158,NA,NA,NA,NA,NA,0.4594173340521936,NA,0.0,11.572108504147316,NA,NA,NA,0.0,NA,NA,NA,NA,109.44641669298743,NA,NA,NA,0.0,2475.7387162961422,NA,NA
