t,plant,axis,Conc_Nitrates_Soil,Tsoil,mineralisation,nitrates,volume
0,1,MS,319706.39590988884,15.0,0.007379999999999999,319706.39590988884,1
1,1,MS,318020.07352463604,15.0,0.007379999999999999,318020.07352463604,1
2,1,MS,316424.6168643533,15.0,0.007379999999999999,316424.6168643533,1
3,1,MS,314850.63647655386,15.0,0.007379999999999999,314850.63647655386,1
4,1,MS,313355.3501111866,15.0,0.007379999999999999,313355.3501111866,1
5,1,MS,311875.0644655041,15.0,0.007379999999999999,311875.0644655041,1
6,1,MS,310465.2234525266,15.0,0.007379999999999999,310465.2234525266,1
7,1,MS,309066.13262725,15.0,0.007379999999999999,309066.13262725,1
8,1,MS,307730.81851299223,15.0,0.007379999999999999,307730.81851299223,1
9,1,MS,306402.5922450107,15.0,0.007379999999999999,306402.5922450107,1
10,1,MS,305132.25099262473,15.0,0.007379999999999999,305132.25099262473,1
11,1,MS,303865.70682159177,15.0,0.007379999999999999,303865.70682159177,1
12,1,MS,302651.3699225009,15.0,0.007379999999999999,302651.3699225009,1
13,1,MS,301436.9625783796,15.0,0.007379999999999999,301436.9625783796,1
14,1,MS,300270.01774590305,15.0,0.007379999999999999,300270.01774590305,1
15,1,MS,299101.03472771286,15.0,0.007379999999999999,299101.03472771286,1
16,1,MS,297975.93634671846,15.0,0.007379999999999999,297975.93634671846,1
17,1,MS,296847.0355693252,15.0,0.007379999999999999,296847.0355693252,1
18,1,MS,295759.41356639145,15.0,0.007379999999999999,295759.41356639145,1
19,1,MS,294667.6545350093,15.0,0.007379999999999999,294667.6545350093,1
20,1,MS,293615.7837933953,15.0,0.007379999999999999,293615.7837933953,1
21,1,MS,292560.3053169168,15.0,0.007379999999999999,292560.3053169168,1
22,1,MS,291543.07995150506,15.0,0.007379999999999999,291543.07995150506,1
23,1,MS,290521.4010711558,15.0,0.007379999999999999,290521.4010711558,1
24,1,MS,289536.1814916162,15.0,0.007379999999999999,289536.1814916162,1
25,1,MS,288546.48605431576,15.0,0.007379999999999999,288546.48605431576,1
26,1,MS,287591.6293853048,15.0,0.007379999999999999,287591.6293853048,1
27,1,MS,286631.68674798164,15.0,0.007379999999999999,286631.68674798164,1
28,1,MS,285705.11505023047,15.0,0.007379999999999999,285705.11505023047,1
29,1,MS,284773.52306078345,15.0,0.007379999999999999,284773.52306078345,1
30,1,MS,283873.1116653975,15.0,0.007379999999999999,283873.1116653975,1
31,1,MS,282965.49130033475,15.0,0.007379999999999999,282965.49130033475,1
32,1,MS,282086.4063092628,15.0,0.007379999999999999,282086.4063092628,1
33,1,MS,281198.83146314096,15.0,0.007379999999999999,281198.83146314096,1
34,1,MS,280337.82283126516,15.0,0.007379999999999999,280337.82283126516,1
35,1,MS,279467.29445118766,15.0,0.007379999999999999,279467.29445118766,1
36,1,MS,278621.66212383285,15.0,0.007379999999999999,278621.66212383285,1
37,1,MS,277765.700583877,15.0,0.007379999999999999,277765.700583877,1
38,1,MS,276933.27420621377,15.0,0.007379999999999999,276933.27420621377,1
39,1,MS,276089.9977302005,15.0,0.007379999999999999,276089.9977302005,1
40,1,MS,275269.36407500936,15.0,0.007379999999999999,275269.36407500936,1
41,1,MS,274437.91683546413,15.0,0.007379999999999999,274437.91683546413,1
42,1,MS,273628.9046908138,15.0,0.007379999999999999,273628.9046908138,1
43,1,MS,272809.92494603794,15.0,0.007379999999999999,272809.92494603794,1
44,1,MS,272013.6402727872,15.0,0.007379999999999999,272013.6402727872,1
45,1,MS,271208.42351295234,15.0,0.007379999999999999,271208.42351295234,1
46,1,MS,270426.0034288563,15.0,0.007379999999999999,270426.0034288563,1
47,1,MS,269635.26344799215,15.0,0.007379999999999999,269635.26344799215,1
48,1,MS,268866.9380643787,15.0,0.007379999999999999,268866.9380643787,1
49,1,MS,268090.37916159234,15.0,0.007379999999999999,268090.37916159234,1
50,1,MS,267335.66817178804,15.0,0.007379999999999999,267335.66817178804,1
51,1,MS,266572.89932797884,15.0,0.007379999999999999,266572.89932797884,1
52,1,MS,265831.4838818283,15.0,0.007379999999999999,265831.4838818283,1
53,1,MS,265082.18155977345,15.0,0.007379999999999999,265082.18155977345,1
54,1,MS,264353.41713633365,15.0,0.007379999999999999,264353.41713633365,1
55,1,MS,263616.23123946175,15.0,0.007379999999999999,263616.23123946175,1
56,1,MS,262898.4728615386,15.0,0.007379999999999999,262898.4728615386,1
57,1,MS,262171.72061094776,15.0,0.007379999999999999,262171.72061094776,1
58,1,MS,261463.08356715617,15.0,0.007379999999999999,261463.08356715617,1
59,1,MS,260744.36161079837,15.0,0.007379999999999999,260744.36161079837,1
60,1,MS,260042.59365152803,15.0,0.007379999999999999,260042.59365152803,1
61,1,MS,259330.30888120976,15.0,0.007379999999999999,259330.30888120976,1
62,1,MS,258634.39538947304,15.0,0.007379999999999999,258634.39538947304,1
63,1,MS,257927.98401415243,15.0,0.007379999999999999,257927.98401415243,1
64,1,MS,257237.71007502862,15.0,0.007379999999999999,257237.71007502862,1
65,1,MS,256537.1865077303,15.0,0.007379999999999999,256537.1865077303,1
66,1,MS,255853.05002738946,15.0,0.007379999999999999,255853.05002738946,1
67,1,MS,255159.67116026662,15.0,0.007379999999999999,255159.67116026662,1
68,1,MS,254483.11011958914,15.0,0.007379999999999999,254483.11011958914,1
69,1,MS,253798.0115595531,15.0,0.007379999999999999,253798.0115595531,1
70,1,MS,253129.77665635882,15.0,0.007379999999999999,253129.77665635882,1
71,1,MS,252453.29654508265,15.0,0.007379999999999999,252453.29654508265,1
72,1,MS,251793.39832910988,15.0,0.007379999999999999,251793.39832910988,1
73,1,MS,251125.29872535693,15.0,0.007379999999999999,251125.29872535693,1
74,1,MS,250473.45259894535,15.0,0.007379999999999999,250473.45259894535,1
75,1,MS,249813.55958890778,15.0,0.007379999999999999,249813.55958890778,1
76,1,MS,249169.78177193363,15.0,0.007379999999999999,249169.78177193363,1
77,1,MS,248518.35033588886,15.0,0.007379999999999999,248518.35033588886,1
78,1,MS,247882.78896094052,15.0,0.007379999999999999,247882.78896094052,1
79,1,MS,247239.5107605052,15.0,0.007379999999999999,247239.5107605052,1
80,1,MS,246611.50710831146,15.0,0.007379999999999999,246611.50710831146,1
81,1,MS,245975.41502101018,15.0,0.007379999999999999,245975.41502101018,1
82,1,MS,245354.02709525885,15.0,0.007379999999999999,245354.02709525885,1
83,1,MS,244724.45575769723,15.0,0.007379999999999999,244724.45575769723,1
84,1,MS,244108.97547216102,15.0,0.007379999999999999,244108.97547216102,1
85,1,MS,243484.8041541817,15.0,0.007379999999999999,243484.8041541817,1
