species,metamer,organ,element,Eabs
Caphorn,1,blade,LeafElement1,0.016905918
Caphorn,1,sheath,StemElement,0.006971499
Caphorn,2,blade,LeafElement1,0.025388617
Caphorn,2,sheath,StemElement,0.002212609
Caphorn,3,blade,LeafElement1,0.06715555
Caphorn,3,sheath,StemElement,0.008660351
Caphorn,4,blade,LeafElement1,0.207675086
Caphorn,4,internode,StemElement,0.015933112
Caphorn,4,sheath,StemElement,0.03705238
Caphorn,5,internode,StemElement,0.069628765
Caphorn,6,internode,StemElement,0.194404001
Soissons,1,blade,LeafElement1,0.016468536
Soissons,1,sheath,StemElement,0.008632431
Soissons,2,blade,LeafElement1,0.031066094
Soissons,2,sheath,StemElement,0.002650947
Soissons,3,blade,LeafElement1,0.091293563
Soissons,3,sheath,StemElement,0.008991411
Soissons,4,blade,LeafElement1,0.234142753
Soissons,4,internode,StemElement,0.013718589
Soissons,4,sheath,StemElement,0.040711845
Soissons,5,internode,StemElement,0.079516499
Soissons,6,internode,StemElement,0.188625268
