t,species,metamer,organ,Eabs,plant
0,Soissons,1,blade,0.0,1
0,Soissons,1,sheath,0.0,1
0,Soissons,2,blade,0.0,1
0,Soissons,2,sheath,0.0,1
0,Soissons,3,blade,0.0,1
0,Soissons,3,sheath,0.0,1
0,Soissons,4,blade,0.0,1
0,Soissons,4,internode,0.0,1
0,Soissons,4,sheath,0.0,1
0,Soissons,5,internode,0.0,1
0,Soissons,6,internode,0.0,1
1,Soissons,1,blade,0.0,1
1,Soissons,1,sheath,0.0,1
1,Soissons,2,blade,0.0,1
1,Soissons,2,sheath,0.0,1
1,Soissons,3,blade,0.0,1
1,Soissons,3,sheath,0.0,1
1,Soissons,4,blade,0.0,1
1,Soissons,4,internode,0.0,1
1,Soissons,4,sheath,0.0,1
1,Soissons,5,internode,0.0,1
1,Soissons,6,internode,0.0,1
2,Soissons,1,blade,0.0,1
2,Soissons,1,sheath,0.0,1
2,Soissons,2,blade,0.0,1
2,Soissons,2,sheath,0.0,1
2,Soissons,3,blade,0.0,1
2,Soissons,3,sheath,0.0,1
2,Soissons,4,blade,0.0,1
2,Soissons,4,internode,0.0,1
2,Soissons,4,sheath,0.0,1
2,Soissons,5,internode,0.0,1
2,Soissons,6,internode,0.0,1
3,Soissons,1,blade,0.0,1
3,Soissons,1,sheath,0.0,1
3,Soissons,2,blade,0.0,1
3,Soissons,2,sheath,0.0,1
3,Soissons,3,blade,0.0,1
3,Soissons,3,sheath,0.0,1
3,Soissons,4,blade,0.0,1
3,Soissons,4,internode,0.0,1
3,Soissons,4,sheath,0.0,1
3,Soissons,5,internode,0.0,1
3,Soissons,6,internode,0.0,1
4,Soissons,1,blade,0.0,1
4,Soissons,1,sheath,0.0,1
4,Soissons,2,blade,0.0,1
4,Soissons,2,sheath,0.0,1
4,Soissons,3,blade,0.0,1
4,Soissons,3,sheath,0.0,1
4,Soissons,4,blade,0.0,1
4,Soissons,4,internode,0.0,1
4,Soissons,4,sheath,0.0,1
4,Soissons,5,internode,0.0,1
4,Soissons,6,internode,0.0,1
5,Soissons,1,blade,0.0629251644581,1
5,Soissons,1,sheath,0.028582723888,1
5,Soissons,2,blade,0.103737207289,1
5,Soissons,2,sheath,0.0253798955928,1
5,Soissons,3,blade,0.190626282745,1
5,Soissons,3,sheath,0.0397833622868,1
5,Soissons,4,blade,0.380978639961,1
5,Soissons,4,internode,0.0541564898356,1
5,Soissons,4,sheath,0.0871593113713,1
5,Soissons,5,internode,0.138847983154,1
5,Soissons,6,internode,0.271952097354,1
6,Soissons,1,blade,0.0629251644581,1
6,Soissons,1,sheath,0.028582723888,1
6,Soissons,2,blade,0.103737207289,1
6,Soissons,2,sheath,0.0253798955928,1
6,Soissons,3,blade,0.190626282745,1
6,Soissons,3,sheath,0.0397833622868,1
6,Soissons,4,blade,0.380978639961,1
6,Soissons,4,internode,0.0541564898356,1
6,Soissons,4,sheath,0.0871593113713,1
6,Soissons,5,internode,0.138847983154,1
6,Soissons,6,internode,0.271952097354,1
7,Soissons,1,blade,0.0629251644581,1
7,Soissons,1,sheath,0.028582723888,1
7,Soissons,2,blade,0.103737207289,1
7,Soissons,2,sheath,0.0253798955928,1
7,Soissons,3,blade,0.190626282745,1
7,Soissons,3,sheath,0.0397833622868,1
7,Soissons,4,blade,0.380978639961,1
7,Soissons,4,internode,0.0541564898356,1
7,Soissons,4,sheath,0.0871593113713,1
7,Soissons,5,internode,0.138847983154,1
7,Soissons,6,internode,0.271952097354,1
8,Soissons,1,blade,0.0629251644581,1
8,Soissons,1,sheath,0.028582723888,1
8,Soissons,2,blade,0.103737207289,1
8,Soissons,2,sheath,0.0253798955928,1
8,Soissons,3,blade,0.190626282745,1
8,Soissons,3,sheath,0.0397833622868,1
8,Soissons,4,blade,0.380978639961,1
8,Soissons,4,internode,0.0541564898356,1
8,Soissons,4,sheath,0.0871593113713,1
8,Soissons,5,internode,0.138847983154,1
8,Soissons,6,internode,0.271952097354,1
9,Soissons,1,blade,0.0629251644581,1
9,Soissons,1,sheath,0.028582723888,1
9,Soissons,2,blade,0.103737207289,1
9,Soissons,2,sheath,0.0253798955928,1
9,Soissons,3,blade,0.190626282745,1
9,Soissons,3,sheath,0.0397833622868,1
9,Soissons,4,blade,0.380978639961,1
9,Soissons,4,internode,0.0541564898356,1
9,Soissons,4,sheath,0.0871593113713,1
9,Soissons,5,internode,0.138847983154,1
9,Soissons,6,internode,0.271952097354,1
10,Soissons,1,blade,0.0629251644581,1
10,Soissons,1,sheath,0.028582723888,1
10,Soissons,2,blade,0.103737207289,1
10,Soissons,2,sheath,0.0253798955928,1
10,Soissons,3,blade,0.190626282745,1
10,Soissons,3,sheath,0.0397833622868,1
10,Soissons,4,blade,0.380978639961,1
10,Soissons,4,internode,0.0541564898356,1
10,Soissons,4,sheath,0.0871593113713,1
10,Soissons,5,internode,0.138847983154,1
10,Soissons,6,internode,0.271952097354,1
11,Soissons,1,blade,0.0629251644581,1
11,Soissons,1,sheath,0.028582723888,1
11,Soissons,2,blade,0.103737207289,1
11,Soissons,2,sheath,0.0253798955928,1
11,Soissons,3,blade,0.190626282745,1
11,Soissons,3,sheath,0.0397833622868,1
11,Soissons,4,blade,0.380978639961,1
11,Soissons,4,internode,0.0541564898356,1
11,Soissons,4,sheath,0.0871593113713,1
11,Soissons,5,internode,0.138847983154,1
11,Soissons,6,internode,0.271952097354,1
12,Soissons,1,blade,0.0629251644581,1
12,Soissons,1,sheath,0.028582723888,1
12,Soissons,2,blade,0.103737207289,1
12,Soissons,2,sheath,0.0253798955928,1
12,Soissons,3,blade,0.190626282745,1
12,Soissons,3,sheath,0.0397833622868,1
12,Soissons,4,blade,0.380978639961,1
12,Soissons,4,internode,0.0541564898356,1
12,Soissons,4,sheath,0.0871593113713,1
12,Soissons,5,internode,0.138847983154,1
12,Soissons,6,internode,0.271952097354,1
13,Soissons,1,blade,0.0629251644581,1
13,Soissons,1,sheath,0.028582723888,1
13,Soissons,2,blade,0.103737207289,1
13,Soissons,2,sheath,0.0253798955928,1
13,Soissons,3,blade,0.190626282745,1
13,Soissons,3,sheath,0.0397833622868,1
13,Soissons,4,blade,0.380978639961,1
13,Soissons,4,internode,0.0541564898356,1
13,Soissons,4,sheath,0.0871593113713,1
13,Soissons,5,internode,0.138847983154,1
13,Soissons,6,internode,0.271952097354,1
14,Soissons,1,blade,0.0629251644581,1
14,Soissons,1,sheath,0.028582723888,1
14,Soissons,2,blade,0.103737207289,1
14,Soissons,2,sheath,0.0253798955928,1
14,Soissons,3,blade,0.190626282745,1
14,Soissons,3,sheath,0.0397833622868,1
14,Soissons,4,blade,0.380978639961,1
14,Soissons,4,internode,0.0541564898356,1
14,Soissons,4,sheath,0.0871593113713,1
14,Soissons,5,internode,0.138847983154,1
14,Soissons,6,internode,0.271952097354,1
15,Soissons,1,blade,0.0629251644581,1
15,Soissons,1,sheath,0.028582723888,1
15,Soissons,2,blade,0.103737207289,1
15,Soissons,2,sheath,0.0253798955928,1
15,Soissons,3,blade,0.190626282745,1
15,Soissons,3,sheath,0.0397833622868,1
15,Soissons,4,blade,0.380978639961,1
15,Soissons,4,internode,0.0541564898356,1
15,Soissons,4,sheath,0.0871593113713,1
15,Soissons,5,internode,0.138847983154,1
15,Soissons,6,internode,0.271952097354,1
16,Soissons,1,blade,0.0629251644581,1
16,Soissons,1,sheath,0.028582723888,1
16,Soissons,2,blade,0.103737207289,1
16,Soissons,2,sheath,0.0253798955928,1
16,Soissons,3,blade,0.190626282745,1
16,Soissons,3,sheath,0.0397833622868,1
16,Soissons,4,blade,0.380978639961,1
16,Soissons,4,internode,0.0541564898356,1
16,Soissons,4,sheath,0.0871593113713,1
16,Soissons,5,internode,0.138847983154,1
16,Soissons,6,internode,0.271952097354,1
17,Soissons,1,blade,0.0629251644581,1
17,Soissons,1,sheath,0.028582723888,1
17,Soissons,2,blade,0.103737207289,1
17,Soissons,2,sheath,0.0253798955928,1
17,Soissons,3,blade,0.190626282745,1
17,Soissons,3,sheath,0.0397833622868,1
17,Soissons,4,blade,0.380978639961,1
17,Soissons,4,internode,0.0541564898356,1
17,Soissons,4,sheath,0.0871593113713,1
17,Soissons,5,internode,0.138847983154,1
17,Soissons,6,internode,0.271952097354,1
18,Soissons,1,blade,0.0629251644581,1
18,Soissons,1,sheath,0.028582723888,1
18,Soissons,2,blade,0.103737207289,1
18,Soissons,2,sheath,0.0253798955928,1
18,Soissons,3,blade,0.190626282745,1
18,Soissons,3,sheath,0.0397833622868,1
18,Soissons,4,blade,0.380978639961,1
18,Soissons,4,internode,0.0541564898356,1
18,Soissons,4,sheath,0.0871593113713,1
18,Soissons,5,internode,0.138847983154,1
18,Soissons,6,internode,0.271952097354,1
19,Soissons,1,blade,0.0629251644581,1
19,Soissons,1,sheath,0.028582723888,1
19,Soissons,2,blade,0.103737207289,1
19,Soissons,2,sheath,0.0253798955928,1
19,Soissons,3,blade,0.190626282745,1
19,Soissons,3,sheath,0.0397833622868,1
19,Soissons,4,blade,0.380978639961,1
19,Soissons,4,internode,0.0541564898356,1
19,Soissons,4,sheath,0.0871593113713,1
19,Soissons,5,internode,0.138847983154,1
19,Soissons,6,internode,0.271952097354,1
20,Soissons,1,blade,0.0,1
20,Soissons,1,sheath,0.0,1
20,Soissons,2,blade,0.0,1
20,Soissons,2,sheath,0.0,1
20,Soissons,3,blade,0.0,1
20,Soissons,3,sheath,0.0,1
20,Soissons,4,blade,0.0,1
