t,species,metamer,organ,Eabs_diffuse,Eabs_direct
0,Caphorn,1,blade,0,0
0,Caphorn,1,sheath,0,0
0,Caphorn,2,blade,0,0
0,Caphorn,2,sheath,0,0
0,Caphorn,3,blade,0,0
0,Caphorn,3,sheath,0,0
0,Caphorn,4,blade,0,0
0,Caphorn,4,internode,0,0
0,Caphorn,4,sheath,0,0
0,Caphorn,5,internode,0,0
0,Caphorn,6,internode,0,0
0,Soissons,1,blade,0,0
0,Soissons,1,sheath,0,0
0,Soissons,2,blade,0,0
0,Soissons,2,sheath,0,0
0,Soissons,3,blade,0,0
0,Soissons,3,sheath,0,0
0,Soissons,4,blade,0,0
0,Soissons,4,internode,0,0
0,Soissons,4,sheath,0,0
0,Soissons,5,internode,0,0
0,Soissons,6,internode,0,0
1,Caphorn,1,blade,0,0
1,Caphorn,1,sheath,0,0
1,Caphorn,2,blade,0,0
1,Caphorn,2,sheath,0,0
1,Caphorn,3,blade,0,0
1,Caphorn,3,sheath,0,0
1,Caphorn,4,blade,0,0
1,Caphorn,4,internode,0,0
1,Caphorn,4,sheath,0,0
1,Caphorn,5,internode,0,0
1,Caphorn,6,internode,0,0
1,Soissons,1,blade,0,0
1,Soissons,1,sheath,0,0
1,Soissons,2,blade,0,0
1,Soissons,2,sheath,0,0
1,Soissons,3,blade,0,0
1,Soissons,3,sheath,0,0
1,Soissons,4,blade,0,0
1,Soissons,4,internode,0,0
1,Soissons,4,sheath,0,0
1,Soissons,5,internode,0,0
1,Soissons,6,internode,0,0
2,Caphorn,1,blade,0,0
2,Caphorn,1,sheath,0,0
2,Caphorn,2,blade,0,0
2,Caphorn,2,sheath,0,0
2,Caphorn,3,blade,0,0
2,Caphorn,3,sheath,0,0
2,Caphorn,4,blade,0,0
2,Caphorn,4,internode,0,0
2,Caphorn,4,sheath,0,0
2,Caphorn,5,internode,0,0
2,Caphorn,6,internode,0,0
2,Soissons,1,blade,0,0
2,Soissons,1,sheath,0,0
2,Soissons,2,blade,0,0
2,Soissons,2,sheath,0,0
2,Soissons,3,blade,0,0
2,Soissons,3,sheath,0,0
2,Soissons,4,blade,0,0
2,Soissons,4,internode,0,0
2,Soissons,4,sheath,0,0
2,Soissons,5,internode,0,0
2,Soissons,6,internode,0,0
3,Caphorn,1,blade,0,0
3,Caphorn,1,sheath,0,0
3,Caphorn,2,blade,0,0
3,Caphorn,2,sheath,0,0
3,Caphorn,3,blade,0,0
3,Caphorn,3,sheath,0,0
3,Caphorn,4,blade,0,0
3,Caphorn,4,internode,0,0
3,Caphorn,4,sheath,0,0
3,Caphorn,5,internode,0,0
3,Caphorn,6,internode,0,0
3,Soissons,1,blade,0,0
3,Soissons,1,sheath,0,0
3,Soissons,2,blade,0,0
3,Soissons,2,sheath,0,0
3,Soissons,3,blade,0,0
3,Soissons,3,sheath,0,0
3,Soissons,4,blade,0,0
3,Soissons,4,internode,0,0
3,Soissons,4,sheath,0,0
3,Soissons,5,internode,0,0
3,Soissons,6,internode,0,0
4,Caphorn,1,blade,0,0
4,Caphorn,1,sheath,0,0
4,Caphorn,2,blade,0,0
4,Caphorn,2,sheath,0,0
4,Caphorn,3,blade,0,0
4,Caphorn,3,sheath,0,0
4,Caphorn,4,blade,0,0
4,Caphorn,4,internode,0,0
4,Caphorn,4,sheath,0,0
4,Caphorn,5,internode,0,0
4,Caphorn,6,internode,0,0
4,Soissons,1,blade,0,0
4,Soissons,1,sheath,0,0
4,Soissons,2,blade,0,0
4,Soissons,2,sheath,0,0
4,Soissons,3,blade,0,0
4,Soissons,3,sheath,0,0
4,Soissons,4,blade,0,0
4,Soissons,4,internode,0,0
4,Soissons,4,sheath,0,0
4,Soissons,5,internode,0,0
4,Soissons,6,internode,0,0
5,Caphorn,1,blade,0.016900681,0
5,Caphorn,1,sheath,0.007521279,0
5,Caphorn,2,blade,0.026281063,5.22E-06
5,Caphorn,2,sheath,0.00466392,0
5,Caphorn,3,blade,0.065940859,0
5,Caphorn,3,sheath,0.010798044,0
5,Caphorn,4,blade,0.217939776,0.147920419
5,Caphorn,4,internode,0.017110265,0
5,Caphorn,4,sheath,0.040642991,0
5,Caphorn,5,internode,0.066593708,0.000293255
5,Caphorn,6,internode,0.189017344,0.438791754
5,Soissons,1,blade,0.016566714,0
5,Soissons,1,sheath,0.007723921,0
5,Soissons,2,blade,0.034612533,0
5,Soissons,2,sheath,0.004868506,0
5,Soissons,3,blade,0.084535412,0
5,Soissons,3,sheath,0.010599798,0
5,Soissons,4,blade,0.235000624,0.067675903
5,Soissons,4,internode,0.017878496,0
5,Soissons,4,sheath,0.037837728,0
5,Soissons,5,internode,0.071528529,0.000800528
5,Soissons,6,internode,0.192944768,0.446407761
6,Caphorn,1,blade,0.016900681,2.45E-05
6,Caphorn,1,sheath,0.007521279,0
6,Caphorn,2,blade,0.026281063,7.80E-05
6,Caphorn,2,sheath,0.00466392,0.000135615
6,Caphorn,3,blade,0.065940859,0.003640246
6,Caphorn,3,sheath,0.010798044,6.96E-05
6,Caphorn,4,blade,0.217939776,0.201565295
6,Caphorn,4,internode,0.017110265,0.001018867
6,Caphorn,4,sheath,0.040642991,0.002951207
6,Caphorn,5,internode,0.066593708,0.017736992
6,Caphorn,6,internode,0.189017344,0.386133005
6,Soissons,1,blade,0.016566714,7.01E-06
6,Soissons,1,sheath,0.007723921,0
6,Soissons,2,blade,0.034612533,0.000171979
6,Soissons,2,sheath,0.004868506,0
6,Soissons,3,blade,0.084535412,0.002300251
