t,species,metamer,organ,element,Eabs_direct,Eabs_diffuse,plant
0,Caphorn,1,blade,LeafElement1,0.0,0.0,1
0,Caphorn,1,sheath,StemElement,0.0,0.0,1
0,Caphorn,2,blade,LeafElement1,0.0,0.0,1
0,Caphorn,2,sheath,StemElement,0.0,0.0,1
0,Caphorn,3,blade,LeafElement1,0.0,0.0,1
0,Caphorn,3,sheath,StemElement,0.0,0.0,1
0,Caphorn,4,blade,LeafElement1,0.0,0.0,1
0,Caphorn,4,internode,StemElement,0.0,0.0,1
0,Caphorn,4,sheath,StemElement,0.0,0.0,1
0,Caphorn,5,internode,StemElement,0.0,0.0,1
0,Caphorn,6,internode,StemElement,0.0,0.0,1
0,Soissons,1,blade,LeafElement1,0.0,0.0,2
0,Soissons,1,sheath,StemElement,0.0,0.0,2
0,Soissons,2,blade,LeafElement1,0.0,0.0,2
0,Soissons,2,sheath,StemElement,0.0,0.0,2
0,Soissons,3,blade,LeafElement1,0.0,0.0,2
0,Soissons,3,sheath,StemElement,0.0,0.0,2
0,Soissons,4,blade,LeafElement1,0.0,0.0,2
0,Soissons,4,internode,StemElement,0.0,0.0,2
0,Soissons,4,sheath,StemElement,0.0,0.0,2
0,Soissons,5,internode,StemElement,0.0,0.0,2
0,Soissons,6,internode,StemElement,0.0,0.0,2
1,Caphorn,1,blade,LeafElement1,0.0,0.0,1
1,Caphorn,1,sheath,StemElement,0.0,0.0,1
1,Caphorn,2,blade,LeafElement1,0.0,0.0,1
1,Caphorn,2,sheath,StemElement,0.0,0.0,1
1,Caphorn,3,blade,LeafElement1,0.0,0.0,1
1,Caphorn,3,sheath,StemElement,0.0,0.0,1
1,Caphorn,4,blade,LeafElement1,0.0,0.0,1
1,Caphorn,4,internode,StemElement,0.0,0.0,1
1,Caphorn,4,sheath,StemElement,0.0,0.0,1
1,Caphorn,5,internode,StemElement,0.0,0.0,1
1,Caphorn,6,internode,StemElement,0.0,0.0,1
1,Soissons,1,blade,LeafElement1,0.0,0.0,2
1,Soissons,1,sheath,StemElement,0.0,0.0,2
1,Soissons,2,blade,LeafElement1,0.0,0.0,2
1,Soissons,2,sheath,StemElement,0.0,0.0,2
1,Soissons,3,blade,LeafElement1,0.0,0.0,2
1,Soissons,3,sheath,StemElement,0.0,0.0,2
1,Soissons,4,blade,LeafElement1,0.0,0.0,2
1,Soissons,4,internode,StemElement,0.0,0.0,2
1,Soissons,4,sheath,StemElement,0.0,0.0,2
1,Soissons,5,internode,StemElement,0.0,0.0,2
1,Soissons,6,internode,StemElement,0.0,0.0,2
2,Caphorn,1,blade,LeafElement1,0.0,0.0,1
2,Caphorn,1,sheath,StemElement,0.0,0.0,1
2,Caphorn,2,blade,LeafElement1,0.0,0.0,1
2,Caphorn,2,sheath,StemElement,0.0,0.0,1
2,Caphorn,3,blade,LeafElement1,0.0,0.0,1
2,Caphorn,3,sheath,StemElement,0.0,0.0,1
2,Caphorn,4,blade,LeafElement1,0.0,0.0,1
2,Caphorn,4,internode,StemElement,0.0,0.0,1
2,Caphorn,4,sheath,StemElement,0.0,0.0,1
2,Caphorn,5,internode,StemElement,0.0,0.0,1
2,Caphorn,6,internode,StemElement,0.0,0.0,1
2,Soissons,1,blade,LeafElement1,0.0,0.0,2
2,Soissons,1,sheath,StemElement,0.0,0.0,2
2,Soissons,2,blade,LeafElement1,0.0,0.0,2
2,Soissons,2,sheath,StemElement,0.0,0.0,2
2,Soissons,3,blade,LeafElement1,0.0,0.0,2
2,Soissons,3,sheath,StemElement,0.0,0.0,2
2,Soissons,4,blade,LeafElement1,0.0,0.0,2
2,Soissons,4,internode,StemElement,0.0,0.0,2
2,Soissons,4,sheath,StemElement,0.0,0.0,2
2,Soissons,5,internode,StemElement,0.0,0.0,2
2,Soissons,6,internode,StemElement,0.0,0.0,2
3,Caphorn,1,blade,LeafElement1,0.0,0.0,1
3,Caphorn,1,sheath,StemElement,0.0,0.0,1
3,Caphorn,2,blade,LeafElement1,0.0,0.0,1
3,Caphorn,2,sheath,StemElement,0.0,0.0,1
3,Caphorn,3,blade,LeafElement1,0.0,0.0,1
3,Caphorn,3,sheath,StemElement,0.0,0.0,1
3,Caphorn,4,blade,LeafElement1,0.0,0.0,1
3,Caphorn,4,internode,StemElement,0.0,0.0,1
3,Caphorn,4,sheath,StemElement,0.0,0.0,1
3,Caphorn,5,internode,StemElement,0.0,0.0,1
3,Caphorn,6,internode,StemElement,0.0,0.0,1
3,Soissons,1,blade,LeafElement1,0.0,0.0,2
3,Soissons,1,sheath,StemElement,0.0,0.0,2
3,Soissons,2,blade,LeafElement1,0.0,0.0,2
3,Soissons,2,sheath,StemElement,0.0,0.0,2
3,Soissons,3,blade,LeafElement1,0.0,0.0,2
3,Soissons,3,sheath,StemElement,0.0,0.0,2
3,Soissons,4,blade,LeafElement1,0.0,0.0,2
3,Soissons,4,internode,StemElement,0.0,0.0,2
3,Soissons,4,sheath,StemElement,0.0,0.0,2
3,Soissons,5,internode,StemElement,0.0,0.0,2
3,Soissons,6,internode,StemElement,0.0,0.0,2
4,Caphorn,1,blade,LeafElement1,0.0,0.0,1
4,Caphorn,1,sheath,StemElement,0.0,0.0,1
4,Caphorn,2,blade,LeafElement1,0.0,0.0,1
4,Caphorn,2,sheath,StemElement,0.0,0.0,1
4,Caphorn,3,blade,LeafElement1,0.0,0.0,1
4,Caphorn,3,sheath,StemElement,0.0,0.0,1
4,Caphorn,4,blade,LeafElement1,0.0,0.0,1
4,Caphorn,4,internode,StemElement,0.0,0.0,1
4,Caphorn,4,sheath,StemElement,0.0,0.0,1
4,Caphorn,5,internode,StemElement,0.0,0.0,1
4,Caphorn,6,internode,StemElement,0.0,0.0,1
4,Soissons,1,blade,LeafElement1,0.0,0.0,2
4,Soissons,1,sheath,StemElement,0.0,0.0,2
4,Soissons,2,blade,LeafElement1,0.0,0.0,2
4,Soissons,2,sheath,StemElement,0.0,0.0,2
4,Soissons,3,blade,LeafElement1,0.0,0.0,2
4,Soissons,3,sheath,StemElement,0.0,0.0,2
4,Soissons,4,blade,LeafElement1,0.0,0.0,2
4,Soissons,4,internode,StemElement,0.0,0.0,2
4,Soissons,4,sheath,StemElement,0.0,0.0,2
4,Soissons,5,internode,StemElement,0.0,0.0,2
4,Soissons,6,internode,StemElement,0.0,0.0,2
5,Caphorn,1,blade,LeafElement1,0.0,0.00564705202661,1
5,Caphorn,1,sheath,StemElement,0.0,0.00233834778202,1
5,Caphorn,2,blade,LeafElement1,0.0,0.0103513240554,1
5,Caphorn,2,sheath,StemElement,0.0,0.0010574272002,1
5,Caphorn,3,blade,LeafElement1,0.0,0.0357538379789,1
