t,species,metamer,organ,Eabs
0,Caphorn,1,blade,0
0,Caphorn,1,sheath,0
0,Caphorn,2,blade,0
0,Caphorn,2,sheath,0
0,Caphorn,3,blade,0
0,Caphorn,3,sheath,0
0,Caphorn,4,blade,0
0,Caphorn,4,internode,0
0,Caphorn,4,sheath,0
0,Caphorn,5,internode,0
0,Caphorn,6,internode,0
1,Caphorn,1,blade,0
1,Caphorn,1,sheath,0
1,Caphorn,2,blade,0
1,Caphorn,2,sheath,0
1,Caphorn,3,blade,0
1,Caphorn,3,sheath,0
1,Caphorn,4,blade,0
1,Caphorn,4,internode,0
1,Caphorn,4,sheath,0
1,Caphorn,5,internode,0
1,Caphorn,6,internode,0
2,Caphorn,1,blade,0
2,Caphorn,1,sheath,0
2,Caphorn,2,blade,0
2,Caphorn,2,sheath,0
2,Caphorn,3,blade,0
2,Caphorn,3,sheath,0
2,Caphorn,4,blade,0
2,Caphorn,4,internode,0
2,Caphorn,4,sheath,0
2,Caphorn,5,internode,0
2,Caphorn,6,internode,0
3,Caphorn,1,blade,0
3,Caphorn,1,sheath,0
3,Caphorn,2,blade,0
3,Caphorn,2,sheath,0
3,Caphorn,3,blade,0
3,Caphorn,3,sheath,0
3,Caphorn,4,blade,0
3,Caphorn,4,internode,0
3,Caphorn,4,sheath,0
3,Caphorn,5,internode,0
3,Caphorn,6,internode,0
4,Caphorn,1,blade,0
4,Caphorn,1,sheath,0
4,Caphorn,2,blade,0
4,Caphorn,2,sheath,0
4,Caphorn,3,blade,0
4,Caphorn,3,sheath,0
4,Caphorn,4,blade,0
4,Caphorn,4,internode,0
4,Caphorn,4,sheath,0
4,Caphorn,5,internode,0
4,Caphorn,6,internode,0
5,Caphorn,1,blade,0.011908449
5,Caphorn,1,sheath,0.004855355
5,Caphorn,2,blade,0.017198719
5,Caphorn,2,sheath,0.002165976
5,Caphorn,3,blade,0.048405249
5,Caphorn,3,sheath,0.00612734
5,Caphorn,4,blade,0.151492197
5,Caphorn,4,internode,0.011737101
5,Caphorn,4,sheath,0.03116017
5,Caphorn,5,internode,0.039086207
5,Caphorn,6,internode,0.14268521
6,Caphorn,1,blade,0.011908449
6,Caphorn,1,sheath,0.004855355
6,Caphorn,2,blade,0.017198719
6,Caphorn,2,sheath,0.002165976
6,Caphorn,3,blade,0.048405249
6,Caphorn,3,sheath,0.00612734
6,Caphorn,4,blade,0.151492197
6,Caphorn,4,internode,0.011737101
6,Caphorn,4,sheath,0.03116017
6,Caphorn,5,internode,0.039086207
6,Caphorn,6,internode,0.14268521
7,Caphorn,1,blade,0.011908449
7,Caphorn,1,sheath,0.004855355
7,Caphorn,2,blade,0.017198719
7,Caphorn,2,sheath,0.002165976
7,Caphorn,3,blade,0.048405249
7,Caphorn,3,sheath,0.00612734
7,Caphorn,4,blade,0.151492197
7,Caphorn,4,internode,0.011737101
7,Caphorn,4,sheath,0.03116017
7,Caphorn,5,internode,0.039086207
7,Caphorn,6,internode,0.14268521
8,Caphorn,1,blade,0.011908449
8,Caphorn,1,sheath,0.004855355
8,Caphorn,2,blade,0.017198719
8,Caphorn,2,sheath,0.002165976
8,Caphorn,3,blade,0.048405249
8,Caphorn,3,sheath,0.00612734
8,Caphorn,4,blade,0.151492197
8,Caphorn,4,internode,0.011737101
8,Caphorn,4,sheath,0.03116017
8,Caphorn,5,internode,0.039086207
8,Caphorn,6,internode,0.14268521
9,Caphorn,1,blade,0.011908449
9,Caphorn,1,sheath,0.004855355
9,Caphorn,2,blade,0.017198719
9,Caphorn,2,sheath,0.002165976
9,Caphorn,3,blade,0.048405249
