t,species,metamer,organ,Eabs
0,Soissons,1,blade,0
0,Soissons,1,sheath,0
0,Soissons,2,blade,0
0,Soissons,2,sheath,0
0,Soissons,3,blade,0
0,Soissons,3,sheath,0
0,Soissons,4,blade,0
0,Soissons,4,internode,0
0,Soissons,4,sheath,0
0,Soissons,5,internode,0
0,Soissons,6,internode,0
1,Soissons,1,blade,0
1,Soissons,1,sheath,0
1,Soissons,2,blade,0
1,Soissons,2,sheath,0
1,Soissons,3,blade,0
1,Soissons,3,sheath,0
1,Soissons,4,blade,0
1,Soissons,4,internode,0
1,Soissons,4,sheath,0
1,Soissons,5,internode,0
1,Soissons,6,internode,0
2,Soissons,1,blade,0
2,Soissons,1,sheath,0
2,Soissons,2,blade,0
2,Soissons,2,sheath,0
2,Soissons,3,blade,0
2,Soissons,3,sheath,0
2,Soissons,4,blade,0
2,Soissons,4,internode,0
2,Soissons,4,sheath,0
2,Soissons,5,internode,0
2,Soissons,6,internode,0
3,Soissons,1,blade,0
3,Soissons,1,sheath,0
3,Soissons,2,blade,0
3,Soissons,2,sheath,0
3,Soissons,3,blade,0
3,Soissons,3,sheath,0
3,Soissons,4,blade,0
3,Soissons,4,internode,0
3,Soissons,4,sheath,0
3,Soissons,5,internode,0
3,Soissons,6,internode,0
4,Soissons,1,blade,0
4,Soissons,1,sheath,0
4,Soissons,2,blade,0
4,Soissons,2,sheath,0
4,Soissons,3,blade,0
4,Soissons,3,sheath,0
4,Soissons,4,blade,0
4,Soissons,4,internode,0
4,Soissons,4,sheath,0
4,Soissons,5,internode,0
4,Soissons,6,internode,0
5,Soissons,1,blade,0.002670997
5,Soissons,1,sheath,0.001338667
5,Soissons,2,blade,0.007923079
5,Soissons,2,sheath,0.000537096
5,Soissons,3,blade,0.034731206
5,Soissons,3,sheath,0.00199238
5,Soissons,4,blade,0.172977039
5,Soissons,4,internode,0.005791393
5,Soissons,4,sheath,0.016486976
5,Soissons,5,internode,0.052784479
5,Soissons,6,internode,0.157470239
6,Soissons,1,blade,0.002670997
6,Soissons,1,sheath,0.001338667
6,Soissons,2,blade,0.007923079
6,Soissons,2,sheath,0.000537096
6,Soissons,3,blade,0.034731206
6,Soissons,3,sheath,0.00199238
6,Soissons,4,blade,0.172977039
6,Soissons,4,internode,0.005791393
6,Soissons,4,sheath,0.016486976
6,Soissons,5,internode,0.052784479
6,Soissons,6,internode,0.157470239
7,Soissons,1,blade,0.002670997
7,Soissons,1,sheath,0.001338667
7,Soissons,2,blade,0.007923079
7,Soissons,2,sheath,0.000537096
7,Soissons,3,blade,0.034731206
7,Soissons,3,sheath,0.00199238
7,Soissons,4,blade,0.172977039
7,Soissons,4,internode,0.005791393
7,Soissons,4,sheath,0.016486976
7,Soissons,5,internode,0.052784479
7,Soissons,6,internode,0.157470239
8,Soissons,1,blade,0.002670997
8,Soissons,1,sheath,0.001338667
8,Soissons,2,blade,0.007923079
8,Soissons,2,sheath,0.000537096
8,Soissons,3,blade,0.034731206
8,Soissons,3,sheath,0.00199238
8,Soissons,4,blade,0.172977039
8,Soissons,4,internode,0.005791393
8,Soissons,4,sheath,0.016486976
8,Soissons,5,internode,0.052784479
8,Soissons,6,internode,0.157470239
9,Soissons,1,blade,0.002670997
9,Soissons,1,sheath,0.001338667
9,Soissons,2,blade,0.007923079
