t,species,metamer,organ,Eabs,plant
0,Caphorn,1,blade,0.0,1
0,Caphorn,1,sheath,0.0,1
0,Caphorn,2,blade,0.0,1
0,Caphorn,2,sheath,0.0,1
0,Caphorn,3,blade,0.0,1
0,Caphorn,3,sheath,0.0,1
0,Caphorn,4,blade,0.0,1
0,Caphorn,4,internode,0.0,1
0,Caphorn,4,sheath,0.0,1
0,Caphorn,5,internode,0.0,1
0,Caphorn,6,internode,0.0,1
1,Caphorn,1,blade,0.0,1
1,Caphorn,1,sheath,0.0,1
1,Caphorn,2,blade,0.0,1
1,Caphorn,2,sheath,0.0,1
1,Caphorn,3,blade,0.0,1
1,Caphorn,3,sheath,0.0,1
1,Caphorn,4,blade,0.0,1
1,Caphorn,4,internode,0.0,1
1,Caphorn,4,sheath,0.0,1
1,Caphorn,5,internode,0.0,1
1,Caphorn,6,internode,0.0,1
2,Caphorn,1,blade,0.0,1
2,Caphorn,1,sheath,0.0,1
2,Caphorn,2,blade,0.0,1
2,Caphorn,2,sheath,0.0,1
2,Caphorn,3,blade,0.0,1
2,Caphorn,3,sheath,0.0,1
2,Caphorn,4,blade,0.0,1
2,Caphorn,4,internode,0.0,1
2,Caphorn,4,sheath,0.0,1
2,Caphorn,5,internode,0.0,1
2,Caphorn,6,internode,0.0,1
3,Caphorn,1,blade,0.0,1
3,Caphorn,1,sheath,0.0,1
3,Caphorn,2,blade,0.0,1
3,Caphorn,2,sheath,0.0,1
3,Caphorn,3,blade,0.0,1
3,Caphorn,3,sheath,0.0,1
3,Caphorn,4,blade,0.0,1
3,Caphorn,4,internode,0.0,1
3,Caphorn,4,sheath,0.0,1
3,Caphorn,5,internode,0.0,1
3,Caphorn,6,internode,0.0,1
4,Caphorn,1,blade,0.0,1
4,Caphorn,1,sheath,0.0,1
4,Caphorn,2,blade,0.0,1
4,Caphorn,2,sheath,0.0,1
4,Caphorn,3,blade,0.0,1
4,Caphorn,3,sheath,0.0,1
4,Caphorn,4,blade,0.0,1
4,Caphorn,4,internode,0.0,1
4,Caphorn,4,sheath,0.0,1
4,Caphorn,5,internode,0.0,1
4,Caphorn,6,internode,0.0,1
5,Caphorn,1,blade,0.00628712046127,1
5,Caphorn,1,sheath,0.00197913723234,1
5,Caphorn,2,blade,0.00863351514609,1
5,Caphorn,2,sheath,0.000630665299074,1
5,Caphorn,3,blade,0.0320618437144,1
5,Caphorn,3,sheath,0.002218831838,1
5,Caphorn,4,blade,0.118213186661,1
5,Caphorn,4,internode,0.00637209668619,1
5,Caphorn,4,sheath,0.0219529151169,1
5,Caphorn,5,internode,0.026654515255,1
5,Caphorn,6,internode,0.116375675119,1
6,Caphorn,1,blade,0.00628712046127,1
6,Caphorn,1,sheath,0.00197913723234,1
6,Caphorn,2,blade,0.00863351514609,1
6,Caphorn,2,sheath,0.000630665299074,1
6,Caphorn,3,blade,0.0320618437144,1
6,Caphorn,3,sheath,0.002218831838,1
6,Caphorn,4,blade,0.118213186661,1
6,Caphorn,4,internode,0.00637209668619,1
6,Caphorn,4,sheath,0.0219529151169,1
6,Caphorn,5,internode,0.026654515255,1
6,Caphorn,6,internode,0.116375675119,1
7,Caphorn,1,blade,0.00628712046127,1
7,Caphorn,1,sheath,0.00197913723234,1
7,Caphorn,2,blade,0.00863351514609,1
7,Caphorn,2,sheath,0.000630665299074,1
7,Caphorn,3,blade,0.0320618437144,1
7,Caphorn,3,sheath,0.002218831838,1
7,Caphorn,4,blade,0.118213186661,1
