t,species,metamer,organ,element,Eabs_direct,Eabs_diffuse
0,Soissons,1,blade,LeafElement1,0,0
0,Soissons,1,sheath,StemElement,0,0
0,Soissons,2,blade,LeafElement1,0,0
0,Soissons,2,sheath,StemElement,0,0
0,Soissons,3,blade,LeafElement1,0,0
0,Soissons,3,sheath,StemElement,0,0
0,Soissons,4,blade,LeafElement1,0,0
0,Soissons,4,internode,StemElement,0,0
0,Soissons,4,sheath,StemElement,0,0
0,Soissons,5,internode,StemElement,0,0
0,Soissons,6,internode,StemElement,0,0
1,Soissons,1,blade,LeafElement1,0,0
1,Soissons,1,sheath,StemElement,0,0
1,Soissons,2,blade,LeafElement1,0,0
1,Soissons,2,sheath,StemElement,0,0
1,Soissons,3,blade,LeafElement1,0,0
1,Soissons,3,sheath,StemElement,0,0
1,Soissons,4,blade,LeafElement1,0,0
1,Soissons,4,internode,StemElement,0,0
1,Soissons,4,sheath,StemElement,0,0
1,Soissons,5,internode,StemElement,0,0
1,Soissons,6,internode,StemElement,0,0
2,Soissons,1,blade,LeafElement1,0,0
2,Soissons,1,sheath,StemElement,0,0
2,Soissons,2,blade,LeafElement1,0,0
2,Soissons,2,sheath,StemElement,0,0
2,Soissons,3,blade,LeafElement1,0,0
2,Soissons,3,sheath,StemElement,0,0
2,Soissons,4,blade,LeafElement1,0,0
2,Soissons,4,internode,StemElement,0,0
2,Soissons,4,sheath,StemElement,0,0
2,Soissons,5,internode,StemElement,0,0
2,Soissons,6,internode,StemElement,0,0
3,Soissons,1,blade,LeafElement1,0,0
3,Soissons,1,sheath,StemElement,0,0
3,Soissons,2,blade,LeafElement1,0,0
3,Soissons,2,sheath,StemElement,0,0
3,Soissons,3,blade,LeafElement1,0,0
3,Soissons,3,sheath,StemElement,0,0
3,Soissons,4,blade,LeafElement1,0,0
3,Soissons,4,internode,StemElement,0,0
3,Soissons,4,sheath,StemElement,0,0
3,Soissons,5,internode,StemElement,0,0
3,Soissons,6,internode,StemElement,0,0
4,Soissons,1,blade,LeafElement1,0,0
4,Soissons,1,sheath,StemElement,0,0
4,Soissons,2,blade,LeafElement1,0,0
4,Soissons,2,sheath,StemElement,0,0
4,Soissons,3,blade,LeafElement1,0,0
4,Soissons,3,sheath,StemElement,0,0
4,Soissons,4,blade,LeafElement1,0,0
4,Soissons,4,internode,StemElement,0,0
4,Soissons,4,sheath,StemElement,0,0
4,Soissons,5,internode,StemElement,0,0
4,Soissons,6,internode,StemElement,0,0
5,Soissons,1,blade,LeafElement1,0,0.00073036
5,Soissons,1,sheath,StemElement,0,0.000291009
5,Soissons,2,blade,LeafElement1,0,0.002709545
5,Soissons,2,sheath,StemElement,0,9.26E-05
5,Soissons,3,blade,LeafElement1,0,0.017672775
5,Soissons,3,sheath,StemElement,0,0.000499722
5,Soissons,4,blade,LeafElement1,0.02670757,0.133448035
5,Soissons,4,internode,StemElement,0,0.002263808
5,Soissons,4,sheath,StemElement,0,0.008427028
5,Soissons,5,internode,StemElement,0,0.036881385
5,Soissons,6,internode,StemElement,0.251711002,0.128597311
6,Soissons,1,blade,LeafElement1,0,0.00073036
6,Soissons,1,sheath,StemElement,0,0.000291009
6,Soissons,2,blade,LeafElement1,0,0.002709545
6,Soissons,2,sheath,StemElement,0,9.26E-05
6,Soissons,3,blade,LeafElement1,4.04E-05,0.017672775
6,Soissons,3,sheath,StemElement,0,0.000499722
6,Soissons,4,blade,LeafElement1,0.041196983,0.133448035
6,Soissons,4,internode,StemElement,0,0.002263808
6,Soissons,4,sheath,StemElement,3.31E-05,0.008427028
6,Soissons,5,internode,StemElement,0.000940517,0.036881385
6,Soissons,6,internode,StemElement,0.238464821,0.128597311
7,Soissons,1,blade,LeafElement1,0,0.00073036
7,Soissons,1,sheath,StemElement,0,0.000291009
7,Soissons,2,blade,LeafElement1,1.75E-05,0.002709545
7,Soissons,2,sheath,StemElement,0,9.26E-05
7,Soissons,3,blade,LeafElement1,0.000883677,0.017672775
7,Soissons,3,sheath,StemElement,8.28E-06,0.000499722
7,Soissons,4,blade,LeafElement1,0.058406673,0.133448035
7,Soissons,4,internode,StemElement,0.00030733,0.002263808
7,Soissons,4,sheath,StemElement,0.001705451,0.008427028
7,Soissons,5,internode,StemElement,0.016905004,0.036881385
7,Soissons,6,internode,StemElement,0.219743921,0.128597311
8,Soissons,1,blade,LeafElement1,2.35E-05,0.00073036
8,Soissons,1,sheath,StemElement,8.30E-06,0.000291009
8,Soissons,2,blade,LeafElement1,0.00016898,0.002709545
8,Soissons,2,sheath,StemElement,0,9.26E-05
8,Soissons,3,blade,LeafElement1,0.003158146,0.017672775
8,Soissons,3,sheath,StemElement,0.000109302,0.000499722
8,Soissons,4,blade,LeafElement1,0.080984197,0.133448035
8,Soissons,4,internode,StemElement,0.00055089,0.002263808
8,Soissons,4,sheath,StemElement,0.004238058,0.008427028
8,Soissons,5,internode,StemElement,0.03163288,0.036881385
8,Soissons,6,internode,StemElement,0.193932342,0.128597311
9,Soissons,1,blade,LeafElement1,0.000188923,0.00073036
9,Soissons,1,sheath,StemElement,0.000167627,0.000291009
9,Soissons,2,blade,LeafElement1,0.000920584,0.002709545
9,Soissons,2,sheath,StemElement,6.28E-05,9.26E-05
9,Soissons,3,blade,LeafElement1,0.007426268,0.017672775
9,Soissons,3,sheath,StemElement,0.000556824,0.000499722
9,Soissons,4,blade,LeafElement1,0.117915674,0.133448035
9,Soissons,4,internode,StemElement,0.001035378,0.002263808
9,Soissons,4,sheath,StemElement,0.005006069,0.008427028
9,Soissons,5,internode,StemElement,0.073983933,0.036881385
9,Soissons,6,internode,StemElement,0.149280975,0.128597311
10,Soissons,1,blade,LeafElement1,0.000776506,0.00073036
10,Soissons,1,sheath,StemElement,0.000257276,0.000291009
10,Soissons,2,blade,LeafElement1,0.003317713,0.002709545
10,Soissons,2,sheath,StemElement,0.000133938,9.26E-05
10,Soissons,3,blade,LeafElement1,0.01536499,0.017672775
10,Soissons,3,sheath,StemElement,0.000960752,0.000499722
10,Soissons,4,blade,LeafElement1,0.150355679,0.133448035
10,Soissons,4,internode,StemElement,0.000571916,0.002263808
10,Soissons,4,sheath,StemElement,0.014661236,0.008427028
10,Soissons,5,internode,StemElement,0.056676576,0.036881385
10,Soissons,6,internode,StemElement,0.110732505,0.128597311
11,Soissons,1,blade,LeafElement1,0.001116289,0.00073036
11,Soissons,1,sheath,StemElement,0.00033359,0.000291009
11,Soissons,2,blade,LeafElement1,0.005903814,0.002709545
11,Soissons,2,sheath,StemElement,0.000135596,9.26E-05
11,Soissons,3,blade,LeafElement1,0.034109265,0.017672775
11,Soissons,3,sheath,StemElement,0.003541993,0.000499722
11,Soissons,4,blade,LeafElement1,0.163213095,0.133448035
