t,species,metamer,organ,element,Eabs_direct,Eabs_diffuse,plant
0,Soissons,1,blade,LeafElement1,0.0,0.0,1
0,Soissons,1,sheath,StemElement,0.0,0.0,1
0,Soissons,2,blade,LeafElement1,0.0,0.0,1
0,Soissons,2,sheath,StemElement,0.0,0.0,1
0,Soissons,3,blade,LeafElement1,0.0,0.0,1
0,Soissons,3,sheath,StemElement,0.0,0.0,1
0,Soissons,4,blade,LeafElement1,0.0,0.0,1
0,Soissons,4,internode,StemElement,0.0,0.0,1
0,Soissons,4,sheath,StemElement,0.0,0.0,1
0,Soissons,5,internode,StemElement,0.0,0.0,1
0,Soissons,6,internode,StemElement,0.0,0.0,1
1,Soissons,1,blade,LeafElement1,0.0,0.0,1
1,Soissons,1,sheath,StemElement,0.0,0.0,1
1,Soissons,2,blade,LeafElement1,0.0,0.0,1
1,Soissons,2,sheath,StemElement,0.0,0.0,1
1,Soissons,3,blade,LeafElement1,0.0,0.0,1
1,Soissons,3,sheath,StemElement,0.0,0.0,1
1,Soissons,4,blade,LeafElement1,0.0,0.0,1
1,Soissons,4,internode,StemElement,0.0,0.0,1
1,Soissons,4,sheath,StemElement,0.0,0.0,1
1,Soissons,5,internode,StemElement,0.0,0.0,1
1,Soissons,6,internode,StemElement,0.0,0.0,1
2,Soissons,1,blade,LeafElement1,0.0,0.0,1
2,Soissons,1,sheath,StemElement,0.0,0.0,1
2,Soissons,2,blade,LeafElement1,0.0,0.0,1
2,Soissons,2,sheath,StemElement,0.0,0.0,1
2,Soissons,3,blade,LeafElement1,0.0,0.0,1
2,Soissons,3,sheath,StemElement,0.0,0.0,1
2,Soissons,4,blade,LeafElement1,0.0,0.0,1
2,Soissons,4,internode,StemElement,0.0,0.0,1
2,Soissons,4,sheath,StemElement,0.0,0.0,1
2,Soissons,5,internode,StemElement,0.0,0.0,1
2,Soissons,6,internode,StemElement,0.0,0.0,1
3,Soissons,1,blade,LeafElement1,0.0,0.0,1
3,Soissons,1,sheath,StemElement,0.0,0.0,1
3,Soissons,2,blade,LeafElement1,0.0,0.0,1
3,Soissons,2,sheath,StemElement,0.0,0.0,1
3,Soissons,3,blade,LeafElement1,0.0,0.0,1
3,Soissons,3,sheath,StemElement,0.0,0.0,1
3,Soissons,4,blade,LeafElement1,0.0,0.0,1
3,Soissons,4,internode,StemElement,0.0,0.0,1
3,Soissons,4,sheath,StemElement,0.0,0.0,1
3,Soissons,5,internode,StemElement,0.0,0.0,1
3,Soissons,6,internode,StemElement,0.0,0.0,1
4,Soissons,1,blade,LeafElement1,0.0,0.0,1
4,Soissons,1,sheath,StemElement,0.0,0.0,1
4,Soissons,2,blade,LeafElement1,0.0,0.0,1
4,Soissons,2,sheath,StemElement,0.0,0.0,1
4,Soissons,3,blade,LeafElement1,0.0,0.0,1
4,Soissons,3,sheath,StemElement,0.0,0.0,1
4,Soissons,4,blade,LeafElement1,0.0,0.0,1
4,Soissons,4,internode,StemElement,0.0,0.0,1
4,Soissons,4,sheath,StemElement,0.0,0.0,1
4,Soissons,5,internode,StemElement,0.0,0.0,1
4,Soissons,6,internode,StemElement,0.0,0.0,1
5,Soissons,1,blade,LeafElement1,0.0,0.000643620383324,1
5,Soissons,1,sheath,StemElement,0.0,0.000267039465169,1
5,Soissons,2,blade,LeafElement1,0.0,0.0026198582784,1
5,Soissons,2,sheath,StemElement,0.0,6.50388989508e-05,1
5,Soissons,3,blade,LeafElement1,0.0,0.017293222053,1
5,Soissons,3,sheath,StemElement,0.0,0.000488324495541,1
5,Soissons,4,blade,LeafElement1,0.027254855524,0.133661582182,1
5,Soissons,4,internode,StemElement,0.0,0.00230940647414,1
5,Soissons,4,sheath,StemElement,0.0,0.00827742370633,1
5,Soissons,5,internode,StemElement,0.0,0.0381118847715,1
5,Soissons,6,internode,StemElement,0.251172886616,0.128894583177,1
6,Soissons,1,blade,LeafElement1,0.0,0.000643620383324,1
6,Soissons,1,sheath,StemElement,0.0,0.000267039465169,1
6,Soissons,2,blade,LeafElement1,0.0,0.0026198582784,1
6,Soissons,2,sheath,StemElement,0.0,6.50388989508e-05,1
6,Soissons,3,blade,LeafElement1,0.0,0.017293222053,1
6,Soissons,3,sheath,StemElement,0.0,0.000488324495541,1
6,Soissons,4,blade,LeafElement1,0.0435572126097,0.133661582182,1
6,Soissons,4,internode,StemElement,0.0,0.00230940647414,1
6,Soissons,4,sheath,StemElement,9.92950751917e-06,0.00827742370633,1
6,Soissons,5,internode,StemElement,0.000986672123411,0.0381118847715,1
6,Soissons,6,internode,StemElement,0.236418495218,0.128894583177,1
7,Soissons,1,blade,LeafElement1,0.0,0.000643620383324,1
7,Soissons,1,sheath,StemElement,0.0,0.000267039465169,1
7,Soissons,2,blade,LeafElement1,7.227049046e-06,0.0026198582784,1
7,Soissons,2,sheath,StemElement,0.0,6.50388989508e-05,1
7,Soissons,3,blade,LeafElement1,0.000823442176224,0.017293222053,1
7,Soissons,3,sheath,StemElement,1.65635252254e-06,0.000488324495541,1
7,Soissons,4,blade,LeafElement1,0.0618301327547,0.133661582182,1
7,Soissons,4,internode,StemElement,4.76589394599e-05,0.00230940647414,1
7,Soissons,4,sheath,StemElement,0.00136201956268,0.00827742370633,1
7,Soissons,5,internode,StemElement,0.0136585441867,0.0381118847715,1
7,Soissons,6,internode,StemElement,0.21745567246,0.128894583177,1
8,Soissons,1,blade,LeafElement1,4.72393416171e-05,0.000643620383324,1
8,Soissons,1,sheath,StemElement,0.0,0.000267039465169,1
8,Soissons,2,blade,LeafElement1,0.000281350102207,0.0026198582784,1
8,Soissons,2,sheath,StemElement,2.3148807712e-05,6.50388989508e-05,1
8,Soissons,3,blade,LeafElement1,0.00320369037329,0.017293222053,1
8,Soissons,3,sheath,StemElement,0.000140759511782,0.000488324495541,1
8,Soissons,4,blade,LeafElement1,0.0834183158826,0.133661582182,1
8,Soissons,4,internode,StemElement,0.000811895191546,0.00230940647414,1
8,Soissons,4,sheath,StemElement,0.00312316283094,0.00827742370633,1
8,Soissons,5,internode,StemElement,0.0277469959446,0.0381118847715,1
8,Soissons,6,internode,StemElement,0.192725692275,0.128894583177,1
9,Soissons,1,blade,LeafElement1,0.000272160733634,0.000643620383324,1
9,Soissons,1,sheath,StemElement,6.30672871847e-05,0.000267039465169,1
9,Soissons,2,blade,LeafElement1,0.000935008708192,0.0026198582784,1
9,Soissons,2,sheath,StemElement,0.000190152965672,6.50388989508e-05,1
9,Soissons,3,blade,LeafElement1,0.00674841183758,0.017293222053,1
9,Soissons,3,sheath,StemElement,0.000411281892845,0.000488324495541,1
9,Soissons,4,blade,LeafElement1,0.119531513859,0.133661582182,1
9,Soissons,4,internode,StemElement,0.000820089735477,0.00230940647414,1
9,Soissons,4,sheath,StemElement,0.00464923099588,0.00827742370633,1
9,Soissons,5,internode,StemElement,0.0726269057102,0.0381118847715,1
9,Soissons,6,internode,StemElement,0.148708474807,0.128894583177,1
10,Soissons,1,blade,LeafElement1,0.000704469682997,0.000643620383324,1
10,Soissons,1,sheath,StemElement,0.000318671119644,0.000267039465169,1
10,Soissons,2,blade,LeafElement1,0.00327262850129,0.0026198582784,1
10,Soissons,2,sheath,StemElement,0.000367102049625,6.50388989508e-05,1
10,Soissons,3,blade,LeafElement1,0.0147033099419,0.017293222053,1
10,Soissons,3,sheath,StemElement,0.00152266688344,0.000488324495541,1
10,Soissons,4,blade,LeafElement1,0.149082829678,0.133661582182,1
10,Soissons,4,internode,StemElement,0.000432191802822,0.00230940647414,1
10,Soissons,4,sheath,StemElement,0.0168560001023,0.00827742370633,1
10,Soissons,5,internode,StemElement,0.0594335448806,0.0381118847715,1
10,Soissons,6,internode,StemElement,0.110943032271,0.128894583177,1
11,Soissons,1,blade,LeafElement1,0.000863013389954,0.000643620383324,1
11,Soissons,1,sheath,StemElement,0.000199199284982,0.000267039465169,1
11,Soissons,2,blade,LeafElement1,0.00540965885003,0.0026198582784,1
11,Soissons,2,sheath,StemElement,0.000143862180467,6.50388989508e-05,1
11,Soissons,3,blade,LeafElement1,0.0364719789663,0.017293222053,1
11,Soissons,3,sheath,StemElement,0.00324895969399,0.000488324495541,1
11,Soissons,4,blade,LeafElement1,0.163227210169,0.133661582182,1
11,Soissons,4,internode,StemElement,0.00731729966607,0.00230940647414,1
11,Soissons,4,sheath,StemElement,0.013764028479,0.00827742370633,1
11,Soissons,5,internode,StemElement,0.0271525046031,0.0381118847715,1
11,Soissons,6,internode,StemElement,0.0835781045517,0.128894583177,1
12,Soissons,1,blade,LeafElement1,0.00270273354754,0.000643620383324,1
12,Soissons,1,sheath,StemElement,6.47328751722e-05,0.000267039465169,1
12,Soissons,2,blade,LeafElement1,0.0121489111537,0.0026198582784,1
12,Soissons,2,sheath,StemElement,3.30697851651e-06,6.50388989508e-05,1
