species,metamer,organ,element,Eabs
Caphorn,1,blade,LeafElement1,0.022642131
Caphorn,1,sheath,StemElement,0.008910641
Caphorn,2,blade,LeafElement1,0.035708622
Caphorn,2,sheath,StemElement,0.005902924
Caphorn,3,blade,LeafElement1,0.080712959
Caphorn,3,sheath,StemElement,0.01376764
Caphorn,4,blade,LeafElement1,0.208250174
Caphorn,4,internode,StemElement,0.018920701
Caphorn,4,sheath,StemElement,0.044137882
Caphorn,5,internode,StemElement,0.062759876
Caphorn,6,internode,StemElement,0.181507719
