aaaa,jj,mm,jjmm,heure,minute,PAR (µmol m-2 s-1),PAR_corrige,Rg Diffus  (W m-2),Rg Diffus  (µmol m-2 s-1),Rd:PAR,Temp air,Humidité relative,Vitesse vent (m s-1)
2009,30,5,30/05,1,0,0.011,0,0.338,0,NA,13.43,61.91,3.33
2009,30,5,30/05,2,0,0.109,0,0.338,0,NA,12.78,60.46,3.14
2009,30,5,30/05,3,0,0.153,0,0.338,0,NA,11.77,59.58,2.88
2009,30,5,30/05,4,0,0.665,0,0.338,0,NA,10.56,63.19,2.19
2009,30,5,30/05,5,0,59.805,59.805,23.99,48.4598,0.810296798,10.75,64.38,2.52
2009,30,5,30/05,6,0,306.1,306.1,46.215,93.3543,0.304979745,12.22,60.92,3.84
2009,30,5,30/05,7,0,617.15,617.15,41.915,84.6683,0.137192417,14.10,55.96,4.20
2009,30,5,30/05,8,0,932.5,932.5,42.46,85.7692,0.091977694,15.56,51.60,4.63
2009,30,5,30/05,9,0,1215.5,1215.5,50.28,101.5656,0.0835587,16.80,51.81,4.30
2009,30,5,30/05,10,0,1444,1444,46.21,93.3442,0.064642798,17.81,49.62,4.61
2009,30,5,30/05,11,0,1600.5,1600.5,47.265,95.4753,0.059653421,19.02,46.34,4.87
2009,30,5,30/05,12,0,1674.5,1674.5,52.505,106.0601,0.06333837,19.86,47.91,5.10
2009,30,5,30/05,13,0,1660,1660,50.72,102.4544,0.061719518,20.73,45.07,4.95
2009,30,5,30/05,14,0,1559.5,1559.5,48.305,97.5761,0.062568836,21.34,44.90,4.74
2009,30,5,30/05,15,0,1378.5,1378.5,58.055,117.2711,0.085071527,21.70,45.43,4.56
2009,30,5,30/05,16,0,1125,1125,39.2,79.184,0.070385778,21.88,45.38,4.29
2009,30,5,30/05,17,0,821.5,821.5,39.965,80.7293,0.098270603,21.69,46.20,4.51
2009,30,5,30/05,18,0,495.05,495.05,46.54,94.0108,0.189901626,21.31,46.38,3.95
2009,30,5,30/05,19,0,192.7,192.7,43.97,88.8194,0.460920602,19.75,51.82,2.64
2009,30,5,30/05,20,0,12.725,0,5.751,0,NA,17.73,57.30,1.92
2009,30,5,30/05,21,0,0.022,0,0.337,0,NA,17.01,59.29,2.47
2009,30,5,30/05,22,0,0.283,0,0.337,0,NA,16.42,61.55,2.44
2009,30,5,30/05,23,0,0,0,0.337,0,NA,14.77,68.04,2.22
2009,30,5,30/05,0,0,0.087,0,0.338,0,NA,14.59,68.90,3.15
2009,31,5,31/05,1,0,0.349,0,0.338,0,NA,14.04,70.95,2.90
2009,31,5,31/05,2,0,0.164,0,0.338,0,NA,13.14,74.85,1.84
2009,31,5,31/05,3,0,0.066,0,0.338,0,NA,12.02,79.45,1.77
2009,31,5,31/05,4,0,0.36,0,0.338,0,NA,10.83,85.20,1.52
2009,31,5,31/05,5,0,57.89,57.89,25.705,51.9241,0.896944205,11.30,84.35,1.98
2009,31,5,31/05,6,0,296.75,296.75,58.105,117.3721,0.39552519,13.43,76.00,2.68
2009,31,5,31/05,7,0,611.3,611.3,57.815,116.7863,0.191045804,15.58,68.75,3.11
2009,31,5,31/05,8,0,930.5,930.5,59.03,119.2406,0.128146803,17.35,64.51,3.36
2009,31,5,31/05,9,0,1219.5,1219.5,67.375,136.0975,0.111601066,19.06,59.34,3.65
2009,31,5,31/05,10,0,1450.5,1450.5,64.18,129.6436,0.089378559,20.58,52.79,4.04
2009,31,5,31/05,11,0,1611,1611,63.395,128.0579,0.079489696,21.38,46.44,4.56
2009,31,5,31/05,12,0,1689,1689,68.31,137.9862,0.08169698,21.90,43.86,3.91
2009,31,5,31/05,13,0,1675.5,1675.5,67.315,135.9763,0.081155655,22.37,42.75,3.51
2009,31,5,31/05,14,0,1563.5,1563.5,82.65,166.953,0.10678158,22.66,42.72,3.84
2009,31,5,31/05,15,0,1392.5,1392.5,93.1,188.062,0.135053501,22.71,42.92,3.92
2009,31,5,31/05,16,0,1117.5,1117.5,68.105,137.5721,0.123107025,22.27,43.45,3.95
2009,31,5,31/05,17,0,814,814,75.25,152.005,0.186738329,21.94,47.43,3.56
2009,31,5,31/05,18,0,480.4,480.4,69.29,139.9658,0.291352623,21.09,51.67,3.29
2009,31,5,31/05,19,0,181.15,181.15,53.35,107.767,0.594904775,19.46,58.77,1.03
2009,31,5,31/05,20,0,13.463,0,5.903,0,NA,17.78,63.89,0.84
2009,31,5,31/05,21,0,0.153,0,0.337,0,NA,16.10,71.24,0.60
2009,31,5,31/05,22,0,0.098,0,0.337,0,NA,15.12,75.20,0.56
2009,31,5,31/05,23,0,0.197,0,0.338,0,NA,14.43,80.00,0.97
2009,31,5,31/05,0,0,0.273,0,0.338,0,NA,13.57,84.70,1.18
2009,1,6,01/06,1,0,0.24,0,0.338,0,NA,12.85,88.05,1.30
2009,1,6,01/06,2,0,0.099,0,0.338,0,NA,12.44,89.15,1.55
2009,1,6,01/06,3,0,0,0,0.338,0,NA,11.79,91.65,1.50
2009,1,6,01/06,4,0,0.905,0,0.338,0,NA,10.85,94.50,1.06
2009,1,6,01/06,5,0,57.535,57.535,26.25,53.025,0.921612931,11.76,91.60,1.65
2009,1,6,01/06,6,0,303.9,303.9,59.035,119.2507,0.392401119,13.43,85.40,2.71
2009,1,6,01/06,7,0,616.2,616.2,61.32,123.8664,0.201016553,15.51,75.15,2.96
2009,1,6,01/06,8,0,941.5,941.5,61.485,124.1997,0.131916835,17.64,63.62,3.35
2009,1,6,01/06,9,0,1236,1236,64.245,129.7749,0.104995874,19.19,54.02,4.10
2009,1,6,01/06,10,0,1466,1466,64.235,129.7547,0.088509345,20.43,49.55,3.88
2009,1,6,01/06,11,0,1626.5,1626.5,62.875,127.0075,0.078086382,20.99,46.96,3.89
2009,1,6,01/06,12,0,1704.5,1704.5,67.965,137.2893,0.080545204,21.56,43.29,3.64
2009,1,6,01/06,13,0,1694.5,1694.5,64.325,129.9365,0.076681322,22.08,40.68,3.25
2009,1,6,01/06,14,0,1588,1588,61.025,123.2705,0.077626259,22.39,45.09,3.54
2009,1,6,01/06,15,0,1392.5,1392.5,87.35,176.447,0.126712388,22.92,46.10,3.49
2009,1,6,01/06,16,0,1138.5,1138.5,69.075,139.5315,0.122557312,23.06,46.93,3.41
2009,1,6,01/06,17,0,830,830,92.35,186.547,0.224755422,22.89,48.60,3.52
2009,1,6,01/06,18,0,441.95,441.95,127.75,258.055,0.583900894,21.69,55.09,2.15
2009,1,6,01/06,19,0,183.2,183.2,60.135,121.4727,0.66306059,20.48,58.75,1.03
2009,1,6,01/06,20,0,13.757,0,6.149,0,NA,18.27,69.13,1.14
2009,1,6,01/06,21,0,0,0,0.337,0,NA,17.15,74.95,0.71
2009,1,6,01/06,22,0,0.142,0,0.337,0,NA,17.07,76.10,0.92
2009,1,6,01/06,23,0,0.294,0,0.337,0,NA,15.94,80.65,0.91
2009,1,6,01/06,0,0,0.142,0,0.337,0,NA,15.32,82.70,0.41
2009,2,6,02/06,1,0,0.393,0,0.338,0,NA,15.61,82.70,2.02
2009,2,6,02/06,2,0,0.24,0,0.338,0,NA,14.93,83.80,1.72
